repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:monicahq/monica.git,v0.1.0,23596,4551,353,0.71%,3.1789473684211,0,726,153,681,107
git@github.com:monicahq/monica.git,v0.2.0,24711,4717,370,1.30%,3.1675126903553,0,726,153,783,111
git@github.com:monicahq/monica.git,v0.2.1,24769,4733,373,1.30%,3.1793570219966,0,726,153,792,111
git@github.com:monicahq/monica.git,v0.3.0,25265,4795,380,1.40%,3.1733333333333,0,726,153,812,112
git@github.com:monicahq/monica.git,v0.4.0,26176,4931,377,1.35%,3.3333333333333,0,726,153,834,115
git@github.com:monicahq/monica.git,v0.4.1,26176,4931,377,1.35%,3.3333333333333,0,726,153,834,115
git@github.com:monicahq/monica.git,v0.4.2,26952,5019,377,1.26%,3.3259141494436,0,726,153,834,115
git@github.com:monicahq/monica.git,v0.5.0,27549,5106,392,1.23%,3.3882896764253,0,726,153,871,116
git@github.com:monicahq/monica.git,v0.6.0,28992,5195,362,0.94%,3.6598290598291,0,726,153,883,116
git@github.com:monicahq/monica.git,v0.6.1,29002,5209,359,1.01%,3.6524701873935,0,726,153,886,116
git@github.com:monicahq/monica.git,v0.6.2,29120,5215,360,1.00%,3.6457627118644,0,726,153,886,116
git@github.com:monicahq/monica.git,v0.6.3,29204,5212,360,1.00%,3.6406779661017,0,726,153,886,116
git@github.com:monicahq/monica.git,v0.6.4,29258,5234,359,1.00%,3.6334459459459,0,726,153,892,116
git@github.com:monicahq/monica.git,v0.6.5,29501,5252,366,1.00%,3.6360601001669,0,726,153,897,117
git@github.com:monicahq/monica.git,v0.7.0,29646,5299,373,1.00%,3.6483333333333,0,726,153,916,117
git@github.com:monicahq/monica.git,v0.7.1,29646,5299,373,1.00%,3.6483333333333,0,726,153,916,117
git@github.com:monicahq/monica.git,v1.0.0,34401,6127,569,1.83%,3.7817679558011,0,726,153,1153,121
git@github.com:monicahq/monica.git,v1.1.0,36170,6464,652,2.83%,3.7089743589744,0,726,153,1270,120
git@github.com:monicahq/monica.git,v1.2.0,36100,6461,655,2.67%,3.7796391752577,0,726,153,1298,119
git@github.com:monicahq/monica.git,v1.3.0,36020,6458,660,2.69%,3.7777777777778,0,726,153,1336,115
git@github.com:monicahq/monica.git,v1.4.0,36963,6607,763,1.98%,3.8288508557457,0,726,153,1248,115
git@github.com:monicahq/monica.git,v1.4.1,37004,6609,763,1.98%,3.8557457212714,0,726,153,1249,115
git@github.com:monicahq/monica.git,v1.5.0,38580,6914,788,2.23%,3.7856328392246,0,726,153,1303,115
git@github.com:monicahq/monica.git,v1.6.0,39601,7100,816,2.20%,3.7758046614872,0,726,153,1316,124
git@github.com:monicahq/monica.git,v1.6.1,39649,7112,820,1.98%,3.7776548672566,0,726,153,1310,124
git@github.com:monicahq/monica.git,v1.6.2,41333,7366,862,1.90%,3.8226452905812,0,726,153,1380,124
git@github.com:monicahq/monica.git,v1.7.0,43000,7603,874,1.88%,3.7476280834915,0,726,153,1489,127
git@github.com:monicahq/monica.git,v1.7.1,43000,7603,874,1.88%,3.7476280834915,0,726,153,1489,127
