repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:mpdf/mpdf.git,v5.3.0,86275,8315,11908,2.50%,37.559714795009,0,514,50,16962,1
git@github.com:mpdf/mpdf.git,v5.4.0,89893,8787,12937,2.57%,37.35867768595,0,514,50,18836,1
git@github.com:mpdf/mpdf.git,v5.5.0,90063,8333,13064,2.58%,37.763245033113,0,514,50,18921,1
git@github.com:mpdf/mpdf.git,v5.5.1,90063,8333,13064,2.58%,37.763245033113,0,514,50,18921,1
git@github.com:mpdf/mpdf.git,v5.6.1,91216,8481,13308,2.61%,38.039473684211,0,514,50,19202,1
git@github.com:mpdf/mpdf.git,v5.7.0,92539,8691,13674,2.64%,38.671592775041,0,514,50,19676,1
git@github.com:mpdf/mpdf.git,v5.7.1,92613,8719,13682,2.63%,38.258116883117,0,514,50,19674,1
git@github.com:mpdf/mpdf.git,v5.7.2,142261,12709,17234,13.98%,36.153206650831,0,514,50,24500,1
git@github.com:mpdf/mpdf.git,v5.7.3,142693,12821,17406,13.97%,36.303317535545,0,514,50,24891,1
git@github.com:mpdf/mpdf.git,v5.7.4,93646,8922,14086,2.72%,38.73268921095,0,514,50,20450,1
git@github.com:mpdf/mpdf.git,v6.0.0,109356,13681,18325,16.73%,38.006157635468,0,514,50,25297,1
git@github.com:mpdf/mpdf.git,v6.1.0,116545,13402,18164,15.97%,38.843631778058,0,514,50,25216,1
git@github.com:mpdf/mpdf.git,v6.1.1,116528,13402,18160,15.98%,38.843631778058,0,514,50,25213,1
git@github.com:mpdf/mpdf.git,v6.1.2,116528,13402,18160,15.98%,38.843631778058,0,514,50,25213,1
git@github.com:mpdf/mpdf.git,v6.1.3,116529,13402,18161,15.98%,38.844892812106,0,514,50,25213,1
git@github.com:mpdf/mpdf.git,v6.1.4,116529,13402,18161,15.98%,38.844892812106,0,514,50,25213,1
git@github.com:mpdf/mpdf.git,v7.0.0,100395,12849,17607,18.63%,30.86124876115,0,514,50,24240,0
git@github.com:mpdf/mpdf.git,v7.0.1,100397,12849,17607,18.63%,30.86124876115,0,514,50,24240,0
git@github.com:mpdf/mpdf.git,7.0.2,100455,12852,17604,18.62%,30.810089020772,0,514,50,24202,0
git@github.com:mpdf/mpdf.git,v7.0.3,101860,12815,17342,18.27%,28.350637522769,0,514,50,24205,0
git@github.com:mpdf/mpdf.git,v7.1.0,103720,12837,17303,17.95%,27.052038161318,0,514,50,24251,0
git@github.com:mpdf/mpdf.git,v7.1.1,103825,12843,17304,17.93%,26.890043290043,0,514,50,24253,0
git@github.com:mpdf/mpdf.git,v7.1.2,103874,12843,17306,17.92%,26.877162629758,0,514,50,24254,0
git@github.com:mpdf/mpdf.git,v7.1.3,103874,12843,17306,17.92%,26.877162629758,0,514,50,24254,0
git@github.com:mpdf/mpdf.git,v7.1.4,103880,12846,17306,17.92%,26.878027681661,0,514,50,24254,0
git@github.com:mpdf/mpdf.git,v7.1.5,104243,12849,17312,17.86%,26.884083044983,0,514,50,24255,0
git@github.com:mpdf/mpdf.git,v7.1.6,105525,13059,17302,17.65%,26.313080168776,0,514,50,24253,0
git@github.com:mpdf/mpdf.git,v7.1.7,105828,13089,17312,17.57%,25.999166666667,0,514,50,24258,0
git@github.com:mpdf/mpdf.git,v7.1.8,106048,13114,17321,17.50%,25.689967105263,0,514,50,24179,0
