repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:mpociot/laravel-apidoc-generator.git,0.1.0,532,99,53,0.00%,7,0,305,58,13,1
git@github.com:mpociot/laravel-apidoc-generator.git,0.2.0,973,113,104,0.00%,16.04347826087,0,305,58,16,1
git@github.com:mpociot/laravel-apidoc-generator.git,1.0.0,1038,130,105,0.00%,15.541666666667,0,305,58,16,1
git@github.com:mpociot/laravel-apidoc-generator.git,1.0.1,1039,130,105,0.00%,15.583333333333,0,305,58,16,1
git@github.com:mpociot/laravel-apidoc-generator.git,1.1.0,1079,130,105,0.00%,17.208333333333,0,305,58,16,1
git@github.com:mpociot/laravel-apidoc-generator.git,1.1.1,1079,130,105,0.00%,17.208333333333,0,305,58,16,1
git@github.com:mpociot/laravel-apidoc-generator.git,1.2.0,1350,226,118,2.89%,12.666666666667,0,305,58,24,1
git@github.com:mpociot/laravel-apidoc-generator.git,1.2.1,1349,226,118,2.89%,12.666666666667,0,305,58,24,1
git@github.com:mpociot/laravel-apidoc-generator.git,1.2.2,1745,237,157,15.47%,11,0,305,58,26,1
git@github.com:mpociot/laravel-apidoc-generator.git,1.2.3,1826,259,158,14.79%,10.021276595745,0,305,58,28,1
git@github.com:mpociot/laravel-apidoc-generator.git,1.2.4,1826,259,158,14.79%,10.021276595745,0,305,58,28,1
git@github.com:mpociot/laravel-apidoc-generator.git,1.2.5,1828,259,159,14.77%,10.021276595745,0,305,58,29,1
git@github.com:mpociot/laravel-apidoc-generator.git,1.2.6,1828,259,159,14.77%,10.021276595745,0,305,58,29,1
git@github.com:mpociot/laravel-apidoc-generator.git,1.3.0,1842,262,161,14.66%,10.085106382979,0,305,58,31,1
git@github.com:mpociot/laravel-apidoc-generator.git,1.4.0,2063,295,165,13.09%,8.1746031746032,0,305,58,34,1
git@github.com:mpociot/laravel-apidoc-generator.git,1.4.1,2063,295,165,13.09%,8.1746031746032,0,305,58,34,1
git@github.com:mpociot/laravel-apidoc-generator.git,1.4.2,2063,295,165,13.09%,8.1746031746032,0,305,58,34,1
git@github.com:mpociot/laravel-apidoc-generator.git,1.4.3,2139,310,167,12.62%,7.768115942029,0,305,58,73,1
git@github.com:mpociot/laravel-apidoc-generator.git,1.4.4,2184,313,167,12.36%,7.5555555555556,0,305,58,75,1
git@github.com:mpociot/laravel-apidoc-generator.git,1.5.0,2296,328,170,11.76%,7.4133333333333,0,305,58,82,1
git@github.com:mpociot/laravel-apidoc-generator.git,1.5.1,2296,328,170,11.76%,7.4133333333333,0,305,58,82,1
git@github.com:mpociot/laravel-apidoc-generator.git,1.5.2,2327,331,171,11.60%,7.2051282051282,0,305,58,82,1
git@github.com:mpociot/laravel-apidoc-generator.git,1.6.0,2466,347,185,11.23%,7.075,0,305,58,86,4
git@github.com:mpociot/laravel-apidoc-generator.git,1.6.1,2491,347,192,11.40%,7.175,0,305,58,86,4
git@github.com:mpociot/laravel-apidoc-generator.git,1.6.2,2495,347,192,11.38%,7.175,0,305,58,86,4
git@github.com:mpociot/laravel-apidoc-generator.git,1.6.3,2524,347,199,9.75%,7.3125,0,305,58,86,4
git@github.com:mpociot/laravel-apidoc-generator.git,1.6.4,2567,352,199,9.58%,7.3125,0,305,58,88,4
