repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:myclabs/DeepCopy.git,1.0.0,743,150,14,0.00%,4.5925925925926,0,55,20,90,0
git@github.com:myclabs/DeepCopy.git,1.0.1,753,152,14,0.00%,4.6428571428571,0,55,20,98,0
git@github.com:myclabs/DeepCopy.git,1.1.0,779,157,16,0.00%,4.6,0,55,20,105,0
git@github.com:myclabs/DeepCopy.git,1.2.0,853,170,16,0.00%,4.71875,0,55,20,107,0
git@github.com:myclabs/DeepCopy.git,1.2.1,882,174,17,0.00%,4.5588235294118,0,55,20,111,0
git@github.com:myclabs/DeepCopy.git,1.3.0,1006,193,17,0.00%,4.2894736842105,0,55,20,112,0
git@github.com:myclabs/DeepCopy.git,1.3.1,1006,193,17,0.00%,4.2894736842105,0,55,20,112,0
git@github.com:myclabs/DeepCopy.git,1.4.0,1088,204,20,0.00%,4.1136363636364,0,55,20,123,0
git@github.com:myclabs/DeepCopy.git,1.5.0,1286,266,25,0.00%,3.9056603773585,0,55,20,134,0
git@github.com:myclabs/DeepCopy.git,1.5.1,1286,266,25,0.00%,3.9056603773585,0,55,20,134,0
git@github.com:myclabs/DeepCopy.git,1.5.2,1306,266,27,0.00%,4,0,55,20,145,0
git@github.com:myclabs/DeepCopy.git,1.5.3,1355,273,30,0.00%,3.9152542372881,0,55,20,156,0
git@github.com:myclabs/DeepCopy.git,1.5.4,1407,276,30,0.00%,3.9333333333333,0,55,20,172,0
git@github.com:myclabs/DeepCopy.git,1.5.5,1503,284,35,0.00%,4.140625,0,55,20,186,0
git@github.com:myclabs/DeepCopy.git,1.6.0,1543,297,35,0.00%,4.0454545454545,0,55,20,186,0
git@github.com:myclabs/DeepCopy.git,1.6.1,1543,297,35,0.00%,4.0454545454545,0,55,20,186,0
git@github.com:myclabs/DeepCopy.git,1.7.0,2258,414,32,0.00%,3.1650485436893,0,55,20,120,0
git@github.com:myclabs/DeepCopy.git,1.8.0,2258,414,32,0.00%,3.1650485436893,0,55,20,120,0
git@github.com:myclabs/DeepCopy.git,1.8.1,2262,414,33,0.00%,3.1650485436893,0,55,20,120,0
