repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:nategood/httpful.git,v0.1.0,3088,1127,152,33.65%,2.8911917098446,0,298,57,262,0
git@github.com:nategood/httpful.git,v0.1.2,1861,627,79,0.00%,3.0769230769231,0,298,57,198,0
git@github.com:nategood/httpful.git,v0.1.4,2002,658,87,0.00%,3.2357723577236,0,298,57,212,0
git@github.com:nategood/httpful.git,v0.1.5,2150,676,96,0.00%,3.5461538461538,0,298,57,229,0
git@github.com:nategood/httpful.git,v0.1.6,2159,677,97,0.00%,3.5615384615385,0,298,57,229,0
git@github.com:nategood/httpful.git,v0.1.7,2193,686,98,0.00%,3.5681818181818,0,298,57,230,0
git@github.com:nategood/httpful.git,v0.2.0,2327,708,103,0.00%,3.3877551020408,0,298,57,164,0
git@github.com:nategood/httpful.git,v0.2.1,2342,709,104,0.00%,3.3986486486486,0,298,57,168,0
git@github.com:nategood/httpful.git,v0.2.2,2371,714,105,0.00%,3.3443708609272,0,298,57,168,0
git@github.com:nategood/httpful.git,v0.2.3,2374,715,106,0.00%,3.3509933774834,0,298,57,169,0
git@github.com:nategood/httpful.git,v0.2.4,2389,720,106,0.00%,3.3267973856209,0,298,57,169,0
git@github.com:nategood/httpful.git,v0.2.5,2410,729,108,0.00%,3.3246753246753,0,298,57,169,0
git@github.com:nategood/httpful.git,v0.2.6,2400,731,106,0.00%,3.3311688311688,0,298,57,166,0
git@github.com:nategood/httpful.git,v0.2.7,2405,732,108,0.00%,3.3376623376623,0,298,57,167,0
git@github.com:nategood/httpful.git,v0.2.8,2416,732,109,0.00%,3.3269230769231,0,298,57,172,0
git@github.com:nategood/httpful.git,v0.2.9,2470,736,114,0.00%,3.3416149068323,0,298,57,172,0
git@github.com:nategood/httpful.git,v0.2.10,2504,746,115,0.00%,3.3496932515337,0,298,57,179,0
git@github.com:nategood/httpful.git,v0.2.11,2520,749,121,0.00%,3.3719512195122,0,298,57,182,0
git@github.com:nategood/httpful.git,v0.2.12,2614,772,128,0.00%,3.4242424242424,0,298,57,187,0
git@github.com:nategood/httpful.git,v0.2.13,2653,781,130,0.00%,3.4457831325301,0,298,57,188,0
git@github.com:nategood/httpful.git,v0.2.16,2753,811,135,0.00%,3.4470588235294,0,298,57,195,0
git@github.com:nategood/httpful.git,v0.2.17,2760,812,136,0.00%,3.4588235294118,0,298,57,197,0
git@github.com:nategood/httpful.git,v0.2.19,2815,820,141,0.00%,3.4912280701754,0,298,57,200,0
git@github.com:nategood/httpful.git,v0.2.20,2875,859,142,0.00%,3.4655172413793,0,298,57,201,0
