repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:nelmio/alice.git,1.0.0,1365,240,89,0.00%,3.7586206896552,0,247,108,68,0
git@github.com:nelmio/alice.git,1.1.0,1468,247,94,0.00%,3.796875,0,247,108,74,0
git@github.com:nelmio/alice.git,1.2.0,1717,266,105,0.00%,3.746835443038,0,247,108,86,0
git@github.com:nelmio/alice.git,1.3.0,1777,266,107,0.00%,3.6071428571429,0,247,108,88,0
git@github.com:nelmio/alice.git,1.4.0,2150,301,132,0.00%,3.7021276595745,0,247,108,121,0
git@github.com:nelmio/alice.git,1.5.0,2392,342,146,0.00%,3.688679245283,0,247,108,142,0
git@github.com:nelmio/alice.git,1.5.1,2400,342,146,0.00%,3.6728971962617,0,247,108,142,0
git@github.com:nelmio/alice.git,1.5.2,2432,342,146,0.00%,3.6666666666667,0,247,108,145,0
git@github.com:nelmio/alice.git,1.6.0,2695,369,161,0.00%,3.5887096774194,0,247,108,158,0
git@github.com:nelmio/alice.git,1.7.0,3203,404,175,0.00%,3.8611111111111,0,247,108,185,0
git@github.com:nelmio/alice.git,1.7.1,3239,408,184,0.00%,3.848275862069,0,247,108,187,0
git@github.com:nelmio/alice.git,1.7.2,3252,414,185,0.00%,3.8287671232877,0,247,108,187,0
git@github.com:nelmio/alice.git,2.0.0,6992,1633,225,0.00%,2.7952127659574,0,247,108,206,0
git@github.com:nelmio/alice.git,2.1.0,7154,1655,227,0.00%,2.7938144329897,0,247,108,207,0
git@github.com:nelmio/alice.git,2.1.1,7310,1713,239,0.00%,2.8239795918367,0,247,108,204,0
git@github.com:nelmio/alice.git,2.1.2,7346,1719,241,0.00%,2.8350253807107,0,247,108,204,0
git@github.com:nelmio/alice.git,2.1.3,7364,1719,241,0.00%,2.8354430379747,0,247,108,206,0
git@github.com:nelmio/alice.git,2.1.4,7397,1719,242,0.00%,2.8266331658291,0,247,108,207,0
git@github.com:nelmio/alice.git,2.2.0,10813,2515,283,0.63%,2.8324225865209,0,247,108,322,0
git@github.com:nelmio/alice.git,2.2.1,11108,2591,283,0.61%,2.8533094812165,0,247,108,332,0
git@github.com:nelmio/alice.git,2.2.2,11461,2613,285,0.59%,2.8540925266904,0,247,108,333,0
git@github.com:nelmio/alice.git,v2.3.0,12053,2751,305,0.25%,2.9503424657534,0,247,108,342,0
git@github.com:nelmio/alice.git,v2.3.1,12074,2748,306,0.25%,2.9503424657534,0,247,108,343,0
git@github.com:nelmio/alice.git,v2.3.3,12151,2755,306,0.25%,2.9522998296422,0,247,108,346,0
git@github.com:nelmio/alice.git,v2.3.4,12167,2755,308,0.25%,2.952380952381,0,247,108,346,0
git@github.com:nelmio/alice.git,v2.3.5,12188,2758,309,0.25%,2.955857385399,0,247,108,346,0
git@github.com:nelmio/alice.git,v3.0.0,59870,13027,666,0.27%,3.5188718374119,0,247,108,1266,0
git@github.com:nelmio/alice.git,v3.0.1,60045,13059,674,0.27%,3.5223509933775,0,247,108,1270,0
git@github.com:nelmio/alice.git,v3.1.0,60086,12825,676,0.27%,3.5235148514851,0,247,108,1280,0
git@github.com:nelmio/alice.git,v3.1.1,60116,12825,679,0.27%,3.5245360824742,0,247,108,1283,0
git@github.com:nelmio/alice.git,v3.1.2,60341,12848,684,0.27%,3.5255354200988,0,247,108,1284,0
git@github.com:nelmio/alice.git,v3.1.3,60156,12650,684,0.27%,3.5255354200988,0,247,108,1285,0
git@github.com:nelmio/alice.git,v3.2.0,60448,12674,698,0.27%,3.5324568611339,0,247,108,1306,0
git@github.com:nelmio/alice.git,v3.2.1,60619,12713,699,0.27%,3.5298690671031,0,247,108,1307,0
git@github.com:nelmio/alice.git,v3.2.2,60785,12717,704,0.27%,3.5349693251534,0,247,108,1368,0
git@github.com:nelmio/alice.git,v3.3.0,61134,12775,715,0.27%,3.5329268292683,0,247,108,1378,0
git@github.com:nelmio/alice.git,v3.4.0,61583,12852,724,0.27%,3.5263581488934,0,247,108,1382,0
git@github.com:nelmio/alice.git,v3.4.1,61618,12852,724,0.27%,3.5301689460981,0,247,108,1383,0
git@github.com:nelmio/alice.git,v3.5.0,62038,12892,739,0.26%,3.5471698113208,0,247,108,1391,0
git@github.com:nelmio/alice.git,v3.5.1,62042,12892,740,0.26%,3.5471698113208,0,247,108,1394,0
git@github.com:nelmio/alice.git,v3.5.2,62042,12892,740,0.26%,3.5471698113208,0,247,108,1394,0
git@github.com:nelmio/alice.git,v3.5.3,62148,12898,745,0.26%,3.5499398315283,0,247,108,1395,0
