repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:nextcloud/server.git,v3.0.1,141209,41532,14698,2.79%,10.162026165716,0,1089,775,9246,2
git@github.com:nextcloud/server.git,v4.0.0,229121,66549,24637,1.63%,8.0208955223881,0,1089,775,13425,2
git@github.com:nextcloud/server.git,v4.0.1,229242,66567,24660,1.62%,8.0238726790451,0,1089,775,13434,2
git@github.com:nextcloud/server.git,v4.0.2,231848,66586,24704,1.59%,7.9945598417409,0,1089,775,13456,4
git@github.com:nextcloud/server.git,v4.0.3,232343,66697,24778,1.59%,7.9962202136401,0,1089,775,13498,8
git@github.com:nextcloud/server.git,v4.0.4,232420,66709,24788,1.59%,7.9940857565303,0,1089,775,13502,8
git@github.com:nextcloud/server.git,v4.0.5,233139,66801,24925,1.58%,7.9773135302758,0,1089,775,13628,9
git@github.com:nextcloud/server.git,v4.0.6,233186,66739,24950,1.58%,7.9831891627224,0,1089,775,13640,8
git@github.com:nextcloud/server.git,v4.0.7,233251,66749,24973,1.58%,7.984658070834,0,1089,775,13642,8
git@github.com:nextcloud/server.git,v4.0.8,233286,66763,24999,1.58%,7.9833550913838,0,1089,775,13645,7
git@github.com:nextcloud/server.git,v4.0.9,233460,66769,25013,1.59%,7.9866297081363,0,1089,775,13673,7
git@github.com:nextcloud/server.git,v4.0.10,233469,66769,25013,1.59%,7.9866297081363,0,1089,775,13673,7
git@github.com:nextcloud/server.git,v4.0.11,233468,66769,25013,1.59%,7.9867927604761,0,1089,775,13673,7
git@github.com:nextcloud/server.git,v4.0.12,233493,66774,25013,1.59%,7.9864710676447,0,1089,775,13676,7
git@github.com:nextcloud/server.git,v4.0.13,233515,66775,25017,1.59%,7.9869600651997,0,1089,775,13680,7
git@github.com:nextcloud/server.git,v4.0.14,233519,66775,25018,1.59%,7.9871230643847,0,1089,775,13680,7
git@github.com:nextcloud/server.git,v4.0.15,233537,66777,25022,1.59%,7.9871230643847,0,1089,775,13680,7
git@github.com:nextcloud/server.git,v4.0.16,233537,66777,25022,1.59%,7.9871230643847,0,1089,775,13680,7
git@github.com:nextcloud/server.git,v4.5.0,243674,73555,26607,1.74%,7.9398238017023,0,1089,775,14080,3
git@github.com:nextcloud/server.git,v4.5.1,243909,73608,26648,1.74%,7.9396063226961,0,1089,775,14100,6
git@github.com:nextcloud/server.git,v4.5.2,244231,73658,26681,1.74%,7.950096827052,0,1089,775,14141,6
git@github.com:nextcloud/server.git,v4.5.3,244462,73710,26714,1.74%,7.9495385531408,0,1089,775,14160,7
git@github.com:nextcloud/server.git,v4.5.4,244508,73724,26719,1.74%,7.9483554100313,0,1089,775,14161,8
git@github.com:nextcloud/server.git,v4.5.5,244758,73782,26760,1.74%,7.945286946179,0,1089,775,14176,8
git@github.com:nextcloud/server.git,v4.5.6,244850,73812,26773,1.74%,7.942627824019,0,1089,775,14199,7
git@github.com:nextcloud/server.git,v4.5.7,243987,73832,26599,1.75%,7.9432729432729,0,1089,775,14154,6
git@github.com:nextcloud/server.git,v4.5.8,244027,73834,26605,1.75%,7.9453519453519,0,1089,775,14155,5
git@github.com:nextcloud/server.git,v4.5.9,244077,73861,26610,1.74%,7.9447661469933,0,1089,775,14156,5
git@github.com:nextcloud/server.git,v4.5.10,244077,73861,26610,1.74%,7.9447661469933,0,1089,775,14156,5
git@github.com:nextcloud/server.git,v4.5.11,244081,73861,26612,1.74%,7.9447661469933,0,1089,775,14156,5
git@github.com:nextcloud/server.git,v4.5.12,244081,73861,26612,1.74%,7.9447661469933,0,1089,775,14156,5
git@github.com:nextcloud/server.git,v4.5.13,244081,73861,26611,1.74%,7.9447661469933,0,1089,775,14156,4
git@github.com:nextcloud/server.git,v5.0.0,106061,25575,8288,0.53%,7.5285658764089,0,1089,775,8034,4
git@github.com:nextcloud/server.git,v5.0.1,106375,25661,8329,0.53%,7.5300271212708,0,1089,775,8050,4
git@github.com:nextcloud/server.git,v5.0.2,106375,25661,8329,0.53%,7.5300271212708,0,1089,775,8050,4
git@github.com:nextcloud/server.git,v5.0.3,106394,25667,8335,0.53%,7.5282726568552,0,1089,775,8051,4
git@github.com:nextcloud/server.git,v5.0.4,106405,25670,8335,0.53%,7.5315524583817,0,1089,775,8057,4
git@github.com:nextcloud/server.git,v5.0.5,106512,25710,8343,0.53%,7.5245268443414,0,1089,775,8062,4
git@github.com:nextcloud/server.git,v5.0.6,106845,25718,8356,0.53%,7.5280030899961,0,1089,775,8069,4
git@github.com:nextcloud/server.git,v5.0.7,112270,26810,8643,0.53%,7.7552680221811,0,1089,775,8390,3
git@github.com:nextcloud/server.git,v5.0.8,113467,27016,8824,0.53%,7.7347905282332,0,1089,775,8493,3
git@github.com:nextcloud/server.git,v5.0.9,113550,27043,8831,0.53%,7.7386239534037,0,1089,775,8497,3
git@github.com:nextcloud/server.git,v5.0.10,122197,28583,9542,0.54%,7.6890812250333,0,1089,775,8885,3
git@github.com:nextcloud/server.git,v5.0.11,129507,30690,9960,0.51%,6.6071523885775,0,1089,775,9747,3
git@github.com:nextcloud/server.git,v5.0.12,129728,30716,9973,0.51%,6.606487636267,0,1089,775,9762,3
git@github.com:nextcloud/server.git,v5.0.13,131616,31084,10162,0.50%,6.655036726128,0,1089,775,9860,3
git@github.com:nextcloud/server.git,v5.0.14,132241,31184,10206,0.51%,6.6740489838458,0,1089,775,9888,3
git@github.com:nextcloud/server.git,v5.0.15,132526,31295,10216,0.51%,6.6656290531777,0,1089,775,9894,3
git@github.com:nextcloud/server.git,v5.0.16,133607,31540,10256,0.51%,6.6969151670951,0,1089,775,9920,3
git@github.com:nextcloud/server.git,v5.0.17,133629,31550,10261,0.51%,6.6979434447301,0,1089,775,9922,3
git@github.com:nextcloud/server.git,v5.0.19,133684,31556,10266,0.50%,6.697148728487,0,1089,775,9924,3
git@github.com:nextcloud/server.git,v6.0.0,236035,63760,14207,1.02%,4.9155257039525,0,1089,775,14145,1
git@github.com:nextcloud/server.git,v6.0.1,237038,63996,14289,1.01%,4.9315437965579,0,1089,775,14244,1
git@github.com:nextcloud/server.git,v6.0.2,238818,64438,14375,1.01%,4.956200662083,0,1089,775,14328,1
git@github.com:nextcloud/server.git,v6.0.3,240243,64800,14418,1.00%,4.9788634350082,0,1089,775,14448,1
git@github.com:nextcloud/server.git,v6.0.4,241771,65208,14470,1.00%,4.985694566445,0,1089,775,14508,1
git@github.com:nextcloud/server.git,v6.0.5,242423,65273,14512,1.02%,5.0070175438596,0,1089,775,14563,1
git@github.com:nextcloud/server.git,v6.0.6,243862,65605,14635,1.04%,5.0235837284752,0,1089,775,14706,1
git@github.com:nextcloud/server.git,v6.0.7,244171,65693,14628,1.04%,5.021782424695,0,1089,775,14721,1
git@github.com:nextcloud/server.git,v6.0.8,244105,65690,14621,1.04%,5.0178015685298,0,1089,775,14713,1
git@github.com:nextcloud/server.git,v6.0.9,244132,65701,14624,1.04%,5.0181750280095,0,1089,775,14715,1
git@github.com:nextcloud/server.git,v7.0.0,234653,58698,11693,0.88%,4.514625111764,0,1089,775,11638,1
git@github.com:nextcloud/server.git,v7.0.1,235568,58894,11741,0.90%,4.5182037295446,0,1089,775,11720,1
git@github.com:nextcloud/server.git,v7.0.2,236994,59247,11823,0.91%,4.5245178368839,0,1089,775,11915,1
git@github.com:nextcloud/server.git,v7.0.3,242854,60757,12057,0.92%,4.5826538176427,0,1089,775,12473,1
git@github.com:nextcloud/server.git,v7.0.4,244253,61194,12133,0.91%,4.5960451977401,0,1089,775,12520,1
git@github.com:nextcloud/server.git,v7.0.5,246121,61744,12193,0.90%,4.5996354799514,0,1089,775,12577,1
git@github.com:nextcloud/server.git,v7.0.6,246754,61900,12238,0.91%,4.6055602767998,0,1089,775,12690,1
git@github.com:nextcloud/server.git,v7.0.7,246949,61945,12252,0.91%,4.6072555205047,0,1089,775,12711,1
git@github.com:nextcloud/server.git,v7.0.8,246981,61954,12256,0.91%,4.6082261586993,0,1089,775,12711,1
git@github.com:nextcloud/server.git,v7.0.9,247033,61960,12260,0.91%,4.6099720975373,0,1089,775,12712,1
git@github.com:nextcloud/server.git,v7.0.10,247025,61960,12260,0.91%,4.6097294674269,0,1089,775,12712,1
git@github.com:nextcloud/server.git,v7.0.11,247098,61967,12263,0.91%,4.611838913149,0,1089,775,12721,1
git@github.com:nextcloud/server.git,v7.0.12,247111,61967,12264,0.91%,4.611838913149,0,1089,775,12722,1
git@github.com:nextcloud/server.git,v7.0.13,247111,61967,12264,0.91%,4.611838913149,0,1089,775,12722,1
git@github.com:nextcloud/server.git,v7.0.14,247117,61968,12265,0.91%,4.611838913149,0,1089,775,12722,1
git@github.com:nextcloud/server.git,v7.0.15,247117,61968,12265,0.91%,4.611838913149,0,1089,775,12722,1
git@github.com:nextcloud/server.git,v8.0.0,223349,66917,12773,1.12%,4.5732810286586,0,1089,775,14894,0
git@github.com:nextcloud/server.git,v8.0.1,223992,67100,12801,1.11%,4.576843705876,0,1089,775,14942,0
git@github.com:nextcloud/server.git,v8.0.2,224006,67106,12807,1.11%,4.5749972846747,0,1089,775,14934,0
git@github.com:nextcloud/server.git,v8.0.3,225246,67398,12865,1.11%,4.5866205554955,0,1089,775,14994,0
git@github.com:nextcloud/server.git,v8.0.4,226267,67601,12913,1.12%,4.6070966350302,0,1089,775,15120,0
git@github.com:nextcloud/server.git,v8.0.5,227136,67761,12946,1.16%,4.6188070929608,0,1089,775,15345,0
git@github.com:nextcloud/server.git,v8.0.6,227691,67856,12965,1.16%,4.6309012875536,0,1089,775,15454,0
git@github.com:nextcloud/server.git,v8.0.7,227726,67858,12970,1.16%,4.631330472103,0,1089,775,15456,0
git@github.com:nextcloud/server.git,v8.0.8,227726,67858,12970,1.16%,4.631330472103,0,1089,775,15456,0
git@github.com:nextcloud/server.git,v8.0.9,227830,67880,12975,1.16%,4.6336623042266,0,1089,775,15463,0
git@github.com:nextcloud/server.git,v8.0.10,228420,68022,13029,1.17%,4.6419620863232,0,1089,775,15549,0
git@github.com:nextcloud/server.git,v8.0.11,228435,68023,13030,1.17%,4.6420004283572,0,1089,775,15552,0
git@github.com:nextcloud/server.git,v8.0.12,228462,68031,13034,1.17%,4.6421458400257,0,1089,775,15555,0
git@github.com:nextcloud/server.git,v8.0.13,228462,68031,13034,1.17%,4.6421458400257,0,1089,775,15555,0
git@github.com:nextcloud/server.git,v8.0.14,228741,68074,13042,1.17%,4.6446988338504,0,1089,775,15608,0
git@github.com:nextcloud/server.git,v8.0.15,228741,68074,13042,1.17%,4.6446988338504,0,1089,775,15608,0
git@github.com:nextcloud/server.git,v8.0.16,228748,68074,13043,1.17%,4.6448058200492,0,1089,775,15608,0
git@github.com:nextcloud/server.git,v8.1.0,272517,89562,13706,1.18%,4.4516249533059,0,1089,740,18413,0
git@github.com:nextcloud/server.git,v8.1.1,274755,90042,13823,1.17%,4.4561403508772,0,1089,740,18756,0
git@github.com:nextcloud/server.git,v8.1.2,274553,90071,13837,1.16%,4.4575023299161,0,1089,740,18777,0
