repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:nicolaslopezj/searchable.git,0.1.2,93,25,5,0.00%,16,0,183,48,1,0
git@github.com:nicolaslopezj/searchable.git,1.0.0,93,25,5,0.00%,16,0,183,48,1,0
git@github.com:nicolaslopezj/searchable.git,1.1.0,157,62,5,0.00%,3.7777777777778,0,183,48,1,0
git@github.com:nicolaslopezj/searchable.git,1.1.1,159,62,5,0.00%,3.7777777777778,0,183,48,1,0
git@github.com:nicolaslopezj/searchable.git,1.1.2,159,62,5,0.00%,3.7777777777778,0,183,48,1,0
git@github.com:nicolaslopezj/searchable.git,1.2.0,140,54,6,0.00%,3.4444444444444,0,183,48,1,0
git@github.com:nicolaslopezj/searchable.git,1.2.1,158,63,4,0.00%,3.3333333333333,0,183,48,1,0
git@github.com:nicolaslopezj/searchable.git,1.2.2,162,63,5,0.00%,3.3333333333333,0,183,48,1,0
git@github.com:nicolaslopezj/searchable.git,1.2.3,162,63,5,0.00%,3.3333333333333,0,183,48,1,0
git@github.com:nicolaslopezj/searchable.git,1.4.1,238,92,14,0.00%,3.6923076923077,0,183,48,5,0
git@github.com:nicolaslopezj/searchable.git,1.4.2,249,92,16,0.00%,3.6666666666667,0,183,48,6,0
git@github.com:nicolaslopezj/searchable.git,1.4.3,250,92,16,0.00%,3.6666666666667,0,183,48,6,0
git@github.com:nicolaslopezj/searchable.git,1.4.4,250,92,16,0.00%,3.6666666666667,0,183,48,6,0
git@github.com:nicolaslopezj/searchable.git,1.4.5,253,95,16,0.00%,3.6666666666667,0,183,48,6,0
git@github.com:nicolaslopezj/searchable.git,1.5.0,267,101,16,0.00%,3.6923076923077,0,183,48,11,0
git@github.com:nicolaslopezj/searchable.git,1.5.1,267,101,16,0.00%,3.6923076923077,0,183,48,9,0
git@github.com:nicolaslopezj/searchable.git,1.5.2,267,101,16,0.00%,3.6923076923077,0,183,48,9,0
git@github.com:nicolaslopezj/searchable.git,1.5.3,267,101,16,0.00%,3.6923076923077,0,183,48,9,0
git@github.com:nicolaslopezj/searchable.git,1.5.4,267,101,16,0.00%,3.6923076923077,0,183,48,11,0
git@github.com:nicolaslopezj/searchable.git,1.5.5,268,101,16,0.00%,3.7692307692308,0,183,48,11,0
git@github.com:nicolaslopezj/searchable.git,1.5.6,268,101,16,0.00%,3.7692307692308,0,183,48,9,0
git@github.com:nicolaslopezj/searchable.git,1.5.7,274,101,17,0.00%,3.8461538461538,0,183,48,11,0
git@github.com:nicolaslopezj/searchable.git,1.5.8,274,101,17,0.00%,3.8461538461538,0,183,48,11,0
git@github.com:nicolaslopezj/searchable.git,1.5.9,274,101,17,0.00%,3.8461538461538,0,183,48,11,0
git@github.com:nicolaslopezj/searchable.git,1.5.10,274,101,17,0.00%,3.8461538461538,0,183,48,11,0
git@github.com:nicolaslopezj/searchable.git,1.5.11,275,101,17,0.00%,3.9230769230769,0,183,48,11,0
git@github.com:nicolaslopezj/searchable.git,1.5.12,278,101,17,0.00%,4,0,183,48,11,0
git@github.com:nicolaslopezj/searchable.git,1.5.13,277,101,17,0.00%,3.9230769230769,0,183,48,11,0
git@github.com:nicolaslopezj/searchable.git,1.5.14,278,101,17,0.00%,4,0,183,48,11,0
git@github.com:nicolaslopezj/searchable.git,1.5.15,293,102,18,0.00%,3.9285714285714,0,183,48,13,0
git@github.com:nicolaslopezj/searchable.git,1.6.0,297,102,20,0.00%,4.1538461538462,0,183,48,13,0
git@github.com:nicolaslopezj/searchable.git,1.6.1,297,102,21,0.00%,4.1538461538462,0,183,48,13,0
