repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:nikic/PHP-Parser.git,v0.9.0,9732,2143,378,0.08%,1.7484116899619,0,570,94,296,0
git@github.com:nikic/PHP-Parser.git,v0.9.1,11613,2655,425,0.53%,1.8441988950276,0,570,94,363,0
git@github.com:nikic/PHP-Parser.git,v0.9.2,12150,2627,448,0.51%,1.870116156283,0,570,94,377,0
git@github.com:nikic/PHP-Parser.git,v0.9.3,12335,2659,457,0.57%,1.8462332301342,0,570,94,377,0
git@github.com:nikic/PHP-Parser.git,v0.9.4,12643,2746,474,0.55%,1.8704453441296,0,570,94,400,0
git@github.com:nikic/PHP-Parser.git,v0.9.5,12727,2757,476,0.55%,1.8951612903226,0,570,94,402,0
git@github.com:nikic/PHP-Parser.git,v1.0.0,13542,2335,539,0.49%,1.8818272095333,0,570,94,418,0
git@github.com:nikic/PHP-Parser.git,v1.0.1,13566,2348,541,0.49%,1.8836978131213,0,570,94,421,0
git@github.com:nikic/PHP-Parser.git,v1.0.2,13591,2352,545,0.49%,1.8856858846918,0,570,94,422,0
git@github.com:nikic/PHP-Parser.git,v1.1.0,14318,2458,569,0.47%,1.9583333333333,0,570,94,524,0
git@github.com:nikic/PHP-Parser.git,v1.2.0,14970,2334,607,0.37%,2.0777292576419,0,570,94,723,0
git@github.com:nikic/PHP-Parser.git,v1.2.1,14999,2339,609,0.37%,2.0767218831735,0,570,94,723,0
git@github.com:nikic/PHP-Parser.git,v1.2.2,15002,2340,608,0.37%,2.0749128919861,0,570,94,723,0
git@github.com:nikic/PHP-Parser.git,v1.3.0,15443,2449,649,0.36%,2.1037735849057,0,570,94,748,0
git@github.com:nikic/PHP-Parser.git,v1.4.0,15617,2492,653,0.36%,2.0962025316456,0,570,94,750,0
git@github.com:nikic/PHP-Parser.git,v1.4.1,15617,2492,653,0.36%,2.0962025316456,0,570,94,750,0
git@github.com:nikic/PHP-Parser.git,v2.0.0,18871,2584,685,4.24%,1.8036529680365,0,570,94,775,0
git@github.com:nikic/PHP-Parser.git,v2.0.1,19001,2584,691,4.46%,1.7971830985915,0,570,94,773,0
git@github.com:nikic/PHP-Parser.git,v2.1.0,19387,2638,766,4.43%,1.8697829716194,0,570,94,794,0
git@github.com:nikic/PHP-Parser.git,v2.1.1,19416,2640,773,4.37%,1.8736783528102,0,570,94,795,0
git@github.com:nikic/PHP-Parser.git,v3.0.0,20162,2739,832,4.42%,1.9197630586968,0,570,94,819,0
git@github.com:nikic/PHP-Parser.git,v3.0.1,20162,2739,832,4.42%,1.9197630586968,0,570,94,819,0
git@github.com:nikic/PHP-Parser.git,v3.0.2,20181,2742,834,4.42%,1.9203015616586,0,570,94,820,0
git@github.com:nikic/PHP-Parser.git,v3.0.3,20422,2797,852,4.36%,1.9581993569132,0,570,94,870,0
git@github.com:nikic/PHP-Parser.git,v3.0.4,20485,2800,852,3.36%,1.9484590860786,0,570,94,870,0
git@github.com:nikic/PHP-Parser.git,v3.0.5,20492,2802,850,3.36%,1.9495485926713,0,570,94,869,0
git@github.com:nikic/PHP-Parser.git,v3.0.6,20580,2823,860,3.34%,1.9528601694915,0,570,94,873,0
git@github.com:nikic/PHP-Parser.git,v3.1.0,20594,2825,860,3.02%,1.952380952381,0,570,94,874,0
git@github.com:nikic/PHP-Parser.git,v3.1.1,20601,2825,862,3.02%,1.9534391534392,0,570,94,876,0
git@github.com:nikic/PHP-Parser.git,v3.1.2,20624,2819,865,3.06%,1.9624139756485,0,570,94,882,0
git@github.com:nikic/PHP-Parser.git,v3.1.3,20632,2819,865,3.06%,1.9629433562732,0,570,94,882,0
git@github.com:nikic/PHP-Parser.git,v3.1.4,20640,2821,869,3.06%,1.9640021175225,0,570,94,882,0
git@github.com:nikic/PHP-Parser.git,v3.1.5,20655,2821,869,3.00%,1.9640021175225,0,570,94,882,0
git@github.com:nikic/PHP-Parser.git,v4.0.0,23635,3855,1115,2.57%,2.8476702508961,0,570,94,1196,0
git@github.com:nikic/PHP-Parser.git,v4.0.1,23971,3958,1126,2.59%,2.8552397868561,0,570,94,1210,0
git@github.com:nikic/PHP-Parser.git,v4.0.2,23996,3962,1127,2.58%,2.8528368794326,0,570,94,1210,0
git@github.com:nikic/PHP-Parser.git,v4.0.3,24006,3961,1133,2.55%,2.8537234042553,0,570,94,1212,0
git@github.com:nikic/PHP-Parser.git,v4.0.4,24545,4110,1151,2.49%,2.8344887348354,0,570,94,1245,0
git@github.com:nikic/PHP-Parser.git,v4.1.0,24862,3958,1185,2.46%,3.0241379310345,0,570,94,1281,0
git@github.com:nikic/PHP-Parser.git,v4.1.1,24867,3961,1185,2.46%,3.0241379310345,0,570,94,1281,0
1379310345,0,552,93,1689,0
