repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:nrk/predis.git,v0.5.0,3109,182,146,0.00%,2.1692307692308,0,758,46,258,0
git@github.com:nrk/predis.git,v0.5.1,3148,183,148,0.00%,2.1460674157303,0,758,46,260,0
git@github.com:nrk/predis.git,v0.6.0,5903,284,310,0.83%,2.3671586715867,0,758,46,488,0
git@github.com:nrk/predis.git,v0.6.1,6152,286,347,0.80%,2.4017699115044,0,758,46,496,0
git@github.com:nrk/predis.git,v0.6.2,6474,290,349,0.00%,2.4117647058824,0,758,46,521,0
git@github.com:nrk/predis.git,v0.6.3,6814,317,367,0.00%,2.4288164665523,0,758,46,594,0
git@github.com:nrk/predis.git,v0.6.4,6852,317,369,0.00%,2.4361158432709,0,758,46,597,0
git@github.com:nrk/predis.git,v0.6.5,6861,317,368,0.00%,2.437074829932,0,758,46,597,0
git@github.com:nrk/predis.git,v0.6.6,7541,386,399,2.82%,2.4837133550489,0,758,46,620,0
git@github.com:nrk/predis.git,v0.7.0,38688,13014,655,5.98%,3.24755859375,0,758,46,824,0
git@github.com:nrk/predis.git,v0.7.1,40082,13394,704,5.78%,3.3094106463878,0,758,46,946,0
git@github.com:nrk/predis.git,v0.7.2,40827,13572,706,6.43%,3.3063231850117,0,758,46,958,0
git@github.com:nrk/predis.git,v0.7.3,41382,13753,712,6.35%,3.3078341013825,0,758,46,977,0
git@github.com:nrk/predis.git,v0.8.0,45672,14903,777,6.39%,3.4984815618221,0,758,46,1324,0
git@github.com:nrk/predis.git,v0.8.1,45901,14956,779,6.36%,3.5097192224622,0,758,46,1354,0
git@github.com:nrk/predis.git,v0.8.2,46225,15063,787,6.31%,3.5010715816545,0,758,46,1363,0
git@github.com:nrk/predis.git,v0.8.3,46903,15274,816,6.25%,3.5120202446225,0,758,46,1403,0
git@github.com:nrk/predis.git,v0.8.4,48487,15720,825,6.93%,3.4901960784314,0,758,46,1430,0
git@github.com:nrk/predis.git,v0.8.5,52241,16857,816,7.82%,3.7060594655627,0,758,46,2093,0
git@github.com:nrk/predis.git,v0.8.6,53584,17300,833,7.73%,3.6946983546618,0,758,46,2118,0
git@github.com:nrk/predis.git,v0.8.7,54074,17384,839,8.38%,3.7033527696793,0,758,46,2159,0
git@github.com:nrk/predis.git,v1.0.0,51922,16962,850,5.53%,3.7317562149158,0,758,46,2146,0
git@github.com:nrk/predis.git,v1.0.1,52214,17068,858,5.50%,3.745607028754,0,758,46,2162,0
git@github.com:nrk/predis.git,v1.0.2,53122,17481,876,5.47%,3.7423409269442,0,758,46,2187,0
git@github.com:nrk/predis.git,v1.0.3,53127,17481,877,5.47%,3.7427336999214,0,758,46,2188,0
git@github.com:nrk/predis.git,v1.0.4,55822,18151,938,5.99%,3.7852551984877,0,758,46,2321,0
git@github.com:nrk/predis.git,v1.1.0,59495,18866,1048,5.96%,3.9553474972992,0,758,46,2822,0
git@github.com:nrk/predis.git,v1.1.1,59614,18883,1055,5.95%,3.9596977329975,0,758,46,2839,0
0,0
