repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:nunomaduro/collision.git,v0.1.0,524,254,19,0.00%,3.7333333333333,0,44,13,11,0
git@github.com:nunomaduro/collision.git,v1.0.0,630,306,21,0.00%,3.3333333333333,0,44,13,17,0
git@github.com:nunomaduro/collision.git,v1.0.1,630,306,21,0.00%,3.3333333333333,0,44,13,17,0
git@github.com:nunomaduro/collision.git,v1.0.2,630,306,21,0.00%,3.3333333333333,0,44,13,17,0
git@github.com:nunomaduro/collision.git,v1.0.3,602,290,21,0.00%,3.4705882352941,0,44,13,15,0
git@github.com:nunomaduro/collision.git,v1.0.4,602,290,21,0.00%,3.4705882352941,0,44,13,15,0
git@github.com:nunomaduro/collision.git,v1.1.0,832,387,25,0.00%,2.5161290322581,0,44,13,30,0
git@github.com:nunomaduro/collision.git,v1.1.1,830,387,25,0.00%,2.5161290322581,0,44,13,30,0
git@github.com:nunomaduro/collision.git,v1.1.2,955,446,28,0.00%,2.4285714285714,0,44,13,42,0
git@github.com:nunomaduro/collision.git,v1.1.3,955,446,28,0.00%,2.4285714285714,0,44,13,42,0
git@github.com:nunomaduro/collision.git,v1.1.4,955,446,28,0.00%,2.4285714285714,0,44,13,42,0
git@github.com:nunomaduro/collision.git,v1.1.5,955,446,28,0.00%,2.4285714285714,0,44,13,42,0
git@github.com:nunomaduro/collision.git,v1.1.6,955,446,28,0.00%,2.4285714285714,0,44,13,42,0
git@github.com:nunomaduro/collision.git,v1.1.7,954,446,28,0.00%,2.4285714285714,0,44,13,42,0
git@github.com:nunomaduro/collision.git,v1.1.8,954,446,28,0.00%,2.4285714285714,0,44,13,42,0
git@github.com:nunomaduro/collision.git,v1.1.9,1014,474,30,0.00%,2.4324324324324,0,44,13,46,0
git@github.com:nunomaduro/collision.git,v1.1.10,1016,474,31,0.00%,2.4324324324324,0,44,13,46,0
git@github.com:nunomaduro/collision.git,v1.1.11,1015,474,32,0.00%,2.4324324324324,0,44,13,46,0
git@github.com:nunomaduro/collision.git,v1.1.12,1015,474,32,0.00%,2.4324324324324,0,44,13,46,0
git@github.com:nunomaduro/collision.git,v1.1.13,1015,474,32,0.00%,2.4324324324324,0,44,13,46,0
git@github.com:nunomaduro/collision.git,v1.1.14,1015,474,32,0.00%,2.4324324324324,0,44,13,46,0
git@github.com:nunomaduro/collision.git,v1.1.15,1021,474,34,0.00%,2.4864864864865,0,44,13,47,0
git@github.com:nunomaduro/collision.git,v1.1.16,1004,469,32,0.00%,2.4324324324324,0,44,13,45,0
git@github.com:nunomaduro/collision.git,v1.1.17,1233,488,33,0.00%,2.6481481481481,0,44,13,67,0
git@github.com:nunomaduro/collision.git,v1.1.18,1235,488,34,0.00%,2.6481481481481,0,44,13,65,0
git@github.com:nunomaduro/collision.git,v1.1.19,1580,503,32,0.00%,2.9718309859155,0,44,13,83,0
git@github.com:nunomaduro/collision.git,v1.1.20,1679,509,32,0.00%,3.2820512820513,0,44,13,111,0
git@github.com:nunomaduro/collision.git,v1.1.21,1663,511,33,0.00%,3.1818181818182,0,44,13,102,0
git@github.com:nunomaduro/collision.git,v1.1.22,1675,512,35,0.00%,3.2051282051282,0,44,13,105,0
git@github.com:nunomaduro/collision.git,v2.0.0,1795,565,35,0.00%,3.1111111111111,0,44,13,110,0
git@github.com:nunomaduro/collision.git,v2.0.1,1810,573,35,0.00%,3.0853658536585,0,44,13,110,0
git@github.com:nunomaduro/collision.git,v2.0.2,1810,573,35,0.00%,3.0853658536585,0,44,13,110,0
git@github.com:nunomaduro/collision.git,v2.0.3,1816,572,35,0.00%,3.0843373493976,0,44,13,111,0
git@github.com:nunomaduro/collision.git,v2.1.0,1827,578,35,0.00%,3.0595238095238,0,44,13,113,0
git@github.com:nunomaduro/collision.git,v2.1.1,1827,578,35,0.00%,3.0595238095238,0,44,13,113,0
