repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:octobercms/october.git,v1.0.319,72102,13515,2937,0.76%,4.6744186046512,0,1873,360,1925,0
git@github.com:octobercms/october.git,v1.0.320,72340,13528,2937,0.76%,4.6970495258166,0,1873,360,1968,0
git@github.com:octobercms/october.git,v1.0.321,72340,13528,2937,0.76%,4.6970495258166,0,1873,360,1968,0
git@github.com:octobercms/october.git,v1.0.322,72340,13528,2937,0.76%,4.6970495258166,0,1873,360,1968,0
git@github.com:octobercms/october.git,v1.0.323,72260,13504,2937,0.76%,4.6863468634686,0,1873,360,1967,0
git@github.com:octobercms/october.git,v1.0.324,72260,13504,2937,0.76%,4.6863468634686,0,1873,360,1967,0
git@github.com:octobercms/october.git,v1.0.325,72295,13505,2940,0.76%,4.6854583772392,0,1873,360,1970,0
git@github.com:octobercms/october.git,v1.0.326,72440,13525,2943,0.76%,4.7012644889357,0,1873,360,1980,0
git@github.com:octobercms/october.git,v1.0.327,72504,13547,2946,0.76%,4.7003686150606,0,1873,360,1986,0
git@github.com:octobercms/october.git,v1.0.328,72536,13553,2948,0.76%,4.6981032665964,0,1873,360,1991,0
git@github.com:octobercms/october.git,v1.0.329,72789,13637,2957,0.71%,4.6666666666667,0,1873,360,2013,0
git@github.com:octobercms/october.git,v1.0.330,72930,13653,2978,0.71%,4.6738107684266,0,1873,360,2021,0
git@github.com:octobercms/october.git,v1.0.331,72931,13653,2981,0.71%,4.6738107684266,0,1873,360,2021,0
git@github.com:octobercms/october.git,v1.0.332,73082,13672,2984,0.64%,4.6628452318916,0,1873,360,2020,0
git@github.com:octobercms/october.git,v1.0.333,73580,13757,3019,0.64%,4.680310880829,0,1873,360,2072,0
git@github.com:octobercms/october.git,v1.0.334,73779,13770,3043,0.70%,4.6911917098446,0,1873,360,2087,0
git@github.com:octobercms/october.git,v1.0.335,73893,13787,3045,0.70%,4.6949766960124,0,1873,360,2098,0
git@github.com:octobercms/october.git,v1.0.336,74110,13800,3057,0.69%,4.7069143446852,0,1873,360,2104,0
