repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:osTicket/osTicket.git,v1.8.0,128302,19428,21733,1.72%,10.660020625645,0,1038,91,22446,1
git@github.com:osTicket/osTicket.git,v1.8.1,153453,31108,23146,1.57%,9.8112991109837,0,1038,91,24251,1
git@github.com:osTicket/osTicket.git,v1.8.3,154672,31387,23322,1.51%,9.7466742145485,0,1038,91,24351,1
git@github.com:osTicket/osTicket.git,v1.8.4,154897,31417,23367,1.51%,9.7324858757062,0,1038,91,24370,1
git@github.com:osTicket/osTicket.git,v1.8.5,154940,31420,23374,1.51%,9.7292490118577,0,1038,91,24381,1
git@github.com:osTicket/osTicket.git,v1.8.6,155011,31456,23378,1.51%,9.7249647390691,0,1038,91,24387,1
git@github.com:osTicket/osTicket.git,v1.8.7,155085,31449,23394,1.51%,9.7253243090807,0,1038,91,24533,1
git@github.com:osTicket/osTicket.git,v1.8.8,155170,31481,23398,1.50%,9.7216117216117,0,1038,91,24534,1
git@github.com:osTicket/osTicket.git,v1.8.9,155202,31477,23406,1.50%,9.7233802816901,0,1038,91,24535,1
git@github.com:osTicket/osTicket.git,v1.8.10,155259,31499,23418,1.50%,9.7261971830986,0,1038,91,24542,1
git@github.com:osTicket/osTicket.git,v1.8.11,155255,31499,23419,1.50%,9.7261971830986,0,1038,91,24542,1
git@github.com:osTicket/osTicket.git,v1.8.12,155268,31498,23417,1.50%,9.7261971830986,0,1038,91,24543,1
git@github.com:osTicket/osTicket.git,v1.9.0,162140,31724,24483,1.52%,9.3888446215139,0,1038,91,25074,2
git@github.com:osTicket/osTicket.git,v1.9.1,162585,31735,24575,1.52%,9.3815824292141,0,1038,91,25144,2
git@github.com:osTicket/osTicket.git,v1.9.2,163353,31830,24712,1.51%,9.3328961175236,0,1038,91,25262,2
git@github.com:osTicket/osTicket.git,v1.9.3,163419,31833,24722,1.50%,9.3293130571578,0,1038,91,25272,2
git@github.com:osTicket/osTicket.git,v1.9.4,171465,32984,25859,1.41%,8.9528392685274,0,1038,91,26602,1
git@github.com:osTicket/osTicket.git,v1.9.5,171458,32859,25861,1.41%,8.9498078770413,0,1038,91,26750,1
git@github.com:osTicket/osTicket.git,v1.9.6,172236,33086,25979,1.40%,8.942638623327,0,1038,91,26848,1
git@github.com:osTicket/osTicket.git,v1.9.7,172802,33113,26086,1.40%,8.9451204963016,0,1038,91,26894,1
git@github.com:osTicket/osTicket.git,v1.9.8,173243,33218,26149,1.40%,8.9188034188034,0,1038,91,26932,1
git@github.com:osTicket/osTicket.git,v1.9.9,173489,33245,26190,1.40%,8.9136299100805,0,1038,91,26966,1
git@github.com:osTicket/osTicket.git,v1.9.11,173607,33287,26207,1.40%,8.912724692526,0,1038,91,26993,1
git@github.com:osTicket/osTicket.git,v1.9.12,173624,33289,26213,1.40%,8.9134342478713,0,1038,91,26993,1
git@github.com:osTicket/osTicket.git,v1.9.13,173856,33251,26281,1.39%,8.9054022175041,0,1038,91,27034,1
git@github.com:osTicket/osTicket.git,v1.9.14,173932,33261,26299,1.39%,8.9061320754717,0,1038,91,27053,1
git@github.com:osTicket/osTicket.git,v1.9.15,174175,33355,26332,1.39%,8.8987997175806,0,1038,91,27077,1
git@github.com:osTicket/osTicket.git,v1.9.16,174180,33355,26332,1.39%,8.8969411764706,0,1038,91,27077,1
git@github.com:osTicket/osTicket.git,v1.10.1,200926,35440,29499,1.31%,7.9856073690271,0,1038,91,30138,4
git@github.com:osTicket/osTicket.git,v1.10.2,200973,35443,29504,1.31%,7.9835059455313,0,1038,91,30139,4
git@github.com:osTicket/osTicket.git,v1.10.3,201000,35446,29507,1.31%,7.9846566935175,0,1038,91,30140,4
git@github.com:osTicket/osTicket.git,v1.10.4,201031,35443,29524,1.31%,7.9848513902205,0,1038,91,30143,4
