repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:overtrue/easy-sms.git,0.0.1,2543,834,58,0.00%,3.4777777777778,0,262,42,117,0
git@github.com:overtrue/easy-sms.git,0.0.2,2736,879,69,0.00%,3.3913043478261,0,262,42,123,0
git@github.com:overtrue/easy-sms.git,0.0.3,2737,879,69,0.00%,3.4021739130435,0,262,42,123,0
git@github.com:overtrue/easy-sms.git,0.0.4,3038,989,73,0.00%,3.5050505050505,0,262,42,133,0
git@github.com:overtrue/easy-sms.git,0.0.5,3228,1031,75,0.00%,3.5392156862745,0,262,42,140,0
git@github.com:overtrue/easy-sms.git,0.0.6,3312,1115,76,0.00%,3.5392156862745,0,262,42,140,0
git@github.com:overtrue/easy-sms.git,0.0.7,3459,1152,77,0.00%,3.5809523809524,0,262,42,148,0
git@github.com:overtrue/easy-sms.git,0.0.8,3497,1152,80,0.00%,3.5904761904762,0,262,42,153,0
git@github.com:overtrue/easy-sms.git,0.0.9,3497,1152,80,0.00%,3.5904761904762,0,262,42,153,0
git@github.com:overtrue/easy-sms.git,0.0.10,3575,1179,82,0.00%,3.607476635514,0,262,42,154,0
git@github.com:overtrue/easy-sms.git,1.0.0,3607,1182,82,0.00%,3.607476635514,0,262,42,154,0
git@github.com:overtrue/easy-sms.git,1.0.1,3736,1222,89,0.00%,3.6727272727273,0,262,42,159,0
git@github.com:overtrue/easy-sms.git,1.0.2,3745,1222,90,0.00%,3.7,0,262,42,159,0
git@github.com:overtrue/easy-sms.git,1.0.3,4050,1327,92,0.00%,3.1726618705036,0,262,42,160,0
git@github.com:overtrue/easy-sms.git,1.0.4,4369,1398,96,0.00%,3.2147651006711,0,262,42,171,0
git@github.com:overtrue/easy-sms.git,1.0.5,4371,1398,96,0.00%,3.2147651006711,0,262,42,171,0
git@github.com:overtrue/easy-sms.git,1.0.6,4380,1407,96,0.00%,3.2147651006711,0,262,42,171,0
git@github.com:overtrue/easy-sms.git,1.0.7,4382,1407,97,0.00%,3.2147651006711,0,262,42,173,0
git@github.com:overtrue/easy-sms.git,1.0.8,4557,1476,108,0.70%,3.5620437956204,0,262,42,198,0
git@github.com:overtrue/easy-sms.git,1.0.9,4557,1476,109,0.70%,3.5620437956204,0,262,42,198,0
git@github.com:overtrue/easy-sms.git,1.0.10,4557,1476,109,0.70%,3.5620437956204,0,262,42,198,0
git@github.com:overtrue/easy-sms.git,1.1.0,4378,1439,102,0.73%,3.5259259259259,0,262,42,190,0
git@github.com:overtrue/easy-sms.git,1.1.1,4749,1536,108,0.67%,3.8503401360544,0,262,42,203,0
git@github.com:overtrue/easy-sms.git,1.1.2,4881,1566,111,0.66%,3.9261744966443,0,262,42,209,0
git@github.com:overtrue/easy-sms.git,1.1.3,4916,1567,113,0.65%,3.9466666666667,0,262,42,213,0
git@github.com:overtrue/easy-sms.git,1.1.4,4935,1569,115,0.65%,3.9144736842105,0,262,42,214,0
git@github.com:overtrue/easy-sms.git,1.1.5,4959,1571,115,0.65%,3.9144736842105,0,262,42,216,0
git@github.com:overtrue/easy-sms.git,1.1.6,5008,1574,116,0.64%,4.0392156862745,0,262,42,217,0
git@github.com:overtrue/easy-sms.git,1.1.7,5564,1685,128,1.10%,4.1604938271605,0,262,42,255,0
git@github.com:overtrue/easy-sms.git,1.1.8,5563,1687,128,1.10%,4.1543209876543,0,262,42,254,0
