repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:overtrue/laravel-wechat.git,1.0.0,60,22,0,0.00%,1,0,398,29,0,0
git@github.com:overtrue/laravel-wechat.git,1.0.1,60,22,0,0.00%,1,0,398,29,0,0
git@github.com:overtrue/laravel-wechat.git,1.0.2,60,22,0,0.00%,1,0,398,29,0,0
git@github.com:overtrue/laravel-wechat.git,1.0.3,60,22,0,0.00%,1,0,398,29,0,0
git@github.com:overtrue/laravel-wechat.git,2.0.0,133,47,3,0.00%,1,0,398,29,0,0
git@github.com:overtrue/laravel-wechat.git,2.0.1,133,47,3,0.00%,1,0,398,29,0,0
git@github.com:overtrue/laravel-wechat.git,2.0.2,129,47,2,0.00%,1,0,398,29,0,0
git@github.com:overtrue/laravel-wechat.git,2.0.3,129,47,2,0.00%,1,0,398,29,0,0
git@github.com:overtrue/laravel-wechat.git,2.1.0,129,47,2,0.00%,1,0,398,29,0,0
git@github.com:overtrue/laravel-wechat.git,2.1.1,135,47,3,0.00%,1,0,398,29,0,0
git@github.com:overtrue/laravel-wechat.git,2.1.2,137,47,3,0.00%,1,0,398,29,0,0
git@github.com:overtrue/laravel-wechat.git,3.0.1,269,132,6,0.00%,1.6,0,398,29,2,0
git@github.com:overtrue/laravel-wechat.git,3.0.2,269,132,6,0.00%,1.6,0,398,29,2,0
git@github.com:overtrue/laravel-wechat.git,3.0.3,283,139,7,0.00%,1.6363636363636,0,398,29,2,0
git@github.com:overtrue/laravel-wechat.git,3.0.4,284,139,7,0.00%,1.6363636363636,0,398,29,2,0
git@github.com:overtrue/laravel-wechat.git,3.0.5,290,139,8,0.00%,1.8181818181818,0,398,29,4,0
git@github.com:overtrue/laravel-wechat.git,3.0.6,303,144,10,0.00%,2,0,398,29,5,0
git@github.com:overtrue/laravel-wechat.git,3.1.0,370,168,10,0.00%,1.9375,0,398,29,8,0
git@github.com:overtrue/laravel-wechat.git,3.1.1,426,194,13,0.00%,1.9444444444444,0,398,29,6,0
git@github.com:overtrue/laravel-wechat.git,3.1.2,465,209,19,0.00%,2.1,0,398,29,6,0
git@github.com:overtrue/laravel-wechat.git,3.1.3,468,209,19,0.00%,2.1,0,398,29,6,0
git@github.com:overtrue/laravel-wechat.git,3.1.4,467,209,19,0.00%,2.1,0,398,29,6,0
git@github.com:overtrue/laravel-wechat.git,3.1.5,668,270,20,0.00%,1.9310344827586,0,398,29,12,0
git@github.com:overtrue/laravel-wechat.git,3.1.6,668,273,20,0.00%,1.9310344827586,0,398,29,12,0
git@github.com:overtrue/laravel-wechat.git,3.1.7,672,273,21,0.00%,1.9655172413793,0,398,29,12,0
git@github.com:overtrue/laravel-wechat.git,3.1.8,673,273,21,0.00%,1.9655172413793,0,398,29,12,0
git@github.com:overtrue/laravel-wechat.git,3.1.9,723,296,21,0.00%,1.84375,0,398,29,13,0
git@github.com:overtrue/laravel-wechat.git,3.1.10,777,298,23,0.00%,1.7222222222222,0,398,29,17,0
git@github.com:overtrue/laravel-wechat.git,4.0.0,799,360,25,0.00%,1.5,0,398,29,9,0
git@github.com:overtrue/laravel-wechat.git,4.0.1,822,368,32,0.00%,1.5,0,398,29,10,0
git@github.com:overtrue/laravel-wechat.git,4.0.2,815,362,32,0.00%,1.5,0,398,29,10,0
git@github.com:overtrue/laravel-wechat.git,4.0.3,815,362,32,0.00%,1.5,0,398,29,10,0
git@github.com:overtrue/laravel-wechat.git,4.0.4,815,362,32,0.00%,1.5,0,398,29,10,0
git@github.com:overtrue/laravel-wechat.git,4.0.5,776,347,27,0.00%,1.5666666666667,0,398,29,13,0
git@github.com:overtrue/laravel-wechat.git,4.0.6,776,347,27,0.00%,1.5666666666667,0,398,29,13,0
git@github.com:overtrue/laravel-wechat.git,4.0.7,763,340,27,0.00%,1.5862068965517,0,398,29,13,0
git@github.com:overtrue/laravel-wechat.git,4.0.8,756,335,27,0.00%,1.5862068965517,0,398,29,13,0
git@github.com:overtrue/laravel-wechat.git,4.0.9,756,335,28,0.00%,1.5862068965517,0,398,29,13,0
git@github.com:overtrue/laravel-wechat.git,4.0.10,756,335,28,0.00%,1.5862068965517,0,398,29,13,0
git@github.com:overtrue/laravel-wechat.git,4.0.11,756,335,28,0.00%,1.5862068965517,0,398,29,13,0
git@github.com:overtrue/laravel-wechat.git,4.0.22,756,335,28,0.00%,1.5862068965517,0,398,29,13,0
