repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:overtrue/pinyin.git,2.2.1,108452,225,23,0.00%,4.0625,0,561,27,7,0
git@github.com:overtrue/pinyin.git,2.3.0,108492,243,24,0.00%,3.9722222222222,0,561,27,9,0
git@github.com:overtrue/pinyin.git,2.3.1,108492,242,24,0.00%,3.9166666666667,0,561,27,9,0
git@github.com:overtrue/pinyin.git,2.4.0,108952,268,27,0.00%,3.7692307692308,0,561,27,10,0
git@github.com:overtrue/pinyin.git,2.4.1,108959,269,27,0.00%,3.8205128205128,0,561,27,10,0
git@github.com:overtrue/pinyin.git,2.5.0,108830,226,13,0.00%,3.7272727272727,0,561,27,8,0
git@github.com:overtrue/pinyin.git,2.5.1,108835,221,13,0.00%,4.030303030303,0,561,27,8,0
git@github.com:overtrue/pinyin.git,2.5.2,1723,226,13,0.00%,3.9705882352941,0,561,27,8,1
git@github.com:overtrue/pinyin.git,2.5.3,1533,192,13,0.00%,2.55,0,561,27,6,1
git@github.com:overtrue/pinyin.git,2.5.4,1533,192,13,0.00%,2.55,0,561,27,6,1
git@github.com:overtrue/pinyin.git,2.6.0,107495,181,12,0.00%,2.4736842105263,0,561,27,6,1
git@github.com:overtrue/pinyin.git,2.6.1,107504,183,14,0.00%,2.6315789473684,0,561,27,6,1
git@github.com:overtrue/pinyin.git,2.6.2,107504,183,14,0.00%,2.6315789473684,0,561,27,6,1
git@github.com:overtrue/pinyin.git,2.6.3,107505,183,14,0.00%,2.6315789473684,0,561,27,6,1
git@github.com:overtrue/pinyin.git,2.6.4,107732,226,14,0.00%,4.7272727272727,0,561,27,9,1
git@github.com:overtrue/pinyin.git,2.6.5,107823,226,19,0.00%,4.6578947368421,0,561,27,10,1
git@github.com:overtrue/pinyin.git,2.6.7,107827,229,19,0.00%,4.8648648648649,0,561,27,10,1
git@github.com:overtrue/pinyin.git,2.6.8,107843,234,18,0.00%,4.8947368421053,0,561,27,10,1
git@github.com:overtrue/pinyin.git,3.0.0,532,184,10,0.00%,6.2631578947368,0,561,27,3,0
git@github.com:overtrue/pinyin.git,3.0.1,635,220,14,0.00%,5.6666666666667,0,561,27,7,0
git@github.com:overtrue/pinyin.git,3.0.2,643,221,14,0.00%,5.8333333333333,0,561,27,7,0
git@github.com:overtrue/pinyin.git,3.0.3,643,221,14,0.00%,5.8333333333333,0,561,27,7,0
git@github.com:overtrue/pinyin.git,3.0.4,663,225,14,0.00%,6.3333333333333,0,561,27,7,0
git@github.com:overtrue/pinyin.git,3.0.5,1010,361,28,0.00%,5.0263157894737,0,561,27,7,0
git@github.com:overtrue/pinyin.git,3.0.6,1047,398,28,0.00%,5.0263157894737,0,561,27,7,0
git@github.com:overtrue/pinyin.git,4.0.0,1136,420,37,0.00%,5.275,0,561,27,11,0
git@github.com:overtrue/pinyin.git,4.0.1,1147,424,37,0.00%,5.1951219512195,0,561,27,11,0
