repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:overtrue/wechat.git,1.0.1,3845,1500,177,0.00%,2.7081081081081,0,1867,149,59,0
git@github.com:overtrue/wechat.git,2.0.0,6132,2523,215,0.00%,2.6119402985075,0,1867,149,72,0
git@github.com:overtrue/wechat.git,2.0.1,6132,2523,215,0.00%,2.6119402985075,0,1867,149,72,0
git@github.com:overtrue/wechat.git,2.0.35,7282,3314,236,0.00%,2.6523297491039,0,1867,149,86,0
git@github.com:overtrue/wechat.git,2.1.0,7986,3614,275,0.00%,2.7133550488599,0,1867,149,102,0
git@github.com:overtrue/wechat.git,2.1.38,13097,6238,437,0.00%,2.7369668246445,0,1867,149,217,0
git@github.com:overtrue/wechat.git,2.1.39,13081,6227,438,0.00%,2.7163120567376,0,1867,149,216,0
git@github.com:overtrue/wechat.git,2.1.41,13081,6227,438,0.00%,2.7163120567376,0,1867,149,216,0
git@github.com:overtrue/wechat.git,3.0.1,14397,6003,275,0.00%,3.2959381044487,0,1867,149,366,0
git@github.com:overtrue/wechat.git,3.0.21,15380,6388,279,0.64%,3.2640845070423,0,1867,149,397,0
git@github.com:overtrue/wechat.git,3.1.0,15636,6485,283,0.63%,3.2530120481928,0,1867,149,398,0
git@github.com:overtrue/wechat.git,3.1.1,15641,6485,285,0.63%,3.2530120481928,0,1867,149,399,0
git@github.com:overtrue/wechat.git,3.1.2,17200,6964,293,0.58%,3.3496183206107,0,1867,149,427,0
git@github.com:overtrue/wechat.git,3.1.3,17392,7037,296,0.57%,3.3543543543544,0,1867,149,430,0
git@github.com:overtrue/wechat.git,3.1.4,17432,7040,303,0.57%,3.3828828828829,0,1867,149,433,0
git@github.com:overtrue/wechat.git,3.1.5,17432,7040,303,0.57%,3.3828828828829,0,1867,149,433,0
git@github.com:overtrue/wechat.git,3.1.6,17432,7040,303,0.57%,3.3828828828829,0,1867,149,433,0
git@github.com:overtrue/wechat.git,3.1.7,17440,7042,306,0.57%,3.3828828828829,0,1867,149,443,0
git@github.com:overtrue/wechat.git,3.1.8,17497,7050,306,0.57%,3.3832335329341,0,1867,149,448,0
git@github.com:overtrue/wechat.git,3.1.9,17840,7138,308,0.55%,3.3581871345029,0,1867,149,452,0
git@github.com:overtrue/wechat.git,3.1.10,25538,10040,407,0.78%,3.2414893617021,0,1867,149,564,0
git@github.com:overtrue/wechat.git,3.2.0,20193,7889,327,0.49%,3.3730158730159,0,1867,149,479,0
git@github.com:overtrue/wechat.git,3.2.1,20312,7951,328,0.49%,3.3720316622691,0,1867,149,479,0
git@github.com:overtrue/wechat.git,3.2.2,21451,8571,341,0.46%,3.3177215189873,0,1867,149,488,0
git@github.com:overtrue/wechat.git,3.2.3,21575,8623,344,0.46%,3.3136020151134,0,1867,149,487,0
git@github.com:overtrue/wechat.git,3.2.4,22192,8956,348,0.45%,3.2952853598015,0,1867,149,493,0
git@github.com:overtrue/wechat.git,3.2.5,22240,8960,353,0.45%,3.3002481389578,0,1867,149,499,0
git@github.com:overtrue/wechat.git,3.2.6,23747,9329,393,0.42%,3.3673938002296,0,1867,149,543,0
git@github.com:overtrue/wechat.git,3.2.7,23769,9337,393,0.42%,3.3642611683849,0,1867,149,543,0
git@github.com:overtrue/wechat.git,3.2.8,23857,9402,393,0.41%,3.3642611683849,0,1867,149,543,0
git@github.com:overtrue/wechat.git,3.3.0,24065,9415,375,0.82%,3.265306122449,0,1867,149,546,0
git@github.com:overtrue/wechat.git,3.3.1,24047,9404,376,0.82%,3.2616609783845,0,1867,149,544,0
git@github.com:overtrue/wechat.git,3.3.2,24514,9644,378,0.81%,3.25,0,1867,149,547,0
git@github.com:overtrue/wechat.git,3.3.3,25122,9874,391,0.79%,3.2378378378378,0,1867,149,553,0
git@github.com:overtrue/wechat.git,3.3.4,25204,9911,388,0.79%,3.2314316469322,0,1867,149,554,0
git@github.com:overtrue/wechat.git,3.3.5,25220,9917,388,0.79%,3.2290322580645,0,1867,149,554,0
git@github.com:overtrue/wechat.git,3.3.6,25242,9922,391,0.78%,3.2320085929108,0,1867,149,554,0
git@github.com:overtrue/wechat.git,3.3.7,25242,9922,393,0.78%,3.2320085929108,0,1867,149,554,0
git@github.com:overtrue/wechat.git,3.3.8,25244,9922,393,0.78%,3.2330827067669,0,1867,149,556,0
git@github.com:overtrue/wechat.git,3.3.9,25258,9930,393,0.78%,3.230686695279,0,1867,149,557,0
git@github.com:overtrue/wechat.git,3.3.10,25337,9971,395,0.78%,3.2312633832976,0,1867,149,558,0
git@github.com:overtrue/wechat.git,3.3.11,25339,9971,395,0.78%,3.2312633832976,0,1867,149,557,0
git@github.com:overtrue/wechat.git,3.3.12,25417,9986,396,0.78%,3.2443970117396,0,1867,149,579,0
git@github.com:overtrue/wechat.git,3.3.13,25417,9986,396,0.78%,3.2443970117396,0,1867,149,579,0
git@github.com:overtrue/wechat.git,3.3.14,25362,9978,398,0.78%,3.2323340471092,0,1867,149,558,0
git@github.com:overtrue/wechat.git,3.3.15,25362,9978,398,0.78%,3.2323340471092,0,1867,149,558,0
git@github.com:overtrue/wechat.git,3.3.16,25493,10026,406,0.78%,3.2364217252396,0,1867,149,563,0
git@github.com:overtrue/wechat.git,3.3.17,25505,10029,406,0.78%,3.2364217252396,0,1867,149,563,0
git@github.com:overtrue/wechat.git,3.3.18,25529,10040,406,0.78%,3.2351063829787,0,1867,149,564,0
git@github.com:overtrue/wechat.git,3.3.20,25529,10040,406,0.78%,3.2351063829787,0,1867,149,563,0
git@github.com:overtrue/wechat.git,3.3.21,25530,10040,406,0.78%,3.2372340425532,0,1867,149,564,0
git@github.com:overtrue/wechat.git,3.3.22,25530,10040,406,0.78%,3.2372340425532,0,1867,149,564,0
git@github.com:overtrue/wechat.git,3.3.23,25542,10040,408,0.78%,3.2414893617021,0,1867,149,564,0
git@github.com:overtrue/wechat.git,3.3.24,25538,10040,407,0.78%,3.2414893617021,0,1867,149,564,0
git@github.com:overtrue/wechat.git,3.3.25,25538,10040,408,0.78%,3.2414893617021,0,1867,149,564,0
git@github.com:overtrue/wechat.git,3.3.26,25538,10040,408,0.78%,3.2414893617021,0,1867,149,564,0
git@github.com:overtrue/wechat.git,3.3.27,25626,10064,408,0.77%,3.2513255567338,0,1867,149,564,0
git@github.com:overtrue/wechat.git,3.3.28,25630,10064,408,0.77%,3.2523860021209,0,1867,149,565,0
git@github.com:overtrue/wechat.git,3.3.29,25630,10064,408,0.77%,3.2523860021209,0,1867,149,565,0
git@github.com:overtrue/wechat.git,3.3.30,25635,10065,409,0.77%,3.253446447508,0,1867,149,565,0
git@github.com:overtrue/wechat.git,3.3.31,25636,10066,409,0.77%,3.253446447508,0,1867,149,565,0
git@github.com:overtrue/wechat.git,3.3.32,25636,10066,409,0.77%,3.253446447508,0,1867,149,565,0
git@github.com:overtrue/wechat.git,3.3.33,25635,10066,409,0.77%,3.2523860021209,0,1867,149,565,0
git@github.com:overtrue/wechat.git,4.0.0,29451,9584,400,0.25%,3.3550247116969,0,1867,149,3113,0
git@github.com:overtrue/wechat.git,4.0.1,29462,9587,400,0.25%,3.356378600823,0,1867,149,3113,0
git@github.com:overtrue/wechat.git,4.0.2,29590,9620,401,0.25%,3.3782894736842,0,1867,149,3125,0
git@github.com:overtrue/wechat.git,4.0.3,29316,9565,397,0.25%,3.3785357737105,0,1867,149,3123,0
git@github.com:overtrue/wechat.git,4.0.4,29418,9610,399,0.25%,3.3853820598007,0,1867,149,3119,0
git@github.com:overtrue/wechat.git,4.0.5,29427,9619,399,0.25%,3.3853820598007,0,1867,149,3119,0
git@github.com:overtrue/wechat.git,4.0.6,29446,9625,399,0.25%,3.391196013289,0,1867,149,3129,0
git@github.com:overtrue/wechat.git,4.0.7,29763,9775,402,0.25%,3.3948675496689,0,1867,149,3133,0
git@github.com:overtrue/wechat.git,4.0.8,29793,9782,402,0.25%,3.3928866832093,0,1867,149,3141,0
git@github.com:overtrue/wechat.git,4.0.9,29793,9782,402,0.25%,3.3928866832093,0,1867,149,3141,0
git@github.com:overtrue/wechat.git,4.0.10,29799,9788,402,0.25%,3.3928866832093,0,1867,149,3138,0
git@github.com:overtrue/wechat.git,4.0.11,29828,9796,402,0.25%,3.3917355371901,0,1867,149,3138,0
git@github.com:overtrue/wechat.git,4.0.12,29830,9796,402,0.25%,3.3925619834711,0,1867,149,3138,0
git@github.com:overtrue/wechat.git,4.0.13,29830,9796,402,0.25%,3.3925619834711,0,1867,149,3138,0
git@github.com:overtrue/wechat.git,4.0.14,30171,9966,402,0.32%,3.4003281378179,0,1867,149,3189,0
git@github.com:overtrue/wechat.git,4.0.15,30171,9966,402,0.29%,3.4003281378179,0,1867,149,3189,0
git@github.com:overtrue/wechat.git,4.0.16,30194,9974,403,0.29%,3.4019688269073,0,1867,149,3189,0
git@github.com:overtrue/wechat.git,4.0.17,30200,9974,404,0.29%,3.4019688269073,0,1867,149,3189,0
git@github.com:overtrue/wechat.git,4.0.18,30199,9973,405,0.29%,3.402789171452,0,1867,149,3189,0
