repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:pagekit/pagekit.git,0.8.8,18404,4174,1113,0.67%,2.6544378698225,0,578,70,708,1
git@github.com:pagekit/pagekit.git,0.9.0,48092,8598,2071,6.36%,2.8909479686386,0,578,70,1117,0
git@github.com:pagekit/pagekit.git,0.9.1,48111,8598,2076,6.36%,2.8916607270135,0,578,70,1117,0
git@github.com:pagekit/pagekit.git,0.9.2,57660,8574,2062,10.74%,2.8950795947902,0,578,70,1081,0
git@github.com:pagekit/pagekit.git,0.9.3,57657,8574,2062,10.74%,2.8943560057887,0,578,70,1082,0
git@github.com:pagekit/pagekit.git,0.9.4,57881,8616,2070,10.70%,2.8900862068966,0,578,70,1088,0
git@github.com:pagekit/pagekit.git,0.9.5,57903,8620,2076,10.70%,2.8930366116296,0,578,70,1089,0
git@github.com:pagekit/pagekit.git,0.10.0,57940,8620,2082,10.69%,2.896700143472,0,578,70,1089,0
git@github.com:pagekit/pagekit.git,0.10.1,57991,8628,2087,10.68%,2.8982078853047,0,578,70,1090,0
git@github.com:pagekit/pagekit.git,0.10.2,59158,8730,2173,10.44%,2.9312762973352,0,578,70,1156,0
git@github.com:pagekit/pagekit.git,0.10.3,59171,8733,2174,10.44%,2.9305750350631,0,578,70,1156,0
git@github.com:pagekit/pagekit.git,0.10.4,62294,8777,2204,13.69%,2.9461161651505,0,578,70,1167,0
git@github.com:pagekit/pagekit.git,0.11.0,62647,8822,2225,13.61%,2.9541029207232,0,578,70,1185,0
git@github.com:pagekit/pagekit.git,0.11.1,62647,8822,2225,13.61%,2.9541029207232,0,578,70,1185,0
git@github.com:pagekit/pagekit.git,0.11.2,62647,8822,2225,13.61%,2.9541029207232,0,578,70,1185,0
git@github.com:pagekit/pagekit.git,0.11.3,62798,8870,2239,13.58%,2.9515570934256,0,578,70,1185,0
git@github.com:pagekit/pagekit.git,1.0.0,63152,8870,2239,11.42%,2.9515570934256,0,578,70,1185,0
git@github.com:pagekit/pagekit.git,1.0.1,63122,8854,2245,11.43%,2.9529085872576,0,578,70,1183,0
git@github.com:pagekit/pagekit.git,1.0.2,63121,8854,2245,11.43%,2.9529085872576,0,578,70,1183,0
git@github.com:pagekit/pagekit.git,1.0.3,65877,8862,2246,13.91%,2.9536652835408,0,578,70,1184,0
git@github.com:pagekit/pagekit.git,1.0.4,65829,8862,2250,13.92%,2.9529411764706,0,578,70,1182,0
git@github.com:pagekit/pagekit.git,1.0.5,65829,8862,2250,13.92%,2.9529411764706,0,578,70,1182,0
git@github.com:pagekit/pagekit.git,1.0.6,65850,8867,2252,13.92%,2.9502074688797,0,578,70,1181,0
git@github.com:pagekit/pagekit.git,1.0.7,65867,8867,2255,13.92%,2.9508990318119,0,578,70,1182,0
git@github.com:pagekit/pagekit.git,1.0.8,65865,8867,2256,13.92%,2.9508990318119,0,578,70,1182,0
git@github.com:pagekit/pagekit.git,1.0.9,65774,8859,2250,13.94%,2.9439058171745,0,578,70,1167,0
git@github.com:pagekit/pagekit.git,1.0.10,65774,8859,2250,13.94%,2.9439058171745,0,578,70,1167,0
git@github.com:pagekit/pagekit.git,1.0.11,65783,8859,2252,13.93%,2.946675900277,0,578,70,1167,0
git@github.com:pagekit/pagekit.git,1.0.12,65783,8859,2252,13.93%,2.946675900277,0,578,70,1167,0
git@github.com:pagekit/pagekit.git,1.0.13,65780,8859,2252,10.87%,2.946675900277,0,578,70,1167,0
git@github.com:pagekit/pagekit.git,1.0.14,65834,8867,2263,10.86%,2.9522821576763,0,578,70,1170,0
git@github.com:pagekit/pagekit.git,1.0.15,66105,8920,2283,10.81%,2.9492107069321,0,578,70,1180,0
