repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:pattern-lab/patternlab-php.git,v0.2.0,11884,4298,597,0.00%,3.4451097804391,0,506,22,583,0
git@github.com:pattern-lab/patternlab-php.git,v0.3.0,11903,4302,600,0.00%,3.4570858283433,0,506,22,595,0
git@github.com:pattern-lab/patternlab-php.git,v0.3.1,11903,4302,600,0.00%,3.4570858283433,0,506,22,595,0
git@github.com:pattern-lab/patternlab-php.git,v0.3.2,11901,4302,600,0.00%,3.4530938123752,0,506,22,592,0
git@github.com:pattern-lab/patternlab-php.git,v0.3.3,11901,4302,600,0.00%,3.4530938123752,0,506,22,592,0
git@github.com:pattern-lab/patternlab-php.git,v0.3.4,11901,4302,600,0.00%,3.4530938123752,0,506,22,592,0
git@github.com:pattern-lab/patternlab-php.git,v0.3.5,11901,4302,600,0.00%,3.4530938123752,0,506,22,592,0
git@github.com:pattern-lab/patternlab-php.git,v0.3.6,11904,4303,600,0.00%,3.4550898203593,0,506,22,592,0
git@github.com:pattern-lab/patternlab-php.git,v0.6.0,12759,4504,691,0.19%,3.6808510638298,0,506,22,643,0
git@github.com:pattern-lab/patternlab-php.git,v0.6.1,12759,4504,691,0.19%,3.6808510638298,0,506,22,643,0
git@github.com:pattern-lab/patternlab-php.git,v0.6.2,12759,4504,691,0.19%,3.6808510638298,0,506,22,643,0
git@github.com:pattern-lab/patternlab-php.git,v0.6.3,12763,4504,691,0.19%,3.6847195357834,0,506,22,643,0
git@github.com:pattern-lab/patternlab-php.git,v0.6.4,12763,4504,691,0.19%,3.6847195357834,0,506,22,643,0
git@github.com:pattern-lab/patternlab-php.git,v0.7.0,13306,4687,810,0.18%,4.0171428571429,0,506,22,665,0
git@github.com:pattern-lab/patternlab-php.git,v0.7.1,13292,4679,810,0.18%,4.0209923664122,0,506,22,660,0
git@github.com:pattern-lab/patternlab-php.git,v0.7.2,13296,4680,812,0.18%,4.0267175572519,0,506,22,660,0
git@github.com:pattern-lab/patternlab-php.git,v0.7.5,13535,4709,861,0.18%,4.1292775665399,0,506,22,696,0
git@github.com:pattern-lab/patternlab-php.git,v0.7.6,13535,4709,861,0.18%,4.1292775665399,0,506,22,696,0
git@github.com:pattern-lab/patternlab-php.git,v0.7.7,13537,4710,860,0.18%,4.1311787072243,0,506,22,696,0
git@github.com:pattern-lab/patternlab-php.git,v0.7.8,13537,4710,860,0.18%,4.1311787072243,0,506,22,696,0
git@github.com:pattern-lab/patternlab-php.git,v0.7.9,13830,4797,893,0.19%,4.1824953445065,0,506,22,693,0
git@github.com:pattern-lab/patternlab-php.git,v0.7.10,13830,4797,893,0.19%,4.1824953445065,0,506,22,693,0
git@github.com:pattern-lab/patternlab-php.git,v0.7.11,13831,4795,894,0.19%,4.1880819366853,0,506,22,693,0
git@github.com:pattern-lab/patternlab-php.git,v0.7.12,13831,4795,894,0.19%,4.1880819366853,0,506,22,693,0
git@github.com:pattern-lab/patternlab-php.git,v1.0.0,13831,4795,894,0.19%,4.1880819366853,0,506,22,693,0
git@github.com:pattern-lab/patternlab-php.git,v1.1.0,13829,4795,895,0.19%,4.1880819366853,0,506,22,693,0
git@github.com:pattern-lab/patternlab-php.git,v2.0.0,203,63,14,0.00%,2.8,0,506,22,21,0
