repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:paypal/PayPal-PHP-SDK.git,v0.6.0,4601,1373,70,9.80%,2.3977900552486,0,876,87,440,27
git@github.com:paypal/PayPal-PHP-SDK.git,v0.7.0,6634,1966,98,14.62%,2.5652173913043,0,876,87,564,2
git@github.com:paypal/PayPal-PHP-SDK.git,v0.7.1,6762,1975,100,15.00%,2.6105675146771,0,876,87,581,2
git@github.com:paypal/PayPal-PHP-SDK.git,v0.8.0,12914,5286,133,20.69%,2.1156462585034,0,876,87,1062,0
git@github.com:paypal/PayPal-PHP-SDK.git,v0.8.1,14688,6435,130,19.00%,2.1041869522882,0,876,87,1069,0
git@github.com:paypal/PayPal-PHP-SDK.git,v0.8.2,14738,6441,132,18.94%,2.1086323957323,0,876,87,1069,0
git@github.com:paypal/PayPal-PHP-SDK.git,v0.8.3,14729,6432,132,18.95%,2.1086323957323,0,876,87,1069,0
git@github.com:paypal/PayPal-PHP-SDK.git,v0.8.4,14729,6432,132,18.95%,2.1086323957323,0,876,87,1069,0
git@github.com:paypal/PayPal-PHP-SDK.git,v0.8.5,14755,6446,132,18.92%,2.107454017425,0,876,87,1070,0
git@github.com:paypal/PayPal-PHP-SDK.git,v0.8.6,14755,6446,132,18.92%,2.107454017425,0,876,87,1070,0
git@github.com:paypal/PayPal-PHP-SDK.git,v0.9.0,15094,6585,134,18.49%,2.1232227488152,0,876,87,1103,0
git@github.com:paypal/PayPal-PHP-SDK.git,v0.10.0,15184,6630,134,18.38%,2.1253534401508,0,876,87,1109,0
git@github.com:paypal/PayPal-PHP-SDK.git,v0.11.0,15282,6681,138,18.16%,2.1267605633803,0,876,87,1127,0
git@github.com:paypal/PayPal-PHP-SDK.git,v0.11.1,18496,7729,234,16.11%,2.2020117351215,0,876,87,1328,0
git@github.com:paypal/PayPal-PHP-SDK.git,v0.12.0,23801,10463,233,17.48%,2.061135371179,0,876,87,1551,0
git@github.com:paypal/PayPal-PHP-SDK.git,v0.13.0,25158,11078,266,16.54%,2.0740298507463,0,876,87,1625,0
git@github.com:paypal/PayPal-PHP-SDK.git,v0.13.1,27492,11899,269,15.13%,2.1108671789243,0,876,87,1770,0
git@github.com:paypal/PayPal-PHP-SDK.git,v0.13.2,27602,11928,283,15.07%,2.118291347207,0,876,87,1777,0
git@github.com:paypal/PayPal-PHP-SDK.git,v0.14.0,36333,15337,326,13.18%,2.548566538297,0,876,87,2006,0
git@github.com:paypal/PayPal-PHP-SDK.git,v0.14.1,36712,15401,345,12.93%,2.5617834394904,0,876,87,2015,0
git@github.com:paypal/PayPal-PHP-SDK.git,v0.14.2,36744,15408,347,12.92%,2.5647008909631,0,876,87,2020,0
git@github.com:paypal/PayPal-PHP-SDK.git,v0.15.0,41485,16988,371,10.53%,2.8304609218437,0,876,87,2101,0
git@github.com:paypal/PayPal-PHP-SDK.git,v0.15.1,41741,17072,375,10.47%,2.8321314102564,0,876,87,2142,1
git@github.com:paypal/PayPal-PHP-SDK.git,v0.16.0,44623,18078,427,10.05%,2.838073568449,0,876,87,2293,0
git@github.com:paypal/PayPal-PHP-SDK.git,v0.16.1,44889,18180,440,9.99%,2.8410295230886,0,876,87,2304,0
git@github.com:paypal/PayPal-PHP-SDK.git,v1.0.0,36255,13960,454,2.90%,2.6739345887017,0,876,87,2043,0
git@github.com:paypal/PayPal-PHP-SDK.git,v1.1.0,36789,14085,461,2.86%,2.702649656526,0,876,87,2079,0
git@github.com:paypal/PayPal-PHP-SDK.git,v1.1.1,36816,14091,462,2.86%,2.7062285434036,0,876,87,2080,0
git@github.com:paypal/PayPal-PHP-SDK.git,v1.2.0,37800,14362,483,3.36%,2.7214076246334,0,876,87,2225,0
git@github.com:paypal/PayPal-PHP-SDK.git,v1.2.1,37865,14384,486,3.35%,2.7253658536585,0,876,87,2229,0
