repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:phalcon/cphalcon.git,v0.4.5,6076,910,86,0.00%,11.463687150838,0,1730,311,201,0
git@github.com:phalcon/cphalcon.git,v0.5.3,12049,1140,169,4.37%,8.5308641975309,0,1730,311,660,0
git@github.com:phalcon/cphalcon.git,v0.6.1,13810,1347,193,3.56%,9.7903682719547,0,1730,311,745,1
git@github.com:phalcon/cphalcon.git,v0.7.0,31713,4510,239,7.79%,8.6809895833333,0,1730,311,1163,1
git@github.com:phalcon/cphalcon.git,v0.8.0,33445,5629,269,7.73%,7.9423312883436,0,1730,311,1215,10
git@github.com:phalcon/cphalcon.git,v0.9.0,37062,4955,335,9.21%,8.6031567080045,0,1730,311,1373,10
git@github.com:phalcon/cphalcon.git,v1.0.0,38945,5044,353,10.16%,8.9375,0,1730,311,1436,12
git@github.com:phalcon/cphalcon.git,v1.0.1,38945,5044,353,10.16%,8.9375,0,1730,311,1436,12
git@github.com:phalcon/cphalcon.git,v1.1.0,41124,5336,396,9.94%,8.6980942828485,0,1730,311,1571,12
git@github.com:phalcon/cphalcon.git,v1.2.0,41516,5411,519,8.12%,8.710351377018,0,1730,311,1778,12
git@github.com:phalcon/cphalcon.git,v1.2.1,41968,5451,526,8.14%,8.7111947318909,0,1730,311,1796,12
git@github.com:phalcon/cphalcon.git,v1.2.2,42025,5451,526,8.13%,8.7208646616541,0,1730,311,1798,12
git@github.com:phalcon/cphalcon.git,v1.2.3,42189,5451,527,8.12%,8.7039106145251,0,1730,311,1825,12
git@github.com:phalcon/cphalcon.git,v1.2.4,42457,5491,534,8.16%,8.6694367497692,0,1730,311,1868,12
git@github.com:phalcon/cphalcon.git,v1.2.5,30604,2205,468,9.59%,9.9095022624434,0,1730,311,1712,12
git@github.com:phalcon/cphalcon.git,v3.0.0,74517,12740,788,4.22%,5.8698468786808,0,1730,311,3383,10
git@github.com:phalcon/cphalcon.git,v3.0.1,75355,13009,779,4.24%,5.8345996493279,0,1730,311,3555,10
git@github.com:phalcon/cphalcon.git,v3.0.2,80570,13687,692,4.17%,4.4023128423615,0,1730,311,3723,14
git@github.com:phalcon/cphalcon.git,v3.0.3,81338,13955,705,4.20%,4.3485851896448,0,1730,311,3874,7
git@github.com:phalcon/cphalcon.git,v3.0.4,81644,14073,704,4.13%,4.3132530120482,0,1730,311,3867,4
git@github.com:phalcon/cphalcon.git,v3.1.0,80461,14004,730,4.38%,6.3673469387755,0,1730,311,4044,4
git@github.com:phalcon/cphalcon.git,v3.1.1,80478,14008,730,4.38%,6.3673469387755,0,1730,311,4044,4
git@github.com:phalcon/cphalcon.git,v3.1.2,80355,14038,695,4.39%,6.4009803921569,0,1730,311,3982,4
git@github.com:phalcon/cphalcon.git,v3.2.0,83770,15056,703,4.27%,6.3370998116761,0,1730,311,4335,4
git@github.com:phalcon/cphalcon.git,v3.2.1,84150,15119,708,4.25%,6.311506080449,0,1730,311,4350,4
git@github.com:phalcon/cphalcon.git,v3.2.2,84516,15256,718,4.23%,6.2380073800738,0,1730,311,4358,4
git@github.com:phalcon/cphalcon.git,v3.2.3,88004,16322,740,4.14%,5.8821490467938,0,1730,311,4451,4
git@github.com:phalcon/cphalcon.git,v3.2.4,88233,16345,741,3.34%,5.8442340791738,0,1730,311,4451,4
git@github.com:phalcon/cphalcon.git,v3.3.0,89442,16734,741,3.29%,5.7751277683135,0,1730,311,4514,4
git@github.com:phalcon/cphalcon.git,v3.3.1,89512,16745,741,3.28%,5.7742759795571,0,1730,311,4515,4
git@github.com:phalcon/cphalcon.git,v3.3.2,90515,17926,747,3.10%,5.8508474576271,0,1730,311,4501,4
git@github.com:phalcon/cphalcon.git,v3.4.0,91425,18179,761,3.07%,5.8238255033557,0,1730,311,4543,4
git@github.com:phalcon/cphalcon.git,v3.4.1,91719,18228,775,3.06%,5.7990033222591,0,1730,311,4560,4
git@github.com:phalcon/cphalcon.git,v3.4.2,89911,17819,772,2.99%,5.6870163370593,0,1730,311,4309,4
