repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:phalcon/zephir.git,v0.2.0,56882,16168,6358,8.10%,9.2365019011407,0,390,107,3962,0
git@github.com:phalcon/zephir.git,0.4.1,41600,11956,4608,4.41%,9.6475138121547,0,390,107,2871,0
git@github.com:phalcon/zephir.git,0.4.3,43192,12329,4761,4.22%,9.6222222222222,0,390,107,3033,0
git@github.com:phalcon/zephir.git,0.4.4,43366,12378,4771,4.20%,9.5903361344538,0,390,107,3046,0
git@github.com:phalcon/zephir.git,0.4.5,43602,12422,4827,4.44%,9.6104712041885,0,390,107,3062,0
git@github.com:phalcon/zephir.git,0.4.6,43692,12452,4832,4.43%,9.5787278415016,0,390,107,3063,0
git@github.com:phalcon/zephir.git,0.5.0,45315,13032,4927,4.27%,9.2741463414634,0,390,107,3150,0
git@github.com:phalcon/zephir.git,0.5.1,45364,13042,4931,4.27%,9.2729044834308,0,390,107,3151,0
git@github.com:phalcon/zephir.git,0.5.2,45375,13044,4936,4.26%,9.2748538011696,0,390,107,3151,0
git@github.com:phalcon/zephir.git,0.5.3,45821,13189,4977,4.34%,9.2857142857143,0,390,107,3191,0
git@github.com:phalcon/zephir.git,0.5.4,45825,13190,4977,4.34%,9.2857142857143,0,390,107,3191,0
git@github.com:phalcon/zephir.git,0.5.5,46080,13306,4989,4.26%,9.2382775119617,0,390,107,3189,0
git@github.com:phalcon/zephir.git,0.5.6,46645,13348,5133,4.41%,9.3891013384321,0,390,107,3237,0
git@github.com:phalcon/zephir.git,0.5.7,47154,13533,5178,4.36%,9.4235517568851,0,390,107,3258,0
git@github.com:phalcon/zephir.git,0.5.8,48397,13932,5286,4.31%,9.3475046210721,0,390,107,3329,0
git@github.com:phalcon/zephir.git,0.5.9,50427,14461,5621,5.16%,9.3460514640639,0,390,107,3485,0
git@github.com:phalcon/zephir.git,0.6.0,55202,15555,6114,7.92%,9.1817466561762,0,390,107,3771,0
git@github.com:phalcon/zephir.git,0.6.1,55625,15922,6165,7.82%,9.1989121989122,0,390,107,3853,0
git@github.com:phalcon/zephir.git,0.7.0,58214,16605,6508,7.76%,9.1911111111111,0,390,107,4064,0
git@github.com:phalcon/zephir.git,0.7.1,58670,16859,6584,7.52%,9.1267098632109,0,390,107,4087,0
git@github.com:phalcon/zephir.git,0.8.0,58969,16917,6422,3.35%,8.5020080321285,0,390,107,4672,0
git@github.com:phalcon/zephir.git,0.9.2,62226,18311,6540,3.18%,7.7666270783848,0,390,107,4896,0
git@github.com:phalcon/zephir.git,0.9.3,62580,18378,6563,3.23%,7.72,0,390,107,4925,0
git@github.com:phalcon/zephir.git,0.9.4,62718,18421,6579,3.23%,7.7177230046948,0,390,107,4936,0
git@github.com:phalcon/zephir.git,0.9.5,63440,18689,6625,3.20%,7.6342592592593,0,390,107,4961,0
git@github.com:phalcon/zephir.git,0.9.6,63703,18737,6637,3.18%,7.6229130685089,0,390,107,4975,0
git@github.com:phalcon/zephir.git,0.9.7,64526,19073,6664,3.21%,7.5689166193988,0,390,107,5047,0
git@github.com:phalcon/zephir.git,0.9.8,64972,19199,6671,3.23%,7.5540540540541,0,390,107,5099,0
git@github.com:phalcon/zephir.git,0.9.9,65035,19231,6671,3.23%,7.5404494382022,0,390,107,5099,0
git@github.com:phalcon/zephir.git,0.9.10,65118,19267,6671,3.23%,7.5347923681257,0,390,107,5103,0
git@github.com:phalcon/zephir.git,0.9.11,65183,19319,6671,3.22%,7.5294447560292,0,390,107,5105,0
git@github.com:phalcon/zephir.git,0.10.0,65281,19502,6674,3.22%,7.4899441340782,0,390,107,5086,0
git@github.com:phalcon/zephir.git,0.10.1,65304,19502,6674,3.22%,7.4879955332217,0,390,107,5087,0
git@github.com:phalcon/zephir.git,0.10.2,65352,19523,6675,3.21%,7.4860491071429,0,390,107,5086,0
git@github.com:phalcon/zephir.git,0.10.3,62963,17101,6679,3.34%,7.4774373259053,0,390,107,5087,0
git@github.com:phalcon/zephir.git,0.10.4,62963,17101,6679,3.34%,7.4774373259053,0,390,107,5087,0
git@github.com:phalcon/zephir.git,0.10.5,62998,17120,6677,3.34%,7.4774373259053,0,390,107,5096,0
git@github.com:phalcon/zephir.git,0.10.6,63284,17283,6680,3.28%,7.4391328515842,0,390,107,5052,0
