repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:phanan/koel.git,v1.1.1,6723,2120,172,0.00%,2.9082125603865,0,1124,48,241,5
git@github.com:phanan/koel.git,v1.1.2,6723,2120,172,0.00%,2.9082125603865,0,1124,48,241,5
git@github.com:phanan/koel.git,v2.0.0,7135,2297,189,0.00%,3.0446428571429,0,1124,48,263,3
git@github.com:phanan/koel.git,v2.0.1,7136,2297,189,0.00%,3.0446428571429,0,1124,48,263,3
git@github.com:phanan/koel.git,v2.0.2,7136,2297,189,0.00%,3.0446428571429,0,1124,48,263,3
git@github.com:phanan/koel.git,v2.1.0,7547,2447,202,0.00%,2.9879518072289,0,1124,48,269,3
git@github.com:phanan/koel.git,v2.2.0,7815,2525,204,0.00%,3.1284046692607,0,1124,48,296,3
git@github.com:phanan/koel.git,v2.2.1,8127,2628,218,0.00%,3.2105263157895,0,1124,48,305,3
git@github.com:phanan/koel.git,v3.0.0,9725,2982,256,0.00%,3.183800623053,0,1124,48,384,3
git@github.com:phanan/koel.git,v3.0.1,9725,2982,256,0.00%,3.183800623053,0,1124,48,384,3
git@github.com:phanan/koel.git,v3.1.0,9760,2995,257,0.00%,3.1733746130031,0,1124,48,384,3
git@github.com:phanan/koel.git,v3.1.1,9841,3024,260,0.00%,3.2092307692308,0,1124,48,387,3
git@github.com:phanan/koel.git,v3.2.0,10052,3076,268,0.00%,3.1916167664671,0,1124,48,397,3
git@github.com:phanan/koel.git,v3.3.0,10344,3263,277,0.00%,3.2328358208955,0,1124,48,405,3
git@github.com:phanan/koel.git,v3.3.1,10351,3263,275,0.00%,3.2321428571429,0,1124,48,405,3
git@github.com:phanan/koel.git,v3.4.0,11659,3620,299,0.00%,3.3367346938776,0,1124,48,456,4
git@github.com:phanan/koel.git,v3.4.1,11657,3620,299,0.00%,3.3367346938776,0,1124,48,456,4
git@github.com:phanan/koel.git,v3.5.0,12021,3698,311,0.00%,3.3046683046683,0,1124,48,467,6
git@github.com:phanan/koel.git,v3.5.1,12021,3698,311,0.00%,3.3046683046683,0,1124,48,467,6
git@github.com:phanan/koel.git,v3.5.2,12011,3698,310,0.00%,3.3022113022113,0,1124,48,465,6
git@github.com:phanan/koel.git,v3.5.3,12011,3698,310,0.00%,3.3022113022113,0,1124,48,465,6
git@github.com:phanan/koel.git,v3.5.4,12011,3698,310,0.00%,3.3022113022113,0,1124,48,465,6
git@github.com:phanan/koel.git,v3.5.5,12011,3698,310,0.00%,3.3022113022113,0,1124,48,465,6
git@github.com:phanan/koel.git,v3.6.0,12137,3707,311,0.00%,3.2971014492754,0,1124,48,457,6
git@github.com:phanan/koel.git,v3.6.1,12137,3707,311,0.00%,3.2971014492754,0,1124,48,457,6
git@github.com:phanan/koel.git,v3.6.2,12141,3708,311,0.00%,3.2971014492754,0,1124,48,457,6
git@github.com:phanan/koel.git,v3.7.0,13821,4273,321,0.00%,3.3297872340426,0,1124,48,502,8
git@github.com:phanan/koel.git,v3.7.1,14221,4484,317,0.00%,3.238683127572,0,1124,48,499,8
git@github.com:phanan/koel.git,v3.7.2,14221,4484,317,0.00%,3.238683127572,0,1124,48,499,8
