repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:php-ai/php-ml.git,v0.1.0,5622,1135,194,0.25%,3.9539007092199,0,899,27,311,0
git@github.com:php-ai/php-ml.git,v0.1.1,5768,1160,199,0.24%,3.9584775086505,0,899,27,311,0
git@github.com:php-ai/php-ml.git,v0.1.2,6092,1224,207,0.23%,3.9676375404531,0,899,27,318,0
git@github.com:php-ai/php-ml.git,v0.2.0,7563,1581,250,0.19%,3.673417721519,0,899,27,340,0
git@github.com:php-ai/php-ml.git,v0.2.1,8479,1833,276,0.17%,3.5871964679912,0,899,27,405,0
git@github.com:php-ai/php-ml.git,v0.3.0,9741,2104,352,0.14%,4.0241935483871,0,899,27,484,0
git@github.com:php-ai/php-ml.git,0.4.1,12228,2880,497,0.43%,4.405872193437,0,899,27,580,0
git@github.com:php-ai/php-ml.git,0.5.0,15281,2762,828,0.54%,5.1183844011142,0,899,27,2221,0
git@github.com:php-ai/php-ml.git,0.6.0,17735,2803,906,0.78%,5.0531400966184,0,899,27,2326,0
git@github.com:php-ai/php-ml.git,0.6.1,17773,2804,904,0.78%,5.0373044524669,0,899,27,2322,0
git@github.com:php-ai/php-ml.git,0.6.2,17785,2804,904,0.78%,5.0372596153846,0,899,27,2324,0
git@github.com:php-ai/php-ml.git,0.7.0,18984,2864,939,0.61%,5.0518018018018,0,899,27,2303,0
