repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:php-amqplib/php-amqplib.git,v1.2.0,4764,753,225,5.21%,4.2330508474576,0,714,165,484,0
git@github.com:php-amqplib/php-amqplib.git,v1.2.1,4768,753,225,5.20%,4.2415254237288,0,714,165,484,0
git@github.com:php-amqplib/php-amqplib.git,v2.0.0,6384,729,258,9.13%,4.331550802139,0,714,165,472,0
git@github.com:php-amqplib/php-amqplib.git,v2.0.1,6384,729,258,9.13%,4.331550802139,0,714,165,472,0
git@github.com:php-amqplib/php-amqplib.git,v2.0.2,6752,805,268,8.63%,4.2790697674419,0,714,165,489,0
git@github.com:php-amqplib/php-amqplib.git,v2.1.0,6879,830,269,8.48%,4.258883248731,0,714,165,490,0
git@github.com:php-amqplib/php-amqplib.git,v2.2.0,7518,972,311,6.74%,4.1081730769231,0,714,165,578,0
git@github.com:php-amqplib/php-amqplib.git,v2.2.1,7516,972,311,6.75%,4.1057692307692,0,714,165,577,0
git@github.com:php-amqplib/php-amqplib.git,v2.2.2,7574,994,315,6.69%,4.136690647482,0,714,165,585,0
git@github.com:php-amqplib/php-amqplib.git,v2.2.3,7605,995,318,6.67%,4.1387559808612,0,714,165,586,0
git@github.com:php-amqplib/php-amqplib.git,v2.2.4,7601,995,317,6.67%,4.1363636363636,0,714,165,586,0
git@github.com:php-amqplib/php-amqplib.git,v2.2.5,7605,995,318,6.67%,4.1315789473684,0,714,165,587,0
git@github.com:php-amqplib/php-amqplib.git,v2.2.6,7611,995,320,6.66%,4.1363636363636,0,714,165,587,0
git@github.com:php-amqplib/php-amqplib.git,v2.3.0,8033,1163,329,6.31%,4.0447427293065,0,714,165,596,0
git@github.com:php-amqplib/php-amqplib.git,v2.4.0,10443,2114,350,6.46%,4.0739910313901,0,714,165,617,0
git@github.com:php-amqplib/php-amqplib.git,v2.4.1,10846,2281,372,6.22%,4.1035242290749,0,714,165,624,0
git@github.com:php-amqplib/php-amqplib.git,v2.5.0,12696,2719,518,6.05%,4.1334519572954,0,714,165,898,0
git@github.com:php-amqplib/php-amqplib.git,v2.5.1,12734,2725,522,6.03%,4.1347517730496,0,714,165,904,0
git@github.com:php-amqplib/php-amqplib.git,v2.5.2,12775,2728,524,6.01%,4.1362831858407,0,714,165,910,0
git@github.com:php-amqplib/php-amqplib.git,v2.6.0,13365,2884,540,5.75%,4.1438127090301,0,714,165,927,0
git@github.com:php-amqplib/php-amqplib.git,v2.6.1,13522,2934,541,5.68%,4.0971993410214,0,714,165,917,0
git@github.com:php-amqplib/php-amqplib.git,v2.6.2,13738,3438,549,5.82%,4.0975609756098,0,714,165,753,0
git@github.com:php-amqplib/php-amqplib.git,v2.6.3,13924,3536,563,5.75%,4.1051779935275,0,714,165,761,0
git@github.com:php-amqplib/php-amqplib.git,v2.7.0,14199,3580,579,5.85%,4.1204437400951,0,714,165,771,0
git@github.com:php-amqplib/php-amqplib.git,v2.7.1,14255,3587,582,5.83%,4.121835443038,0,714,165,773,0
git@github.com:php-amqplib/php-amqplib.git,v2.7.2,14270,3587,582,5.82%,4.1139240506329,0,714,165,773,0
git@github.com:php-amqplib/php-amqplib.git,v2.7.3,14270,3587,582,5.82%,4.1139240506329,0,714,165,773,0
git@github.com:php-amqplib/php-amqplib.git,v2.8.0,15263,3876,623,5.65%,3.8514548238897,0,714,165,764,0
git@github.com:php-amqplib/php-amqplib.git,v2.8.1,15297,3882,623,5.64%,3.8519083969466,0,714,165,764,0
