repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:php-fig/http-message.git,0.1.0,382,292,0,0.00%,0,0,108,20,9,0
git@github.com:php-fig/http-message.git,0.2.0,411,317,0,0.00%,0,0,108,20,9,0
git@github.com:php-fig/http-message.git,0.3.0,561,443,0,0.00%,0,0,108,20,13,0
git@github.com:php-fig/http-message.git,0.4.0,541,427,0,0.00%,0,0,108,20,12,0
git@github.com:php-fig/http-message.git,0.5.0,686,550,0,0.00%,0,0,108,20,13,0
git@github.com:php-fig/http-message.git,0.5.1,684,548,0,0.00%,0,0,108,20,13,0
git@github.com:php-fig/http-message.git,0.6.0,1018,853,0,0.00%,0,0,108,20,5,0
git@github.com:php-fig/http-message.git,0.7.0,1008,847,0,0.00%,0,0,108,20,5,0
git@github.com:php-fig/http-message.git,0.8.0,996,835,0,0.00%,0,0,108,20,5,0
git@github.com:php-fig/http-message.git,0.9.0,1010,849,0,0.00%,0,0,108,20,5,0
git@github.com:php-fig/http-message.git,0.9.1,1071,904,0,0.00%,0,0,108,20,5,0
git@github.com:php-fig/http-message.git,0.9.2,1077,910,0,0.00%,0,0,108,20,5,0
git@github.com:php-fig/http-message.git,0.10.0,1289,1103,0,0.00%,0,0,108,20,6,0
git@github.com:php-fig/http-message.git,0.10.1,1289,1103,0,0.00%,0,0,108,20,6,0
git@github.com:php-fig/http-message.git,0.11.0,1248,1068,0,0.00%,0,0,108,20,6,0
git@github.com:php-fig/http-message.git,1.0.1,1249,1068,0,0.00%,0,0,108,20,6,0
