repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:php-telegram-bot/core.git,0.0.1,257,7,8,0.00%,2.625,0,519,48,9,0
git@github.com:php-telegram-bot/core.git,0.0.2,1097,204,61,0.00%,4.1923076923077,0,519,48,40,0
git@github.com:php-telegram-bot/core.git,0.0.3,1399,269,77,0.00%,4.8360655737705,0,519,48,55,0
git@github.com:php-telegram-bot/core.git,0.0.4,1416,272,77,0.00%,4.8870967741935,0,519,48,55,0
git@github.com:php-telegram-bot/core.git,0.0.5,1779,389,101,0.00%,4.5903614457831,0,519,48,71,0
git@github.com:php-telegram-bot/core.git,0.0.6,1824,396,103,0.00%,4.5232558139535,0,519,48,73,0
git@github.com:php-telegram-bot/core.git,0.0.7,1827,396,103,0.00%,4.546511627907,0,519,48,73,0
git@github.com:php-telegram-bot/core.git,0.0.8,1831,396,104,0.00%,4.5581395348837,0,519,48,73,0
git@github.com:php-telegram-bot/core.git,0.0.9,2189,460,119,0.00%,4.8762886597938,0,519,48,83,0
git@github.com:php-telegram-bot/core.git,0.0.10,2493,496,142,0.00%,5.1415094339623,0,519,48,94,0
git@github.com:php-telegram-bot/core.git,0.0.11,2493,496,142,0.00%,5.1415094339623,0,519,48,94,0
git@github.com:php-telegram-bot/core.git,0.0.12,2493,496,142,0.00%,5.1415094339623,0,519,48,94,0
git@github.com:php-telegram-bot/core.git,0.0.13,2487,496,145,0.00%,5.122641509434,0,519,48,94,0
git@github.com:php-telegram-bot/core.git,0.0.14,2414,482,147,0.00%,5.0769230769231,0,519,48,94,0
git@github.com:php-telegram-bot/core.git,0.0.15,2618,527,155,0.00%,5.2777777777778,0,519,48,98,0
git@github.com:php-telegram-bot/core.git,0.16.0,3590,728,233,0.00%,4.7987804878049,0,519,48,124,0
git@github.com:php-telegram-bot/core.git,0.17.0,4121,833,252,0.00%,4.8031914893617,0,519,48,190,0
git@github.com:php-telegram-bot/core.git,0.17.1,4131,838,253,0.00%,4.8085106382979,0,519,48,190,0
git@github.com:php-telegram-bot/core.git,0.17.2,4157,840,255,0.00%,4.8,0,519,48,193,0
git@github.com:php-telegram-bot/core.git,0.18.0,4550,893,304,0.00%,4.6558139534884,0,519,48,205,0
git@github.com:php-telegram-bot/core.git,0.20.1,4774,947,313,0.00%,4.7822222222222,0,519,48,215,0
git@github.com:php-telegram-bot/core.git,0.21.0,5274,1023,347,0.00%,4.7951807228916,0,519,48,244,0
git@github.com:php-telegram-bot/core.git,0.22.0,5298,1029,347,0.00%,4.7951807228916,0,519,48,244,0
git@github.com:php-telegram-bot/core.git,0.23.0,5570,1110,358,0.00%,4.8255813953488,0,519,48,258,0
git@github.com:php-telegram-bot/core.git,0.24.0,5657,1125,361,0.00%,4.8610038610039,0,519,48,261,0
git@github.com:php-telegram-bot/core.git,0.25.0,6122,1184,417,0.00%,4.9713261648746,0,519,48,262,0
git@github.com:php-telegram-bot/core.git,0.26.0,6219,1186,432,0.00%,4.8664383561644,0,519,48,265,0
git@github.com:php-telegram-bot/core.git,0.27.0,6770,1258,487,0.00%,4.7530487804878,0,519,48,283,0
git@github.com:php-telegram-bot/core.git,0.28.0,6771,1261,487,0.00%,4.7530487804878,0,519,48,283,0
git@github.com:php-telegram-bot/core.git,0.37.0,13660,5747,508,0.00%,4.8943661971831,0,519,48,371,0
git@github.com:php-telegram-bot/core.git,0.37.1,13660,5747,508,0.00%,4.8943661971831,0,519,48,371,0
git@github.com:php-telegram-bot/core.git,0.38.0,13844,5796,515,0.00%,4.8909512761021,0,519,48,377,0
git@github.com:php-telegram-bot/core.git,0.38.1,13845,5796,516,0.00%,4.8932714617169,0,519,48,377,0
