repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:phpDocumentor/ReflectionDocBlock.git,1.0.0,2243,1001,53,0.00%,3.2083333333333,0,63,38,32,0
git@github.com:phpDocumentor/ReflectionDocBlock.git,1.0.1,2243,1001,53,0.00%,3.2083333333333,0,63,38,32,0
git@github.com:phpDocumentor/ReflectionDocBlock.git,1.0.2,2242,1001,53,0.00%,3.1944444444444,0,63,38,32,0
git@github.com:phpDocumentor/ReflectionDocBlock.git,1.0.3,2692,1209,71,0.00%,3.0833333333333,0,63,38,42,0
git@github.com:phpDocumentor/ReflectionDocBlock.git,2.0.0,5609,2124,105,0.00%,3.5161290322581,0,63,38,123,0
git@github.com:phpDocumentor/ReflectionDocBlock.git,2.0.1,5612,2124,106,0.00%,3.5268817204301,0,63,38,125,0
git@github.com:phpDocumentor/ReflectionDocBlock.git,2.0.2,5628,2128,108,0.00%,3.524064171123,0,63,38,125,0
git@github.com:phpDocumentor/ReflectionDocBlock.git,2.0.3,5625,2129,107,0.00%,3.524064171123,0,63,38,124,0
git@github.com:phpDocumentor/ReflectionDocBlock.git,2.0.4,5719,2170,107,0.00%,3.544502617801,0,63,38,125,0
git@github.com:phpDocumentor/ReflectionDocBlock.git,2.0.5,5784,2187,109,0.00%,3.5440414507772,0,63,38,128,0
git@github.com:phpDocumentor/ReflectionDocBlock.git,3.0.0,8896,3478,167,4.75%,3.2505800464037,0,63,38,224,0
git@github.com:phpDocumentor/ReflectionDocBlock.git,3.0.1,8893,3478,167,4.76%,3.2505800464037,0,63,38,224,0
git@github.com:phpDocumentor/ReflectionDocBlock.git,3.0.2,8982,3503,169,4.71%,3.2764976958525,0,63,38,232,0
git@github.com:phpDocumentor/ReflectionDocBlock.git,3.0.3,8992,3508,170,4.70%,3.2712643678161,0,63,38,232,0
git@github.com:phpDocumentor/ReflectionDocBlock.git,3.1.0,8992,3508,170,4.70%,3.2712643678161,0,63,38,232,0
git@github.com:phpDocumentor/ReflectionDocBlock.git,3.1.1,9033,3512,172,4.00%,3.2814645308924,0,63,38,237,0
git@github.com:phpDocumentor/ReflectionDocBlock.git,3.2.0,9287,3606,178,3.89%,3.3168539325843,0,63,38,246,0
git@github.com:phpDocumentor/ReflectionDocBlock.git,3.2.1,9328,3619,179,3.87%,3.3206278026906,0,63,38,246,0
git@github.com:phpDocumentor/ReflectionDocBlock.git,3.2.2,9329,3619,180,3.87%,3.3206278026906,0,63,38,246,0
git@github.com:phpDocumentor/ReflectionDocBlock.git,3.2.3,9617,3742,185,3.73%,3.3246187363834,0,63,38,248,0
git@github.com:phpDocumentor/ReflectionDocBlock.git,3.3.0,9713,3771,185,3.70%,3.3383620689655,0,63,38,248,0
git@github.com:phpDocumentor/ReflectionDocBlock.git,3.3.2,9713,3771,185,3.70%,3.3383620689655,0,63,38,248,0
git@github.com:phpDocumentor/ReflectionDocBlock.git,4.0.0,9472,3683,180,3.81%,3.3237250554324,0,63,38,249,0
git@github.com:phpDocumentor/ReflectionDocBlock.git,4.0.1,9473,3683,181,3.81%,3.3237250554324,0,63,38,249,0
git@github.com:phpDocumentor/ReflectionDocBlock.git,4.1.0,9606,3738,184,3.76%,3.3275109170306,0,63,38,248,0
git@github.com:phpDocumentor/ReflectionDocBlock.git,4.1.1,9651,3753,185,3.72%,3.3210412147505,0,63,38,248,0
git@github.com:phpDocumentor/ReflectionDocBlock.git,4.2.0,10045,3880,187,3.57%,3.1967871485944,0,63,38,252,0
git@github.com:phpDocumentor/ReflectionDocBlock.git,4.3.0,10077,3884,188,3.56%,3.2104208416834,0,63,38,254,0
