repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:phpDocumentor/TypeResolver.git,0.1.1,1930,888,51,0.00%,2.7638888888889,0,23,20,8,0
git@github.com:phpDocumentor/TypeResolver.git,0.1.2,1930,888,51,0.00%,2.7638888888889,0,23,20,8,0
git@github.com:phpDocumentor/TypeResolver.git,0.1.3,1964,903,51,0.00%,2.8630136986301,0,23,20,8,0
git@github.com:phpDocumentor/TypeResolver.git,0.1.4,1973,903,52,0.00%,2.8904109589041,0,23,20,10,0
git@github.com:phpDocumentor/TypeResolver.git,0.1.5,2013,906,59,0.00%,3.0135135135135,0,23,20,10,0
git@github.com:phpDocumentor/TypeResolver.git,0.1.6,2056,914,61,0.00%,3.0133333333333,0,23,20,11,0
git@github.com:phpDocumentor/TypeResolver.git,0.1.7,2092,920,62,0.00%,3.0519480519481,0,23,20,11,0
git@github.com:phpDocumentor/TypeResolver.git,0.1.8,2092,920,62,0.00%,3.0519480519481,0,23,20,11,0
git@github.com:phpDocumentor/TypeResolver.git,0.2.1,2092,920,62,0.00%,3.0519480519481,0,23,20,11,0
git@github.com:phpDocumentor/TypeResolver.git,0.3.0,2311,1038,63,0.00%,2.8965517241379,0,23,20,11,0
git@github.com:phpDocumentor/TypeResolver.git,0.4.0,2425,1098,64,0.00%,2.7578947368421,0,23,20,11,0
git@github.com:phpDocumentor/TypeResolver.git,0.5.0,3157,1346,106,0.00%,3.8407079646018,0,23,20,31,0
git@github.com:phpDocumentor/TypeResolver.git,0.5.1,3158,1346,106,0.00%,3.8407079646018,0,23,20,31,0
git@github.com:phpDocumentor/TypeResolver.git,0.6.0,3159,1307,108,0.00%,3.7844827586207,0,23,20,30,0
git@github.com:phpDocumentor/TypeResolver.git,0.6.1,3183,1300,111,0.00%,3.7478991596639,0,23,20,33,0
git@github.com:phpDocumentor/TypeResolver.git,0.6.2,3183,1300,111,0.00%,3.7478991596639,0,23,20,33,0
git@github.com:phpDocumentor/TypeResolver.git,0.6.3,3196,1300,115,0.00%,3.781512605042,0,23,20,33,0
git@github.com:phpDocumentor/TypeResolver.git,0.7.0,3276,1300,137,0.00%,4.1764705882353,0,23,20,33,0
git@github.com:phpDocumentor/TypeResolver.git,0.7.1,3298,1313,138,0.00%,4.1833333333333,0,23,20,33,0
2,20,115,0
