repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:phpDocumentor/phpDocumentor2.git,v0.7.1,13122,5195,984,0.56%,5.0172413793103,0,494,160,488,0
git@github.com:phpDocumentor/phpDocumentor2.git,v0.8.3,13442,5353,1002,0.55%,4.9390756302521,0,494,160,504,0
git@github.com:phpDocumentor/phpDocumentor2.git,v0.9.0,20337,8184,1232,0.36%,5.0478955007257,0,494,160,824,0
git@github.com:phpDocumentor/phpDocumentor2.git,v0.9.6,21133,8611,1269,0.35%,5.0838068181818,0,494,160,850,0
git@github.com:phpDocumentor/phpDocumentor2.git,v0.9.7,21134,8611,1269,0.35%,5.0838068181818,0,494,160,850,0
git@github.com:phpDocumentor/phpDocumentor2.git,v0.10.0,21418,8763,1276,0.35%,5.0833333333333,0,494,160,862,0
git@github.com:phpDocumentor/phpDocumentor2.git,v0.11.0,26530,10538,1645,0.49%,5.0760157273919,0,494,160,1111,0
git@github.com:phpDocumentor/phpDocumentor2.git,v0.11.1,26530,10538,1645,0.49%,5.0760157273919,0,494,160,1111,0
git@github.com:phpDocumentor/phpDocumentor2.git,v0.11.2,26951,10950,1645,0.48%,5.0760157273919,0,494,160,1112,0
git@github.com:phpDocumentor/phpDocumentor2.git,v0.12.0,27206,11100,1595,0.47%,4.8962025316456,0,494,160,1122,0
git@github.com:phpDocumentor/phpDocumentor2.git,v0.12.1,27237,11111,1598,0.47%,4.9012658227848,0,494,160,1120,0
git@github.com:phpDocumentor/phpDocumentor2.git,v0.12.2,26093,10640,1500,0.49%,4.848,0,494,160,1047,0
git@github.com:phpDocumentor/phpDocumentor2.git,v0.12.3,26124,10645,1509,0.50%,4.852,0,494,160,1048,0
git@github.com:phpDocumentor/phpDocumentor2.git,v0.13.0,27026,11038,1552,0.48%,4.9285714285714,0,494,160,1107,1
git@github.com:phpDocumentor/phpDocumentor2.git,v0.13.1,27040,11039,1555,0.48%,4.9285714285714,0,494,160,1115,1
git@github.com:phpDocumentor/phpDocumentor2.git,v0.13.2,27151,11093,1558,0.57%,4.9480519480519,0,494,160,1115,0
git@github.com:phpDocumentor/phpDocumentor2.git,v0.13.3,27186,11110,1561,0.57%,4.94682230869,0,494,160,1115,0
git@github.com:phpDocumentor/phpDocumentor2.git,v0.13.4,27188,11120,1561,0.57%,4.9442282749676,0,494,160,1115,0
git@github.com:phpDocumentor/phpDocumentor2.git,v0.14.0,30921,12243,1978,0.52%,4.9114064230343,0,494,160,1283,0
git@github.com:phpDocumentor/phpDocumentor2.git,v0.14.1,30931,12243,1984,0.52%,4.9169435215947,0,494,160,1283,0
git@github.com:phpDocumentor/phpDocumentor2.git,v0.15.0,32007,12659,2028,0.60%,4.9021505376344,0,494,160,1296,0
