repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:phpmetrics/PhpMetrics.git,0.0.1,1132,470,13,0.00%,2.063829787234,0,214,67,79,0
git@github.com:phpmetrics/PhpMetrics.git,v0.0.2,1706,614,26,0.00%,2.5,0,214,67,101,0
git@github.com:phpmetrics/PhpMetrics.git,v0.0.3,3712,1323,65,0.59%,3.3006134969325,0,214,67,272,0
git@github.com:phpmetrics/PhpMetrics.git,v0.0.4,5538,1989,124,0.40%,3.4110671936759,0,214,67,497,0
git@github.com:phpmetrics/PhpMetrics.git,v0.0.5,7533,2628,219,0.29%,3.3100558659218,0,214,67,639,0
git@github.com:phpmetrics/PhpMetrics.git,v0.0.6,9191,3230,265,0.67%,3.3823529411765,0,214,67,833,0
git@github.com:phpmetrics/PhpMetrics.git,v0.0.7,10058,3557,285,0.62%,3.4246861924686,0,214,67,1006,0
git@github.com:phpmetrics/PhpMetrics.git,v0.0.8,10431,3705,294,0.72%,3.4613821138211,0,214,67,1061,0
git@github.com:phpmetrics/PhpMetrics.git,v1.0.0,10614,3758,304,0.71%,3.47,0,214,67,1071,0
git@github.com:phpmetrics/PhpMetrics.git,v1.0.1,10592,3756,304,0.71%,3.4769539078156,0,214,67,1071,0
git@github.com:phpmetrics/PhpMetrics.git,v1.1.0,11725,4202,313,0.62%,3.3670886075949,0,214,67,1128,0
git@github.com:phpmetrics/PhpMetrics.git,v1.1.1,11725,4202,313,0.62%,3.3670886075949,0,214,67,1128,0
git@github.com:phpmetrics/PhpMetrics.git,v1.2.0,11951,4263,324,0.45%,3.3820422535211,0,214,67,1168,0
git@github.com:phpmetrics/PhpMetrics.git,v1.3.0,12127,4302,337,0.45%,3.3739279588336,0,214,67,1178,0
git@github.com:phpmetrics/PhpMetrics.git,v1.5.0,12235,4329,350,0.44%,3.3928571428571,0,214,67,1180,0
git@github.com:phpmetrics/PhpMetrics.git,v1.5.1,12280,4330,352,0.44%,3.3935810810811,0,214,67,1180,0
git@github.com:phpmetrics/PhpMetrics.git,v1.5.2,12295,4332,354,0.44%,3.3952702702703,0,214,67,1179,0
git@github.com:phpmetrics/PhpMetrics.git,v1.6.0,12295,4332,354,0.44%,3.3952702702703,0,214,67,1179,0
git@github.com:phpmetrics/PhpMetrics.git,v1.6.1,12340,4344,354,0.44%,3.4057239057239,0,214,67,1183,0
git@github.com:phpmetrics/PhpMetrics.git,v1.6.2,12534,4439,357,0.43%,3.3692052980132,0,214,67,1186,0
git@github.com:phpmetrics/PhpMetrics.git,v1.6.3,12534,4439,358,0.43%,3.3692052980132,0,214,67,1186,0
git@github.com:phpmetrics/PhpMetrics.git,v1.7.0,12755,4491,382,0.42%,3.4229508196721,0,214,67,1189,0
git@github.com:phpmetrics/PhpMetrics.git,v1.8.0,14516,4820,464,0.37%,3.5069637883008,0,214,67,1340,0
git@github.com:phpmetrics/PhpMetrics.git,v1.8.1,14516,4820,464,0.37%,3.5069637883008,0,214,67,1340,0
git@github.com:phpmetrics/PhpMetrics.git,v1.8.2,14572,4831,468,0.37%,3.5180555555556,0,214,67,1343,0
git@github.com:phpmetrics/PhpMetrics.git,v1.8.3,14578,4835,468,0.37%,3.5180555555556,0,214,67,1343,0
git@github.com:phpmetrics/PhpMetrics.git,v1.8.4,14626,4845,468,0.37%,3.5221606648199,0,214,67,1344,0
git@github.com:phpmetrics/PhpMetrics.git,v1.8.5,14627,4845,468,0.37%,3.5221606648199,0,214,67,1346,0
git@github.com:phpmetrics/PhpMetrics.git,v1.9.0,14720,4898,470,0.37%,3.5193370165746,0,214,67,1332,0
git@github.com:phpmetrics/PhpMetrics.git,v1.9.1,14785,4916,475,0.37%,3.5281980742779,0,214,67,1333,0
git@github.com:phpmetrics/PhpMetrics.git,v1.9.2,14785,4916,475,0.37%,3.5281980742779,0,214,67,1333,0
git@github.com:phpmetrics/PhpMetrics.git,v1.10.0,15539,5178,494,0.35%,3.605614973262,0,214,67,1361,0
git@github.com:phpmetrics/PhpMetrics.git,v2.0.0,7086,1169,450,0.56%,4.6586538461538,0,214,67,648,0
git@github.com:phpmetrics/PhpMetrics.git,v2.1.0,7781,1316,464,0.51%,4.647577092511,0,214,67,668,0
git@github.com:phpmetrics/PhpMetrics.git,v2.2.0,8119,1359,490,0.49%,4.6806722689076,0,214,67,680,0
git@github.com:phpmetrics/PhpMetrics.git,v2.3.0,9222,1566,575,1.12%,4.8920863309353,0,214,67,856,2
git@github.com:phpmetrics/PhpMetrics.git,v2.3.1,9229,1566,575,1.12%,4.8992805755396,0,214,67,856,2
git@github.com:phpmetrics/PhpMetrics.git,v2.3.2,9229,1566,575,1.12%,4.8992805755396,0,214,67,856,2
git@github.com:phpmetrics/PhpMetrics.git,v2.4.0,11127,1701,691,0.93%,4.66391184573,0,214,67,917,2
git@github.com:phpmetrics/PhpMetrics.git,v2.4.1,11203,1704,692,0.92%,4.6584699453552,0,214,67,918,2
