repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:phpro/grumphp.git,v0.1.0,1841,448,35,0.00%,3.1212121212121,0,217,100,87,0
git@github.com:phpro/grumphp.git,v0.1.1,1846,447,35,0.00%,3.1818181818182,0,217,100,87,0
git@github.com:phpro/grumphp.git,v0.1.2,2073,536,40,0.00%,3.0086956521739,0,217,100,88,0
git@github.com:phpro/grumphp.git,v0.1.3,2374,624,55,0.00%,3.047619047619,0,217,100,94,0
git@github.com:phpro/grumphp.git,v0.1.4,2492,638,60,0.00%,3.1353383458647,0,217,100,98,0
git@github.com:phpro/grumphp.git,v0.1.5,2493,638,60,0.00%,3.1353383458647,0,217,100,98,0
git@github.com:phpro/grumphp.git,v0.1.6,2493,638,60,0.00%,3.1353383458647,0,217,100,98,0
git@github.com:phpro/grumphp.git,v0.2.0,2901,673,84,0.93%,3.3589743589744,0,217,100,142,0
git@github.com:phpro/grumphp.git,v0.3.0,2903,673,84,0.93%,3.3653846153846,0,217,100,142,0
git@github.com:phpro/grumphp.git,v0.3.1,2901,673,84,2.00%,3.3525641025641,0,217,100,140,0
git@github.com:phpro/grumphp.git,v0.3.2,2903,673,84,2.00%,3.3589743589744,0,217,100,142,0
git@github.com:phpro/grumphp.git,v0.3.3,3078,688,89,1.88%,3.4191616766467,0,217,100,164,0
git@github.com:phpro/grumphp.git,v0.3.4,3133,700,91,1.85%,3.3976608187135,0,217,100,168,0
git@github.com:phpro/grumphp.git,v0.3.5,3146,701,92,1.84%,3.4269005847953,0,217,100,166,0
git@github.com:phpro/grumphp.git,v0.4.0,3551,787,92,1.77%,3.0686274509804,0,217,100,198,0
git@github.com:phpro/grumphp.git,v0.4.1,3947,888,99,1.60%,2.9396551724138,0,217,100,200,0
git@github.com:phpro/grumphp.git,v0.5.0,4768,1061,106,1.99%,2.7713310580205,0,217,100,236,0
git@github.com:phpro/grumphp.git,v0.5.1,4768,1061,106,1.99%,2.7713310580205,0,217,100,236,0
git@github.com:phpro/grumphp.git,v0.5.2,4759,1061,106,2.00%,2.7713310580205,0,217,100,236,0
git@github.com:phpro/grumphp.git,v0.6.0,5348,1210,109,0.00%,2.8391812865497,0,217,100,249,0
git@github.com:phpro/grumphp.git,v0.7.0,5653,1223,113,0.00%,3.0358126721763,0,217,100,293,0
git@github.com:phpro/grumphp.git,v0.7.1,7882,1731,169,0.00%,2.8694817658349,0,217,100,394,0
git@github.com:phpro/grumphp.git,v0.7.2,8243,1765,176,0.00%,2.9778597785978,0,217,100,456,0
git@github.com:phpro/grumphp.git,v0.8.0,9090,1970,190,0.00%,2.8980263157895,0,217,100,513,0
git@github.com:phpro/grumphp.git,v0.9.0,11817,2323,246,0.00%,3.2164556962025,0,217,100,804,0
git@github.com:phpro/grumphp.git,v0.9.1,12715,2649,270,0.16%,3.1736526946108,0,217,100,833,0
git@github.com:phpro/grumphp.git,v0.9.2,13559,2752,300,0.89%,3.2831050228311,0,217,100,932,0
git@github.com:phpro/grumphp.git,v0.9.3,13706,2772,302,0.88%,3.2795941375423,0,217,100,941,0
git@github.com:phpro/grumphp.git,v0.9.4,14156,2827,315,0.85%,3.3191721132898,0,217,100,987,0
git@github.com:phpro/grumphp.git,v0.9.5,14873,2931,334,0.81%,3.3454356846473,0,217,100,1053,0
git@github.com:phpro/grumphp.git,v0.9.6,15282,2973,341,0.79%,3.3729838709677,0,217,100,1109,0
git@github.com:phpro/grumphp.git,v0.10.0,18531,3698,402,0.86%,3.3196229648672,0,217,100,1227,0
git@github.com:phpro/grumphp.git,v0.10.1,18537,3699,403,0.86%,3.3196229648672,0,217,100,1227,0
git@github.com:phpro/grumphp.git,v0.10.2,19305,3802,416,0.82%,3.3560855263158,0,217,100,1305,0
git@github.com:phpro/grumphp.git,v0.11.0,19904,3930,424,0.80%,3.3250798722045,0,217,100,1338,0
git@github.com:phpro/grumphp.git,v0.11.1,19927,3930,424,0.80%,3.3272146847566,0,217,100,1339,0
git@github.com:phpro/grumphp.git,v0.11.2,19053,3160,425,0.82%,3.3341307814992,0,217,100,1343,0
git@github.com:phpro/grumphp.git,v0.11.3,19251,3178,434,0.81%,3.3439237490071,0,217,100,1374,0
git@github.com:phpro/grumphp.git,v0.11.4,20101,3271,450,0.78%,3.3852583586626,0,217,100,1468,0
git@github.com:phpro/grumphp.git,v0.11.5,19958,3256,448,0.78%,3.3885057471264,0,217,100,1459,0
git@github.com:phpro/grumphp.git,v0.11.6,20170,3271,451,0.77%,3.4135053110774,0,217,100,1489,0
git@github.com:phpro/grumphp.git,v0.12.0,21092,3322,487,0.37%,3.4659340659341,0,217,100,1598,0
git@github.com:phpro/grumphp.git,v0.12.1,21827,3420,508,0.44%,3.5287437899219,0,217,100,1704,0
git@github.com:phpro/grumphp.git,v0.13.0,22158,3485,526,0.44%,3.5372191011236,0,217,100,1706,0
git@github.com:phpro/grumphp.git,v0.13.1,22158,3485,526,0.44%,3.5372191011236,0,217,100,1706,0
git@github.com:phpro/grumphp.git,v0.14.0,22209,3496,528,0.44%,3.5392156862745,0,217,100,1716,0
git@github.com:phpro/grumphp.git,v0.14.1,22516,3513,538,0.85%,3.5677553856845,0,217,100,1775,0
git@github.com:phpro/grumphp.git,v0.14.2,22929,3550,549,0.69%,3.5870307167235,0,217,100,1827,0
git@github.com:phpro/grumphp.git,v0.14.3,23531,3598,570,0.84%,3.6280936454849,0,217,100,1911,0
