repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:phpseclib/phpseclib.git,0.1.0,7237,2941,563,0.00%,14.260504201681,0,565,101,710,0
git@github.com:phpseclib/phpseclib.git,0.1.1,9012,3798,650,0.75%,13.144736842105,0,565,101,834,0
git@github.com:phpseclib/phpseclib.git,0.1.2,9013,3798,650,0.75%,13.151315789474,0,565,101,834,0
git@github.com:phpseclib/phpseclib.git,0.1.5,10453,4380,784,0.65%,13.485549132948,0,565,101,867,0
git@github.com:phpseclib/phpseclib.git,0.2.0,14079,5760,1077,0.73%,13.269076305221,0,565,101,1741,0
git@github.com:phpseclib/phpseclib.git,0.2.1,15537,6278,1280,1.07%,13.535055350554,0,565,101,2011,0
git@github.com:phpseclib/phpseclib.git,0.2.2,17470,6839,1536,1.77%,14.804794520548,0,565,101,2091,0
git@github.com:phpseclib/phpseclib.git,0.3.0,22860,8233,2232,1.24%,14.578811369509,0,565,101,2466,0
git@github.com:phpseclib/phpseclib.git,0.3.1,24544,8701,2492,1.15%,13.87962962963,0,565,101,2631,0
git@github.com:phpseclib/phpseclib.git,0.3.5,32110,10632,3079,1.73%,13.810506566604,0,565,101,3607,0
git@github.com:phpseclib/phpseclib.git,0.3.6,31837,11526,2848,0.45%,12.381386861314,0,565,101,3729,0
git@github.com:phpseclib/phpseclib.git,0.3.7,34166,12051,3027,0.42%,11.575516693164,0,565,101,3806,0
git@github.com:phpseclib/phpseclib.git,0.3.8,34747,12168,3033,0.41%,11.270106221548,0,565,101,3829,0
git@github.com:phpseclib/phpseclib.git,0.3.9,34779,12177,3034,0.41%,11.249621785174,0,565,101,3831,0
git@github.com:phpseclib/phpseclib.git,0.3.10,35107,12232,3044,0.40%,11.061855670103,0,565,101,3847,0
git@github.com:phpseclib/phpseclib.git,1.0.0,37957,12768,3231,0.38%,10.954966887417,0,565,101,3988,0
git@github.com:phpseclib/phpseclib.git,1.0.1,38401,12822,3261,0.38%,10.791237113402,0,565,101,4008,0
git@github.com:phpseclib/phpseclib.git,1.0.2,38606,12870,3278,0.38%,10.771392081737,0,565,101,4019,0
git@github.com:phpseclib/phpseclib.git,1.0.3,39154,12956,3333,0.44%,10.749685534591,0,565,101,4040,0
git@github.com:phpseclib/phpseclib.git,1.0.4,39359,13040,3348,0.44%,10.583230579531,0,565,101,4049,0
git@github.com:phpseclib/phpseclib.git,1.0.5,39347,13036,3348,0.44%,10.583230579531,0,565,101,4049,0
git@github.com:phpseclib/phpseclib.git,1.0.6,39806,13045,3470,0.43%,10.751842751843,0,565,101,4060,0
git@github.com:phpseclib/phpseclib.git,1.0.7,39867,13049,3476,0.43%,10.758578431373,0,565,101,4063,0
git@github.com:phpseclib/phpseclib.git,1.0.8,40291,13188,3537,0.43%,10.727932285369,0,565,101,4079,0
git@github.com:phpseclib/phpseclib.git,1.0.9,40334,13188,3540,0.43%,10.721014492754,0,565,101,4081,0
git@github.com:phpseclib/phpseclib.git,1.0.10,40480,13210,3554,0.37%,10.656626506024,0,565,101,4118,0
git@github.com:phpseclib/phpseclib.git,1.0.11,40774,13293,3572,0.37%,10.599523241955,0,565,101,4124,0
git@github.com:phpseclib/phpseclib.git,1.0.12,41064,13367,3612,0.37%,10.63550295858,0,565,101,4130,0
git@github.com:phpseclib/phpseclib.git,1.0.13,41157,13392,3618,0.36%,10.637544273908,0,565,101,4133,0
git@github.com:phpseclib/phpseclib.git,2.0.0,36926,11942,3116,0.46%,10.957446808511,0,565,101,3993,0
git@github.com:phpseclib/phpseclib.git,2.0.1,37300,11959,3137,0.45%,10.787564766839,0,565,101,4011,0
git@github.com:phpseclib/phpseclib.git,2.0.2,37513,12013,3156,0.45%,10.757692307692,0,565,101,4019,0
git@github.com:phpseclib/phpseclib.git,2.0.3,38065,12100,3210,0.52%,10.739898989899,0,565,101,4040,0
git@github.com:phpseclib/phpseclib.git,2.0.4,38101,12102,3215,0.52%,10.746532156368,0,565,101,4041,0
git@github.com:phpseclib/phpseclib.git,2.0.5,38587,12112,3336,0.51%,10.922208281054,0,565,101,4054,0
git@github.com:phpseclib/phpseclib.git,2.0.6,38648,12116,3342,0.51%,10.928660826033,0,565,101,4057,0
git@github.com:phpseclib/phpseclib.git,2.0.7,38992,12239,3386,0.50%,10.867901234568,0,565,101,4063,0
git@github.com:phpseclib/phpseclib.git,2.0.8,50280,17999,3641,0.24%,8.2131715771231,0,565,101,4810,0
git@github.com:phpseclib/phpseclib.git,2.0.9,39035,12239,3389,0.50%,10.860665844636,0,565,101,4064,0
git@github.com:phpseclib/phpseclib.git,2.0.10,39200,12269,3405,0.44%,10.792383292383,0,565,101,4108,0
git@github.com:phpseclib/phpseclib.git,2.0.11,39614,12357,3442,0.45%,10.771567436209,0,565,101,4128,0
git@github.com:phpseclib/phpseclib.git,2.0.12,39908,12433,3478,0.45%,10.806996381182,0,565,101,4135,0
git@github.com:phpseclib/phpseclib.git,2.0.13,40001,12457,3484,0.44%,10.808664259928,0,565,101,4138,0
