repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:phpspec/prophecy.git,v1.0.0,7867,2211,188,0.00%,2.589898989899,0,186,93,433,0
git@github.com:phpspec/prophecy.git,v1.0.1,7873,2211,188,0.00%,2.589898989899,0,186,93,433,0
git@github.com:phpspec/prophecy.git,v1.0.2,8638,2392,208,0.22%,2.7321100917431,0,186,93,574,0
git@github.com:phpspec/prophecy.git,v1.0.3,9100,2525,224,0.21%,2.7430555555556,0,186,93,647,0
git@github.com:phpspec/prophecy.git,v1.0.4,9115,2525,226,0.21%,2.7469670710572,0,186,93,648,0
git@github.com:phpspec/prophecy.git,v1.1.0,9917,2782,255,0.19%,2.671875,0,186,93,681,0
git@github.com:phpspec/prophecy.git,v1.1.1,10061,2853,262,0.19%,2.6697530864198,0,186,93,688,0
git@github.com:phpspec/prophecy.git,v1.1.2,10108,2866,263,0.19%,2.6846153846154,0,186,93,696,0
git@github.com:phpspec/prophecy.git,v1.2.0,10879,3066,288,0.17%,2.6718972895863,0,186,93,713,0
git@github.com:phpspec/prophecy.git,v1.2.1,10925,3069,289,0.17%,2.6780626780627,0,186,93,721,0
git@github.com:phpspec/prophecy.git,v1.3.0,10974,3092,287,0.17%,2.6860795454545,0,186,93,725,0
git@github.com:phpspec/prophecy.git,v1.3.1,11004,3099,289,0.17%,2.6950354609929,0,186,93,731,0
git@github.com:phpspec/prophecy.git,v1.4.0,11365,3147,301,0.31%,2.7592847317744,0,186,93,795,0
git@github.com:phpspec/prophecy.git,v1.4.1,11526,3184,305,0.30%,2.7476125511596,0,186,93,796,0
git@github.com:phpspec/prophecy.git,v1.5.0,11703,3204,344,0.35%,2.7829036635007,0,186,93,823,0
git@github.com:phpspec/prophecy.git,v1.6.0,12562,3307,385,0.27%,2.9354430379747,0,186,93,1015,0
git@github.com:phpspec/prophecy.git,v1.6.1,12806,3397,393,0.27%,2.927409261577,0,186,93,1022,0
git@github.com:phpspec/prophecy.git,v1.6.2,12305,2687,370,0.00%,2.5774818401937,0,186,93,702,0
git@github.com:phpspec/prophecy.git,v1.7.0,12523,2698,393,0.00%,2.609785202864,0,186,93,741,0
git@github.com:phpspec/prophecy.git,v1.7.1,12593,2706,402,0.00%,2.5698924731183,0,186,93,749,0
git@github.com:phpspec/prophecy.git,v1.7.2,12559,2698,396,0.00%,2.6174016686532,0,186,93,746,0
git@github.com:phpspec/prophecy.git,1.7.3,12590,2702,397,0.00%,2.6202380952381,0,186,93,750,0
git@github.com:phpspec/prophecy.git,1.7.4,12631,2706,400,0.00%,2.6285714285714,0,186,93,761,0
git@github.com:phpspec/prophecy.git,1.7.5,12693,2715,399,0.00%,2.6394799054374,0,186,93,769,0
git@github.com:phpspec/prophecy.git,1.7.6,12693,2715,399,0.00%,2.6394799054374,0,186,93,769,0
git@github.com:phpspec/prophecy.git,1.8.0,13189,2786,423,0.00%,2.6621160409556,0,186,93,810,0
