repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:phpstan/phpstan.git,0.2.1,13950,1089,947,0.00%,2.7661431064572,0,385,146,443,0
git@github.com:phpstan/phpstan.git,0.2.2,13963,1090,947,0.00%,2.7661431064572,0,385,146,443,0
git@github.com:phpstan/phpstan.git,0.3.1,15061,1158,1073,0.00%,2.8476821192053,0,385,146,464,0
git@github.com:phpstan/phpstan.git,0.4.1,16159,1266,1132,0.00%,2.7969696969697,0,385,146,506,0
git@github.com:phpstan/phpstan.git,0.4.2,16307,1280,1158,0.00%,2.8220211161388,0,385,146,518,0
git@github.com:phpstan/phpstan.git,0.5.1,20136,1654,1504,0.35%,2.7076749435666,0,385,146,618,0
git@github.com:phpstan/phpstan.git,0.5.2,20481,1670,1527,0.35%,2.7117516629712,0,385,146,624,0
git@github.com:phpstan/phpstan.git,0.6.1,22439,1817,1669,0.32%,2.7166156982671,0,385,146,681,0
git@github.com:phpstan/phpstan.git,0.6.2,22608,1825,1695,0.31%,2.7174796747967,0,385,146,684,0
git@github.com:phpstan/phpstan.git,0.6.3,22608,1825,1695,0.31%,2.7174796747967,0,385,146,685,0
git@github.com:phpstan/phpstan.git,0.6.4,22802,1836,1710,0.31%,2.7135627530364,0,385,146,707,0
git@github.com:phpstan/phpstan.git,0.8.1,32835,2705,2146,1.72%,2.6238060249816,0,385,146,1141,0
git@github.com:phpstan/phpstan.git,0.8.2,32835,2705,2146,1.72%,2.6238060249816,0,385,146,1141,0
git@github.com:phpstan/phpstan.git,0.8.3,32941,2717,2157,1.71%,2.634092578986,0,385,146,1145,0
git@github.com:phpstan/phpstan.git,0.8.4,33035,2717,2171,1.71%,2.6348273328435,0,385,146,1147,0
git@github.com:phpstan/phpstan.git,0.8.5,33035,2717,2171,1.71%,2.6348273328435,0,385,146,1147,0
git@github.com:phpstan/phpstan.git,0.9.1,46032,3586,2677,2.63%,2.5793319415449,0,385,146,1497,0
git@github.com:phpstan/phpstan.git,0.9.2,46955,3655,2771,2.58%,2.577356557377,0,385,146,1522,0
git@github.com:phpstan/phpstan.git,0.10.1,83791,5231,4273,0.69%,2.5953307392996,0,385,146,2455,0
git@github.com:phpstan/phpstan.git,0.10.2,87569,5337,4532,0.77%,2.578073089701,0,385,146,2647,0
git@github.com:phpstan/phpstan.git,0.10.3,89124,5445,4657,0.76%,2.5460223537147,0,385,146,2765,0
git@github.com:phpstan/phpstan.git,0.10.4,90756,5552,4726,0.74%,2.5343709468223,0,385,146,2825,0
git@github.com:phpstan/phpstan.git,0.10.5,90756,5552,4726,0.74%,2.5343709468223,0,385,146,2825,0
git@github.com:phpstan/phpstan.git,0.10.6,91178,5583,4746,0.74%,2.5349661617789,0,385,146,2828,0
git@github.com:phpstan/phpstan.git,0.10.7,91963,5666,4826,0.73%,2.5500320718409,0,385,146,2891,0
git@github.com:phpstan/phpstan.git,0.10.8,91988,5666,4830,0.73%,2.550496954152,0,385,146,2892,0
