repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:pojome/elementor.git,0.1.0,14266,738,578,0.22%,3.1677852348993,0,462,63,183,0
git@github.com:pojome/elementor.git,v0.1.0,14455,738,582,0.21%,3.2555746140652,0,462,63,191,0
git@github.com:pojome/elementor.git,v0.1.1,14258,737,577,0.22%,3.1627516778523,0,462,63,183,0
git@github.com:pojome/elementor.git,v0.1.2,14360,737,576,0.22%,3.1725293132328,0,462,63,186,0
git@github.com:pojome/elementor.git,v0.1.3,14377,737,581,0.22%,3.1803005008347,0,462,63,191,0
git@github.com:pojome/elementor.git,v0.1.4,14455,738,582,0.21%,3.2555746140652,0,462,63,191,0
git@github.com:pojome/elementor.git,v0.1.5,14463,738,583,0.21%,3.2555746140652,0,462,63,192,0
git@github.com:pojome/elementor.git,v0.1.6,14499,738,583,0.21%,3.2602739726027,0,462,63,192,0
git@github.com:pojome/elementor.git,v0.1.7,14721,738,585,0.42%,3.2876712328767,0,462,63,192,0
git@github.com:pojome/elementor.git,v0.2.0,14965,740,590,0.38%,3.3242320819113,0,462,63,194,0
git@github.com:pojome/elementor.git,v0.2.1,15114,740,589,2.14%,3.3487179487179,0,462,63,195,0
git@github.com:pojome/elementor.git,v0.2.2,15114,740,589,2.20%,3.3487179487179,0,462,63,195,0
git@github.com:pojome/elementor.git,v0.2.3,15091,740,589,2.21%,3.3452991452991,0,462,63,195,0
git@github.com:pojome/elementor.git,v0.2.4,15262,744,593,2.00%,3.3676222596965,0,462,63,195,0
git@github.com:pojome/elementor.git,v0.2.5,16495,1053,766,1.86%,3.5640194489465,0,462,63,269,0
git@github.com:pojome/elementor.git,v0.3.0,16882,1049,766,1.26%,3.6241830065359,0,462,63,269,0
git@github.com:pojome/elementor.git,v0.3.1,16885,1050,765,1.26%,3.6225490196078,0,462,63,269,0
git@github.com:pojome/elementor.git,v0.3.2,17162,1055,796,1.61%,3.6426282051282,0,462,63,271,0
git@github.com:pojome/elementor.git,v0.4.0,18528,1033,860,1.49%,3.7648854961832,0,462,63,288,0
git@github.com:pojome/elementor.git,v0.4.1,18552,1033,860,1.49%,3.7679389312977,0,462,63,287,0
git@github.com:pojome/elementor.git,v0.5.0,18977,1049,873,1.63%,3.7694610778443,0,462,63,294,0
git@github.com:pojome/elementor.git,v0.5.1,19002,1049,876,1.63%,3.7686567164179,0,462,63,293,0
git@github.com:pojome/elementor.git,v0.5.2,19082,1049,876,1.73%,3.7746268656716,0,462,63,293,0
git@github.com:pojome/elementor.git,v0.6.0,19200,984,888,1.78%,3.7914201183432,0,462,63,294,0
git@github.com:pojome/elementor.git,v0.6.1,19216,984,893,1.77%,3.7988165680473,0,462,63,294,0
git@github.com:pojome/elementor.git,v0.6.2,19173,985,894,1.78%,3.7946428571429,0,462,63,295,0
git@github.com:pojome/elementor.git,v0.6.3,19172,986,895,1.78%,3.7931547619048,0,462,63,295,0
git@github.com:pojome/elementor.git,v0.6.4,19288,988,895,1.77%,3.7931547619048,0,462,63,295,0
git@github.com:pojome/elementor.git,v0.6.5,19331,988,895,1.76%,3.7991071428571,0,462,63,295,0
git@github.com:pojome/elementor.git,v0.6.6,19333,988,896,1.76%,3.8020833333333,0,462,63,296,0
git@github.com:pojome/elementor.git,v0.7.0,20346,1027,971,1.68%,3.7947295423024,0,462,63,312,0
git@github.com:pojome/elementor.git,v0.7.1,20412,1027,973,1.67%,3.7939142461964,0,462,63,312,0
git@github.com:pojome/elementor.git,v0.7.2,20393,1027,975,1.67%,3.792531120332,0,462,63,312,0
git@github.com:pojome/elementor.git,v0.7.3,20344,1027,975,1.68%,3.789764868603,0,462,63,312,0
git@github.com:pojome/elementor.git,v0.7.4,20401,1029,977,1.67%,3.7684931506849,0,462,63,313,0
git@github.com:pojome/elementor.git,v0.8.0,20776,1058,1005,1.51%,3.7903225806452,0,462,63,325,0
git@github.com:pojome/elementor.git,v0.8.1,20803,1058,1005,1.54%,3.7967698519515,0,462,63,324,0
git@github.com:pojome/elementor.git,v0.9.0,20978,1078,1013,1.01%,3.8162450066578,0,462,63,328,0
git@github.com:pojome/elementor.git,v0.9.1,20978,1078,1013,1.01%,3.8162450066578,0,462,63,328,0
git@github.com:pojome/elementor.git,v0.9.2,20987,1078,1014,1.01%,3.8151595744681,0,462,63,328,0
git@github.com:pojome/elementor.git,v0.9.3,20991,1075,1015,1.01%,3.8178191489362,0,462,63,328,0
