repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:pyrocms/pyrocms.git,v0.9.1,78550,21410,5289,4.54%,5.2814645308924,0,944,365,3503,26
git@github.com:pyrocms/pyrocms.git,v0.9.2,78565,21413,5289,4.54%,5.2814645308924,0,944,365,3503,26
git@github.com:pyrocms/pyrocms.git,v0.9.5,60291,18897,4830,5.51%,5.4350282485876,0,944,365,3214,22
git@github.com:pyrocms/pyrocms.git,v0.9.6,64460,19500,4990,5.22%,5.4944785276074,0,944,365,3316,3
git@github.com:pyrocms/pyrocms.git,v0.9.7,83760,23091,7752,5.68%,5.9304761904762,0,944,365,4373,1
git@github.com:pyrocms/pyrocms.git,v0.9.8,102560,29401,9736,4.38%,5.8248146703082,0,944,365,5823,11
git@github.com:pyrocms/pyrocms.git,v0.9.9,104643,29916,9870,4.47%,5.880476556495,0,944,365,5976,1
git@github.com:pyrocms/pyrocms.git,v1.0.1,115068,31653,8946,4.02%,5.571371927042,0,944,365,5126,0
git@github.com:pyrocms/pyrocms.git,v1.0.2,117248,32053,9081,3.66%,5.5907473309609,0,944,365,5136,0
git@github.com:pyrocms/pyrocms.git,v1.0.3,117977,32083,9147,3.56%,5.5871018482108,0,944,365,5158,0
git@github.com:pyrocms/pyrocms.git,v1.1.0,120770,30912,9347,3.25%,5.609980806142,0,944,365,5475,2
git@github.com:pyrocms/pyrocms.git,v1.2.0,132082,33005,9879,3.41%,5.6856388993592,0,944,365,5615,0
git@github.com:pyrocms/pyrocms.git,v1.2.1,134877,33851,10195,3.48%,5.7072271386431,0,944,365,5737,0
git@github.com:pyrocms/pyrocms.git,v1.3.0,135108,33824,10306,3.43%,5.6919955735891,0,944,365,5758,0
git@github.com:pyrocms/pyrocms.git,v1.3.1,135386,33803,10319,3.42%,5.6840558412932,0,944,365,5771,0
git@github.com:pyrocms/pyrocms.git,v1.3.2,135700,33736,10349,3.40%,5.6917431192661,0,944,365,5776,0
git@github.com:pyrocms/pyrocms.git,v2.0.0,137323,33146,10607,2.86%,5.829637841833,0,944,365,5779,0
git@github.com:pyrocms/pyrocms.git,v2.0.1,139108,33368,10639,2.75%,5.8347536124491,0,944,365,5788,0
git@github.com:pyrocms/pyrocms.git,v2.0.2,139298,33417,10673,2.75%,5.8406817339755,0,944,365,5791,0
git@github.com:pyrocms/pyrocms.git,v2.0.3,139360,33345,10682,2.74%,5.8403112263801,0,944,365,5790,0
git@github.com:pyrocms/pyrocms.git,v2.0.4,139383,33371,10681,2.74%,5.8391997035939,0,944,365,5790,0
git@github.com:pyrocms/pyrocms.git,v2.1.0,190756,50693,14029,3.26%,5.8285714285714,0,944,365,8019,0
git@github.com:pyrocms/pyrocms.git,v2.1.1,190939,50709,14046,3.25%,5.8273760044334,0,944,365,8030,0
git@github.com:pyrocms/pyrocms.git,v2.1.2,190994,50714,14050,3.23%,5.8290385148241,0,944,365,8032,0
git@github.com:pyrocms/pyrocms.git,v2.1.3,192295,51070,14182,3.19%,5.8177326379358,0,944,365,8072,0
git@github.com:pyrocms/pyrocms.git,v2.1.4,192386,51065,14194,3.19%,5.8245951139171,0,944,365,8082,0
git@github.com:pyrocms/pyrocms.git,v2.1.5,192646,51210,14243,3.18%,5.8113362541073,0,944,365,8092,0
git@github.com:pyrocms/pyrocms.git,v2.2.0,220121,57609,15624,3.16%,5.6904262753319,0,944,365,9112,5
git@github.com:pyrocms/pyrocms.git,v2.2.1,223475,58226,15766,3.14%,5.69539031735,0,944,365,9155,8
git@github.com:pyrocms/pyrocms.git,v2.2.2,223774,58119,15809,3.14%,5.6984971098266,0,944,365,9169,8
git@github.com:pyrocms/pyrocms.git,v2.2.3,223971,58199,15825,3.14%,5.701247689464,0,944,365,9170,8
git@github.com:pyrocms/pyrocms.git,v2.2.4,224403,58045,15865,3.04%,5.7074468085106,0,944,365,9171,7
git@github.com:pyrocms/pyrocms.git,v2.2.5,224482,58042,15879,3.04%,5.7035838150289,0,944,365,9178,7
git@github.com:pyrocms/pyrocms.git,v3.0.0,2428,1286,6,0.00%,1.2105263157895,0,944,365,7,0
