repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:ramsey/uuid.git,1.0.0,1311,541,31,0.00%,3.8450704225352,0,294,65,36,0
git@github.com:ramsey/uuid.git,1.1.0,1500,599,36,0.00%,3.5411764705882,0,294,65,38,0
git@github.com:ramsey/uuid.git,1.1.1,1500,599,36,0.00%,3.5411764705882,0,294,65,38,0
git@github.com:ramsey/uuid.git,1.1.2,1500,599,36,0.00%,3.5411764705882,0,294,65,38,0
git@github.com:ramsey/uuid.git,2.0.0,3140,1130,54,15.83%,4.0511363636364,0,294,65,81,0
git@github.com:ramsey/uuid.git,2.1.0,3265,1172,55,15.22%,3.9206349206349,0,294,65,81,0
git@github.com:ramsey/uuid.git,2.1.1,3278,1175,56,15.16%,3.9157894736842,0,294,65,81,0
git@github.com:ramsey/uuid.git,2.1.2,3304,1186,57,15.04%,3.9424083769634,0,294,65,81,0
git@github.com:ramsey/uuid.git,2.2.0,3323,1195,57,14.96%,3.9119170984456,0,294,65,82,0
git@github.com:ramsey/uuid.git,2.3.0,3381,1213,60,14.70%,3.8883248730964,0,294,65,82,0
git@github.com:ramsey/uuid.git,2.4.0,3778,1263,67,13.21%,3.9949748743719,0,294,65,87,0
git@github.com:ramsey/uuid.git,2.5.0,3857,1289,69,12.89%,3.9852941176471,0,294,65,91,0
git@github.com:ramsey/uuid.git,2.6.0,5142,1576,101,9.28%,4.3715415019763,0,294,65,104,0
git@github.com:ramsey/uuid.git,2.6.1,5142,1576,101,9.28%,4.3715415019763,0,294,65,104,0
git@github.com:ramsey/uuid.git,2.7.0,5147,1579,101,9.27%,4.3715415019763,0,294,65,104,0
git@github.com:ramsey/uuid.git,2.7.1,5273,1597,106,9.05%,4.3129770992366,0,294,65,104,0
git@github.com:ramsey/uuid.git,2.7.2,5271,1597,106,9.05%,4.3091603053435,0,294,65,104,0
git@github.com:ramsey/uuid.git,2.7.3,5271,1597,106,9.05%,4.3091603053435,0,294,65,104,0
git@github.com:ramsey/uuid.git,2.7.4,5272,1597,106,9.05%,4.3167938931298,0,294,65,104,0
git@github.com:ramsey/uuid.git,2.8.0,5332,1611,110,8.95%,4.3207547169811,0,294,65,105,0
git@github.com:ramsey/uuid.git,2.8.1,5338,1611,111,8.94%,4.3283018867925,0,294,65,105,0
git@github.com:ramsey/uuid.git,2.8.2,5329,1613,111,8.95%,4.3283018867925,0,294,65,105,0
git@github.com:ramsey/uuid.git,2.8.3,5327,1612,111,8.95%,4.3283018867925,0,294,65,105,0
git@github.com:ramsey/uuid.git,2.8.4,5289,1625,113,9.02%,4.438202247191,0,294,65,107,0
git@github.com:ramsey/uuid.git,2.9.0,5289,1625,113,9.02%,4.438202247191,0,294,65,107,0
git@github.com:ramsey/uuid.git,3.0.0,6126,2413,75,6.40%,3.3489932885906,0,294,65,93,0
git@github.com:ramsey/uuid.git,3.0.1,5622,2282,73,2.28%,3.2373540856031,0,294,65,86,0
git@github.com:ramsey/uuid.git,3.1.0,5656,2295,73,2.26%,3.2346153846154,0,294,65,86,0
git@github.com:ramsey/uuid.git,3.2.0,5735,2320,74,2.23%,3.2272727272727,0,294,65,87,0
git@github.com:ramsey/uuid.git,3.3.0,5940,2314,70,2.15%,3.3152173913043,0,294,65,111,0
git@github.com:ramsey/uuid.git,3.4.0,7375,2611,76,1.74%,3.4611111111111,0,294,65,211,0
git@github.com:ramsey/uuid.git,3.4.1,7374,2611,76,1.74%,3.4611111111111,0,294,65,211,0
git@github.com:ramsey/uuid.git,3.5.0,7600,2658,77,1.68%,3.485254691689,0,294,65,232,0
git@github.com:ramsey/uuid.git,3.5.1,7633,2660,77,1.66%,3.4973404255319,0,294,65,232,0
git@github.com:ramsey/uuid.git,3.5.2,7711,2664,77,1.65%,3.55672823219,0,294,65,238,0
git@github.com:ramsey/uuid.git,3.6.0,7808,2687,77,1.63%,3.5115681233933,0,294,65,238,0
git@github.com:ramsey/uuid.git,3.6.1,7808,2687,77,1.63%,3.5115681233933,0,294,65,238,0
git@github.com:ramsey/uuid.git,3.7.0,7878,2717,77,1.61%,3.492385786802,0,294,65,238,0
git@github.com:ramsey/uuid.git,3.7.1,7923,2723,77,1.60%,3.5328282828283,0,294,65,238,0
git@github.com:ramsey/uuid.git,3.7.2,8024,2741,82,1.58%,3.5617128463476,0,294,65,277,0
git@github.com:ramsey/uuid.git,3.7.3,8064,2747,83,1.57%,3.5889724310777,0,294,65,287,0
git@github.com:ramsey/uuid.git,3.8.0,8737,2999,90,1.45%,3.507614213198,0,294,65,238,0
7,0
