repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:rap2hpoutre/laravel-log-viewer.git,v0.1.0,213,21,6,0.00%,4.8,0,223,40,14,1
git@github.com:rap2hpoutre/laravel-log-viewer.git,v0.1.1,256,21,12,0.00%,4.4285714285714,0,223,40,18,1
git@github.com:rap2hpoutre/laravel-log-viewer.git,v0.1.2,256,21,12,0.00%,4.4285714285714,0,223,40,18,1
git@github.com:rap2hpoutre/laravel-log-viewer.git,v0.1.3,284,38,12,0.00%,4.4285714285714,0,223,40,18,1
git@github.com:rap2hpoutre/laravel-log-viewer.git,v0.1.4,290,38,12,0.00%,4.4285714285714,0,223,40,18,1
git@github.com:rap2hpoutre/laravel-log-viewer.git,v0.1.5,307,41,12,0.00%,4,0,223,40,17,1
git@github.com:rap2hpoutre/laravel-log-viewer.git,v0.1.6,307,41,12,0.00%,4,0,223,40,17,1
git@github.com:rap2hpoutre/laravel-log-viewer.git,v0.1.7,307,41,12,0.00%,4,0,223,40,17,1
git@github.com:rap2hpoutre/laravel-log-viewer.git,v0.1.8,310,41,13,0.00%,4,0,223,40,17,1
git@github.com:rap2hpoutre/laravel-log-viewer.git,v0.1.9,310,41,13,0.00%,4,0,223,40,17,1
git@github.com:rap2hpoutre/laravel-log-viewer.git,v0.1.10,310,41,13,0.00%,4,0,223,40,17,1
git@github.com:rap2hpoutre/laravel-log-viewer.git,v0.2.0,314,41,15,0.00%,4,0,223,40,17,1
git@github.com:rap2hpoutre/laravel-log-viewer.git,v0.2.1,317,41,16,0.00%,4.125,0,223,40,17,1
git@github.com:rap2hpoutre/laravel-log-viewer.git,v0.2.2,326,47,18,0.00%,3.3,0,223,40,11,1
git@github.com:rap2hpoutre/laravel-log-viewer.git,v0.2.3,339,47,17,0.00%,3.2,0,223,40,11,1
git@github.com:rap2hpoutre/laravel-log-viewer.git,v0.2.4,339,47,17,0.00%,3.2,0,223,40,11,1
git@github.com:rap2hpoutre/laravel-log-viewer.git,v0.2.5,331,44,17,0.00%,3.4444444444444,0,223,40,11,1
git@github.com:rap2hpoutre/laravel-log-viewer.git,v0.2.6,331,44,17,0.00%,3.4444444444444,0,223,40,11,1
git@github.com:rap2hpoutre/laravel-log-viewer.git,v0.2.7,331,44,17,0.00%,3.4444444444444,0,223,40,11,1
git@github.com:rap2hpoutre/laravel-log-viewer.git,v0.2.8,331,44,17,0.00%,3.4444444444444,0,223,40,11,1
git@github.com:rap2hpoutre/laravel-log-viewer.git,v0.3.0,346,45,19,0.00%,3.6666666666667,0,223,40,11,1
git@github.com:rap2hpoutre/laravel-log-viewer.git,v0.4.0,354,45,20,0.00%,3.8888888888889,0,223,40,12,1
git@github.com:rap2hpoutre/laravel-log-viewer.git,v0.4.1,362,45,20,0.00%,4,0,223,40,12,1
git@github.com:rap2hpoutre/laravel-log-viewer.git,v0.4.2,358,45,20,0.00%,4,0,223,40,12,1
git@github.com:rap2hpoutre/laravel-log-viewer.git,v0.4.3,360,45,20,0.00%,4,0,223,40,12,1
git@github.com:rap2hpoutre/laravel-log-viewer.git,v0.5.0,369,47,21,0.00%,4.2222222222222,0,223,40,13,1
git@github.com:rap2hpoutre/laravel-log-viewer.git,v0.5.1,369,47,21,0.00%,4.2222222222222,0,223,40,13,1
git@github.com:rap2hpoutre/laravel-log-viewer.git,v0.5.2,368,47,21,0.00%,4.2222222222222,0,223,40,13,1
git@github.com:rap2hpoutre/laravel-log-viewer.git,v0.5.3,368,47,21,0.00%,4.2222222222222,0,223,40,13,1
git@github.com:rap2hpoutre/laravel-log-viewer.git,v0.6.0,376,47,22,0.00%,4.1,0,223,40,12,1
git@github.com:rap2hpoutre/laravel-log-viewer.git,v0.6.1,378,47,22,0.00%,4.2,0,223,40,12,1
git@github.com:rap2hpoutre/laravel-log-viewer.git,v0.7.0,383,47,24,0.00%,4.2,0,223,40,13,1
git@github.com:rap2hpoutre/laravel-log-viewer.git,v0.7.1,395,47,25,0.00%,4,0,223,40,13,1
git@github.com:rap2hpoutre/laravel-log-viewer.git,v0.8.0,404,48,26,0.00%,3.6153846153846,0,223,40,13,1
git@github.com:rap2hpoutre/laravel-log-viewer.git,v0.8.1,413,48,28,0.00%,3.6923076923077,0,223,40,15,1
git@github.com:rap2hpoutre/laravel-log-viewer.git,v0.9.0,419,48,29,0.00%,3.7692307692308,0,223,40,15,1
git@github.com:rap2hpoutre/laravel-log-viewer.git,v0.10.0,431,54,30,0.00%,3.8333333333333,0,223,40,16,1
git@github.com:rap2hpoutre/laravel-log-viewer.git,v0.10.1,429,53,30,0.00%,3.75,0,223,40,16,1
git@github.com:rap2hpoutre/laravel-log-viewer.git,v0.10.2,434,54,30,0.00%,3.8333333333333,0,223,40,16,1
git@github.com:rap2hpoutre/laravel-log-viewer.git,v0.10.3,445,54,30,0.00%,3.8333333333333,0,223,40,16,1
git@github.com:rap2hpoutre/laravel-log-viewer.git,v0.10.4,442,54,30,0.00%,3.8333333333333,0,223,40,16,1
git@github.com:rap2hpoutre/laravel-log-viewer.git,v0.11.0,442,54,30,0.00%,3.8333333333333,0,223,40,16,1
git@github.com:rap2hpoutre/laravel-log-viewer.git,v0.11.1,446,54,30,0.00%,3.8333333333333,0,223,40,16,1
git@github.com:rap2hpoutre/laravel-log-viewer.git,v0.11.2,452,54,31,0.00%,4,0,223,40,16,1
git@github.com:rap2hpoutre/laravel-log-viewer.git,v0.12.0,468,54,31,0.00%,4,0,223,40,16,1
git@github.com:rap2hpoutre/laravel-log-viewer.git,v0.13.0,468,54,31,0.00%,4,0,223,40,16,1
