repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:rappasoft/laravel-5-boilerplate.git,1.0.0,9209,2843,200,0.00%,2.4478764478764,0,1063,107,200,37
git@github.com:rappasoft/laravel-5-boilerplate.git,1.0.1,9231,2853,200,0.00%,2.4478764478764,0,1063,107,200,37
git@github.com:rappasoft/laravel-5-boilerplate.git,1.0.2,9254,2864,200,0.00%,2.4478764478764,0,1063,107,200,37
git@github.com:rappasoft/laravel-5-boilerplate.git,1.0.3,9254,2864,200,0.00%,2.4478764478764,0,1063,107,200,37
git@github.com:rappasoft/laravel-5-boilerplate.git,1.0.4,9257,2864,200,0.00%,2.4478764478764,0,1063,107,200,37
git@github.com:rappasoft/laravel-5-boilerplate.git,1.0.5,9258,2864,200,0.00%,2.4517374517375,0,1063,107,200,37
git@github.com:rappasoft/laravel-5-boilerplate.git,1.0.6,9304,2862,200,0.00%,2.4618320610687,0,1063,107,201,37
git@github.com:rappasoft/laravel-5-boilerplate.git,1.0.7,9304,2862,200,0.00%,2.4618320610687,0,1063,107,201,37
git@github.com:rappasoft/laravel-5-boilerplate.git,1.0.8,9385,2896,206,0.00%,2.4603773584906,0,1063,107,203,37
git@github.com:rappasoft/laravel-5-boilerplate.git,1.0.9,9389,2897,206,0.00%,2.4603773584906,0,1063,107,203,37
git@github.com:rappasoft/laravel-5-boilerplate.git,1.0.10,9405,2904,206,0.00%,2.4603773584906,0,1063,107,203,37
git@github.com:rappasoft/laravel-5-boilerplate.git,1.1.0,9455,2926,207,0.00%,2.4641509433962,0,1063,107,203,37
git@github.com:rappasoft/laravel-5-boilerplate.git,1.1.1,9455,2926,207,0.00%,2.4641509433962,0,1063,107,203,37
git@github.com:rappasoft/laravel-5-boilerplate.git,1.1.2,9462,2926,208,0.00%,2.4679245283019,0,1063,107,207,37
git@github.com:rappasoft/laravel-5-boilerplate.git,1.1.3,9462,2926,208,0.00%,2.4679245283019,0,1063,107,207,37
git@github.com:rappasoft/laravel-5-boilerplate.git,1.1.4,9462,2926,208,0.00%,2.4679245283019,0,1063,107,207,37
git@github.com:rappasoft/laravel-5-boilerplate.git,1.1.5,9492,2930,224,0.00%,2.4905660377358,0,1063,107,212,37
git@github.com:rappasoft/laravel-5-boilerplate.git,1.1.6,9671,2954,230,0.00%,2.4795539033457,0,1063,107,213,37
git@github.com:rappasoft/laravel-5-boilerplate.git,1.1.7,9701,2954,230,0.00%,2.4795539033457,0,1063,107,213,37
git@github.com:rappasoft/laravel-5-boilerplate.git,1.1.8,9702,2954,230,0.00%,2.4795539033457,0,1063,107,213,37
git@github.com:rappasoft/laravel-5-boilerplate.git,1.1.9,9702,2954,230,0.00%,2.4795539033457,0,1063,107,213,37
git@github.com:rappasoft/laravel-5-boilerplate.git,1.2.0,10430,3154,230,0.00%,2.4795539033457,0,1063,107,213,39
git@github.com:rappasoft/laravel-5-boilerplate.git,1.2.1,10465,3170,230,0.00%,2.4740740740741,0,1063,107,213,39
git@github.com:rappasoft/laravel-5-boilerplate.git,1.2.2,10431,3154,230,0.00%,2.4795539033457,0,1063,107,213,39
git@github.com:rappasoft/laravel-5-boilerplate.git,1.2.3,10432,3154,230,0.00%,2.4795539033457,0,1063,107,213,39
