repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:reactphp/promise.git,v1.0.0,2492,174,27,0.00%,3.5909090909091,0,100,15,557,0
git@github.com:reactphp/promise.git,v1.0.1,2461,174,27,0.00%,3.5779816513761,0,100,15,555,0
git@github.com:reactphp/promise.git,v1.0.2,2482,175,26,0.00%,3.6090909090909,0,100,15,564,0
git@github.com:reactphp/promise.git,v1.0.3,2490,175,26,0.00%,3.6090909090909,0,100,15,564,0
git@github.com:reactphp/promise.git,v1.0.4,2913,211,35,0.00%,3.7328244274809,0,100,15,641,0
git@github.com:reactphp/promise.git,v1.1.0,3084,219,37,0.00%,3.5714285714286,0,100,15,659,0
git@github.com:reactphp/promise.git,v1.2.0,3391,247,45,0.00%,3.4367088607595,0,100,15,724,0
git@github.com:reactphp/promise.git,v1.2.1,3391,247,45,0.00%,3.4367088607595,0,100,15,724,0
git@github.com:reactphp/promise.git,v2.0.0,2581,113,41,0.00%,3.7339449541284,0,100,15,412,0
git@github.com:reactphp/promise.git,v2.1.0,3128,169,49,0.00%,3.5182481751825,0,100,15,542,0
git@github.com:reactphp/promise.git,v2.2.0,4545,262,71,0.00%,3.2433862433862,0,100,15,785,0
git@github.com:reactphp/promise.git,v2.2.1,4560,262,73,0.00%,3.2021276595745,0,100,15,789,0
git@github.com:reactphp/promise.git,v2.2.2,4588,264,73,0.00%,3.2210526315789,0,100,15,795,0
git@github.com:reactphp/promise.git,v2.3.0,5093,291,86,0.00%,3.3972602739726,0,100,15,860,0
git@github.com:reactphp/promise.git,v2.4.0,5269,294,99,0.00%,3.4,0,100,15,877,0
git@github.com:reactphp/promise.git,v2.4.1,5346,298,104,0.00%,3.431718061674,0,100,15,900,0
git@github.com:reactphp/promise.git,v2.5.0,5453,307,106,0.00%,3.4608695652174,0,100,15,911,0
git@github.com:reactphp/promise.git,v2.5.1,5489,310,106,0.00%,3.4827586206897,0,100,15,915,0
git@github.com:reactphp/promise.git,v2.6.0,5736,378,110,0.00%,3.5065502183406,0,100,15,933,0
git@github.com:reactphp/promise.git,v2.7.0,5887,391,110,0.00%,3.5130434782609,0,100,15,936,0
git@github.com:reactphp/promise.git,v2.7.1,5889,393,111,0.00%,3.5130434782609,0,100,15,936,0
