repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:reactphp/react.git,v0.1.0,2928,157,92,0.00%,3.3207547169811,0,656,36,134,0
git@github.com:reactphp/react.git,v0.1.1,2939,160,92,0.00%,3.3207547169811,0,656,36,134,0
git@github.com:reactphp/react.git,v0.2.0,4960,294,143,0.00%,4.1155378486056,0,656,36,294,0
git@github.com:reactphp/react.git,v0.2.1,5053,302,148,0.00%,4.1128404669261,0,656,36,306,0
git@github.com:reactphp/react.git,v0.2.2,6448,343,173,0.85%,3.855737704918,0,656,36,536,0
git@github.com:reactphp/react.git,v0.2.3,6839,353,186,0.80%,3.8363636363636,0,656,36,549,0
git@github.com:reactphp/react.git,v0.2.4,7737,401,195,0.71%,3.7722772277228,0,656,36,645,0
git@github.com:reactphp/react.git,v0.2.5,7729,400,193,0.36%,3.9208633093525,0,656,36,622,0
git@github.com:reactphp/react.git,v0.2.6,7916,404,188,0.35%,3.8886255924171,0,656,36,639,0
git@github.com:reactphp/react.git,v0.2.7,7931,384,190,0.35%,3.875,0,656,36,639,0
git@github.com:reactphp/react.git,v0.3.0,8500,423,204,0.33%,3.7952069716776,0,656,36,666,0
git@github.com:reactphp/react.git,v0.3.1,8550,427,206,0.33%,3.8,0,656,36,670,0
git@github.com:reactphp/react.git,v0.3.2,8608,433,208,0.33%,3.8008658008658,0,656,36,670,0
git@github.com:reactphp/react.git,v0.3.3,8646,437,211,0.32%,3.8056155507559,0,656,36,671,0
git@github.com:reactphp/react.git,v0.3.4,8677,437,213,0.32%,3.8081896551724,0,656,36,677,0
git@github.com:reactphp/react.git,v0.4.0,10812,1014,298,0.43%,3.7951127819549,0,656,36,724,0
git@github.com:reactphp/react.git,v0.4.1,10870,1021,300,0.43%,3.8026315789474,0,656,36,734,0
git@github.com:reactphp/react.git,v0.4.2,459,36,14,0.00%,2,0,656,36,22,0
