repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:reduxframework/redux-framework.git,3.0.4,10614,3072,1118,1.12%,8.7605042016807,0,550,87,631,0
git@github.com:reduxframework/redux-framework.git,3.0.5,10741,3106,1130,1.11%,8.7593360995851,0,550,87,633,0
git@github.com:reduxframework/redux-framework.git,3.0.6,10960,3127,1144,1.21%,8.8264462809917,0,550,87,641,0
git@github.com:reduxframework/redux-framework.git,3.0.7,11334,3165,1208,1.01%,8.9554655870445,0,550,87,652,0
git@github.com:reduxframework/redux-framework.git,3.0.8,11333,3165,1212,1.01%,8.9635627530364,0,550,87,652,0
git@github.com:reduxframework/redux-framework.git,3.0.9,12421,3524,1301,0.92%,8.7299270072993,0,550,87,680,0
git@github.com:reduxframework/redux-framework.git,3.1.0,12688,3619,1335,0.90%,8.9673913043478,0,550,87,677,0
git@github.com:reduxframework/redux-framework.git,3.1.2,13278,3970,1465,1.01%,9.1708185053381,0,550,87,715,0
git@github.com:reduxframework/redux-framework.git,3.1.3,13357,4013,1486,1.00%,9.0989399293286,0,550,87,712,0
git@github.com:reduxframework/redux-framework.git,3.1.4,13535,4079,1496,0.99%,9.1153846153846,0,550,87,733,0
git@github.com:reduxframework/redux-framework.git,3.1.6,17965,5159,2201,1.20%,8.8249400479616,0,550,87,1020,0
git@github.com:reduxframework/redux-framework.git,3.1.8,18249,5236,2241,1.18%,8.8009478672986,0,550,87,1035,0
git@github.com:reduxframework/redux-framework.git,3.1.9,19110,5433,2354,0.64%,8.9865470852018,0,550,87,1084,0
git@github.com:reduxframework/redux-framework.git,3.2.1,20427,5869,2460,1.00%,8.6399176954733,0,550,87,1161,0
git@github.com:reduxframework/redux-framework.git,3.2.2,20451,5869,2482,1.00%,8.6584362139918,0,550,87,1164,0
git@github.com:reduxframework/redux-framework.git,3.2.3,20631,5908,2565,0.99%,8.7268993839836,0,550,87,1170,0
git@github.com:reduxframework/redux-framework.git,3.2.4,20693,5912,2604,0.99%,8.7285714285714,0,550,87,1177,0
git@github.com:reduxframework/redux-framework.git,3.2.5,20786,5963,2608,0.99%,8.6997971602434,0,550,87,1177,0
git@github.com:reduxframework/redux-framework.git,3.2.6,20792,5966,2611,1.00%,8.7058823529412,0,550,87,1177,0
git@github.com:reduxframework/redux-framework.git,3.2.8,20439,5563,2665,1.01%,8.7079107505071,0,550,87,1185,0
git@github.com:reduxframework/redux-framework.git,3.2.9,20747,5581,2715,1.00%,8.7191235059761,0,550,87,1212,0
git@github.com:reduxframework/redux-framework.git,3.3.0,21545,5560,2784,0.96%,8.7725490196078,0,550,87,1225,0
git@github.com:reduxframework/redux-framework.git,3.3.3,21496,5561,2781,0.96%,8.8205128205128,0,550,87,1225,0
git@github.com:reduxframework/redux-framework.git,3.3.4,21506,5526,2791,0.96%,8.8172888015717,0,550,87,1227,0
git@github.com:reduxframework/redux-framework.git,3.3.6,22465,5781,2880,0.92%,9.0307101727447,0,550,87,1255,0
git@github.com:reduxframework/redux-framework.git,3.3.8,21254,5473,2637,1.61%,9.1548672566372,0,550,87,1112,0
git@github.com:reduxframework/redux-framework.git,3.4.0,27342,6205,3726,1.42%,8.5071633237822,0,550,87,1886,0
git@github.com:reduxframework/redux-framework.git,3.5.0,32490,6837,4121,3.73%,8.1583769633508,0,550,87,2042,0
git@github.com:reduxframework/redux-framework.git,3.5.1,32848,6928,4143,3.59%,8.1350649350649,0,550,87,2053,0
git@github.com:reduxframework/redux-framework.git,3.5.3,32621,6865,4148,3.46%,8.1710182767624,0,550,87,2046,0
git@github.com:reduxframework/redux-framework.git,3.5.5,31315,6802,4211,0.92%,7.9075949367089,0,550,87,2064,0
git@github.com:reduxframework/redux-framework.git,3.5.7,27130,6546,3366,1.06%,8.0730050933786,0,550,87,1374,1
git@github.com:reduxframework/redux-framework.git,3.5.9,27812,6341,3504,0.97%,8,0,550,87,1364,1
git@github.com:reduxframework/redux-framework.git,3.6.2,27859,6362,3515,0.97%,8.0065146579805,0,550,87,1363,0
git@github.com:reduxframework/redux-framework.git,3.6.4,28114,6441,3534,0.96%,8.0731707317073,0,550,87,1383,0
git@github.com:reduxframework/redux-framework.git,3.6.5,28141,6444,3545,0.96%,8.0813008130081,0,550,87,1386,0
