repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:roots/bedrock.git,1.0.0,112,32,6,0.00%,0,0,854,57,0,0
git@github.com:roots/bedrock.git,1.1.0,185,41,10,0.00%,8,0,854,57,9,0
git@github.com:roots/bedrock.git,1.1.1,185,41,10,0.00%,8,0,854,57,9,0
git@github.com:roots/bedrock.git,1.2.0,186,41,10,0.00%,8,0,854,57,9,0
git@github.com:roots/bedrock.git,1.2.1,186,41,10,0.00%,8,0,854,57,9,0
git@github.com:roots/bedrock.git,1.2.2,189,41,11,0.00%,8,0,854,57,9,0
git@github.com:roots/bedrock.git,1.2.3,189,41,11,0.00%,8,0,854,57,9,0
git@github.com:roots/bedrock.git,1.2.4,189,41,11,0.00%,8,0,854,57,9,0
git@github.com:roots/bedrock.git,1.2.5,203,50,14,0.00%,8,0,854,57,9,0
git@github.com:roots/bedrock.git,1.2.6,203,50,14,0.00%,8,0,854,57,9,0
git@github.com:roots/bedrock.git,1.2.7,203,50,14,0.00%,8,0,854,57,9,0
git@github.com:roots/bedrock.git,1.3.0,352,98,30,0.00%,4.75,0,854,57,9,0
git@github.com:roots/bedrock.git,1.3.1,352,98,30,0.00%,4.75,0,854,57,9,0
git@github.com:roots/bedrock.git,1.3.2,344,92,30,0.00%,4.75,0,854,57,9,0
git@github.com:roots/bedrock.git,1.3.3,350,93,31,0.00%,4.75,0,854,57,9,0
git@github.com:roots/bedrock.git,1.3.4,350,93,31,0.00%,4.75,0,854,57,9,0
git@github.com:roots/bedrock.git,1.3.5,347,105,30,0.00%,4.75,0,854,57,9,0
git@github.com:roots/bedrock.git,1.3.6,347,105,30,0.00%,4.75,0,854,57,9,0
git@github.com:roots/bedrock.git,1.3.7,347,105,30,0.00%,4.75,0,854,57,9,0
git@github.com:roots/bedrock.git,1.4.0,283,101,26,0.00%,4.2857142857143,0,854,57,0,0
git@github.com:roots/bedrock.git,1.4.1,284,101,26,0.00%,4.2857142857143,0,854,57,0,0
git@github.com:roots/bedrock.git,1.4.2,283,101,26,0.00%,4.2857142857143,0,854,57,0,0
git@github.com:roots/bedrock.git,1.4.3,283,101,26,0.00%,4.2857142857143,0,854,57,0,0
git@github.com:roots/bedrock.git,1.4.4,283,101,26,0.00%,4.2857142857143,0,854,57,0,0
git@github.com:roots/bedrock.git,1.4.5,283,101,26,0.00%,4.2857142857143,0,854,57,0,0
git@github.com:roots/bedrock.git,1.4.6,283,101,27,0.00%,4.2857142857143,0,854,57,0,0
git@github.com:roots/bedrock.git,1.4.7,283,101,27,0.00%,4.2857142857143,0,854,57,0,0
git@github.com:roots/bedrock.git,1.5.0,283,101,26,0.00%,4.2857142857143,0,854,57,0,0
git@github.com:roots/bedrock.git,1.5.1,288,104,27,0.00%,4.2857142857143,0,854,57,0,0
git@github.com:roots/bedrock.git,1.5.2,288,104,27,0.00%,4.2857142857143,0,854,57,0,0
git@github.com:roots/bedrock.git,1.5.3,288,104,27,0.00%,4.2857142857143,0,854,57,0,0
git@github.com:roots/bedrock.git,1.5.4,288,104,27,0.00%,4.2857142857143,0,854,57,0,0
git@github.com:roots/bedrock.git,1.6.0,288,104,27,0.00%,4.2857142857143,0,854,57,0,0
git@github.com:roots/bedrock.git,1.6.1,342,118,27,0.00%,4.4285714285714,0,854,57,0,0
git@github.com:roots/bedrock.git,1.6.2,342,118,27,0.00%,4.4285714285714,0,854,57,0,0
git@github.com:roots/bedrock.git,1.6.3,342,118,27,0.00%,4.4285714285714,0,854,57,0,0
git@github.com:roots/bedrock.git,1.6.4,342,118,27,0.00%,4.4285714285714,0,854,57,0,0
git@github.com:roots/bedrock.git,1.7.0,342,118,27,0.00%,4.4285714285714,0,854,57,0,0
git@github.com:roots/bedrock.git,1.7.1,342,118,27,0.00%,4.4285714285714,0,854,57,0,0
