repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:roundcube/roundcubemail.git,v0.1.1,51553,21697,5123,7.71%,7.9885159010601,0,1099,184,3299,0
git@github.com:roundcube/roundcubemail.git,v0.2.1,50695,18611,5814,8.56%,8.1188358932902,0,1099,184,3911,3
git@github.com:roundcube/roundcubemail.git,v0.2.2,50697,18613,5821,8.56%,8.1220695230396,0,1099,184,3910,3
git@github.com:roundcube/roundcubemail.git,v0.3.1,58623,20673,6821,7.41%,7.947192513369,0,1099,184,4445,3
git@github.com:roundcube/roundcubemail.git,v0.4.1,67611,22958,8219,9.59%,8.3716656787196,0,1099,184,5501,0
git@github.com:roundcube/roundcubemail.git,v0.4.2,67609,22959,8215,9.59%,8.3631516587678,0,1099,184,5497,0
git@github.com:roundcube/roundcubemail.git,v0.5.1,74149,24654,8799,8.75%,8.4878324844369,0,1099,184,5934,0
git@github.com:roundcube/roundcubemail.git,v0.5.2,74475,24739,8871,8.71%,8.4991520633126,0,1099,184,5908,1
git@github.com:roundcube/roundcubemail.git,v0.5.3,74468,24739,8870,8.71%,8.4997173544375,0,1099,184,5909,0
git@github.com:roundcube/roundcubemail.git,v0.5.4,74492,24747,8877,8.71%,8.4994350282486,0,1099,184,5911,0
git@github.com:roundcube/roundcubemail.git,v0.7.1,92275,31331,10580,7.06%,8.3184281842818,0,1099,184,6870,1
git@github.com:roundcube/roundcubemail.git,v0.7.2,92306,31352,10616,7.06%,8.3282167042889,0,1099,184,6893,0
git@github.com:roundcube/roundcubemail.git,v0.7.3,92385,31365,10638,7.05%,8.3367945823928,0,1099,184,6901,0
git@github.com:roundcube/roundcubemail.git,v0.7.4,92425,31375,10650,7.05%,8.341309255079,0,1099,184,6907,0
git@github.com:roundcube/roundcubemail.git,0.7.4,92425,31375,10650,7.05%,8.341309255079,0,1099,184,6907,0
git@github.com:roundcube/roundcubemail.git,v0.8.0,97737,33332,11158,6.67%,8.4094387755102,0,1099,184,7383,0
git@github.com:roundcube/roundcubemail.git,v0.8.1,97773,33343,11165,6.67%,8.4115646258503,0,1099,184,7383,0
git@github.com:roundcube/roundcubemail.git,v0.8.2,97810,33346,11170,6.66%,8.4162414965986,0,1099,184,7389,0
git@github.com:roundcube/roundcubemail.git,v0.8.3,97844,33348,11179,6.66%,8.4152146196345,0,1099,184,7390,0
git@github.com:roundcube/roundcubemail.git,v0.8.4,97846,33348,11179,6.66%,8.4152146196345,0,1099,184,7390,0
git@github.com:roundcube/roundcubemail.git,v0.8.5,97878,33350,11189,6.66%,8.4169145771356,0,1099,184,7391,0
git@github.com:roundcube/roundcubemail.git,0.8.6,97890,33356,11190,6.66%,8.4173395665108,0,1099,184,7393,0
git@github.com:roundcube/roundcubemail.git,v0.8.6,97890,33356,11190,6.66%,8.4173395665108,0,1099,184,7393,0
git@github.com:roundcube/roundcubemail.git,v0.8.7,97891,33356,11190,6.66%,8.4173395665108,0,1099,184,7394,0
git@github.com:roundcube/roundcubemail.git,v0.9.0,74021,22515,8152,0.19%,7.4658511722732,0,1099,184,4770,0
