repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:ruflin/Elastica.git,2.0.0,44400,11633,916,2.76%,4.7887700534759,0,622,307,1548,0
git@github.com:ruflin/Elastica.git,2.1.0,48010,14899,948,2.36%,4.6787587412587,0,622,307,1514,0
git@github.com:ruflin/Elastica.git,2.2.0,48299,14987,941,2.35%,4.7463075586447,0,622,307,1521,0
git@github.com:ruflin/Elastica.git,2.2.1,48551,15101,942,2.34%,4.739524838013,0,622,307,1536,0
git@github.com:ruflin/Elastica.git,2.3.0,49248,15301,972,2.30%,4.7293617021277,0,622,307,1557,0
git@github.com:ruflin/Elastica.git,2.3.1,49619,15363,991,2.29%,4.7492600422833,0,622,307,1579,0
git@github.com:ruflin/Elastica.git,2.3.2,49640,15373,991,2.29%,4.7465145754119,0,622,307,1581,0
git@github.com:ruflin/Elastica.git,3.0.0,46524,14342,938,2.24%,4.6690647482014,0,622,307,1479,0
git@github.com:ruflin/Elastica.git,3.0.1,46820,14394,938,2.31%,4.6848701880036,0,622,307,1489,0
git@github.com:ruflin/Elastica.git,3.1.0,51415,15525,1030,3.51%,4.7330353514831,0,622,307,1585,0
git@github.com:ruflin/Elastica.git,3.1.1,52136,15539,1048,3.50%,4.7436312171452,0,622,307,1599,0
git@github.com:ruflin/Elastica.git,3.2.0,52615,15612,1052,3.47%,4.758135797509,0,622,307,1617,0
git@github.com:ruflin/Elastica.git,3.2.1,52449,15691,1056,3.48%,4.7552978808477,0,622,307,1630,0
git@github.com:ruflin/Elastica.git,3.2.2,52660,15761,1044,3.29%,4.7305246422893,0,622,307,1616,0
git@github.com:ruflin/Elastica.git,3.2.3,53979,16090,1068,3.21%,4.7109647423479,0,622,307,1664,0
git@github.com:ruflin/Elastica.git,5.0.0,42891,12659,901,1.03%,4.8252286952335,0,622,307,1439,2
git@github.com:ruflin/Elastica.git,5.1.0,42563,12634,903,1.02%,4.7516973811833,0,622,307,1426,2
git@github.com:ruflin/Elastica.git,5.2.0,43037,12724,903,1.01%,4.7684918347743,0,622,307,1434,2
git@github.com:ruflin/Elastica.git,5.2.1,43803,12855,920,1.13%,4.7755294117647,0,622,307,1463,2
git@github.com:ruflin/Elastica.git,5.3.0,44607,13097,937,1.11%,4.7894248608534,0,622,307,1481,2
git@github.com:ruflin/Elastica.git,5.3.1,45025,13226,942,1.17%,4.7646788990826,0,622,307,1503,2
git@github.com:ruflin/Elastica.git,5.3.2,45207,13249,943,1.16%,4.7857142857143,0,622,307,1513,2
git@github.com:ruflin/Elastica.git,5.3.3,45207,13249,943,1.16%,4.7857142857143,0,622,307,1513,2
git@github.com:ruflin/Elastica.git,6.0.0,46956,13830,933,1.07%,4.708938793483,0,622,307,1586,1
git@github.com:ruflin/Elastica.git,6.0.1,47559,13955,931,1.11%,4.7126686983021,0,622,307,1617,1
git@github.com:ruflin/Elastica.git,6.0.2,48177,14122,939,1.10%,4.7177730192719,0,622,307,1623,1
git@github.com:ruflin/Elastica.git,6.1.0,48824,14286,933,1.21%,4.7177316969953,0,622,307,1637,1
