repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:sebastianbergmann/comparator.git,1.0.0,3221,1740,78,0.00%,2.5729166666667,0,42,20,37,0
git@github.com:sebastianbergmann/comparator.git,1.0.1,4625,2342,84,2.23%,2.483660130719,0,42,20,73,0
git@github.com:sebastianbergmann/comparator.git,1.1.0,4642,2348,85,2.22%,2.4805194805195,0,42,20,73,0
git@github.com:sebastianbergmann/comparator.git,1.1.1,3485,1191,85,2.96%,2.4805194805195,0,42,20,73,0
git@github.com:sebastianbergmann/comparator.git,1.1.2,3307,1013,85,3.11%,2.4805194805195,0,42,20,73,0
git@github.com:sebastianbergmann/comparator.git,1.2.0,3330,1021,87,3.09%,2.4615384615385,0,42,20,73,0
git@github.com:sebastianbergmann/comparator.git,1.2.1,3330,1021,87,3.09%,2.4615384615385,0,42,20,73,0
git@github.com:sebastianbergmann/comparator.git,1.2.2,3330,1021,87,3.09%,2.4615384615385,0,42,20,73,0
git@github.com:sebastianbergmann/comparator.git,1.2.3,3295,986,87,3.13%,2.4615384615385,0,42,20,73,0
git@github.com:sebastianbergmann/comparator.git,1.2.4,3288,979,87,3.13%,2.4615384615385,0,42,20,73,0
git@github.com:sebastianbergmann/comparator.git,2.0.0,3255,986,85,3.01%,2.5320512820513,0,42,20,106,0
git@github.com:sebastianbergmann/comparator.git,2.0.1,3296,1025,85,2.97%,2.5384615384615,0,42,20,106,0
git@github.com:sebastianbergmann/comparator.git,2.0.2,3345,1029,85,2.93%,2.58125,0,42,20,108,0
git@github.com:sebastianbergmann/comparator.git,2.1.0,3377,1035,89,2.90%,2.5644171779141,0,42,20,108,0
git@github.com:sebastianbergmann/comparator.git,2.1.1,3387,1037,89,2.89%,2.601226993865,0,42,20,109,0
git@github.com:sebastianbergmann/comparator.git,2.1.2,3400,1050,89,2.88%,2.5705521472393,0,42,20,109,0
git@github.com:sebastianbergmann/comparator.git,2.1.3,3400,1050,89,2.88%,2.5705521472393,0,42,20,109,0
git@github.com:sebastianbergmann/comparator.git,3.0.0,3562,1206,89,3.48%,2.5828220858896,0,42,20,110,0
git@github.com:sebastianbergmann/comparator.git,3.0.1,3391,1044,90,2.89%,2.5950920245399,0,42,20,111,0
git@github.com:sebastianbergmann/comparator.git,3.0.2,3352,1006,90,2.71%,2.5950920245399,0,42,20,110,0
