repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:sebastianbergmann/diff.git,1.0.0,573,192,40,0.00%,5.7272727272727,0,46,17,33,0
git@github.com:sebastianbergmann/diff.git,1.1.0,992,397,58,0.00%,4.5384615384615,0,46,17,41,0
git@github.com:sebastianbergmann/diff.git,1.2.0,1337,661,67,0.00%,5.4545454545455,0,46,17,66,0
git@github.com:sebastianbergmann/diff.git,1.3.0,1309,384,78,0.00%,5.56,0,46,17,76,0
git@github.com:sebastianbergmann/diff.git,1.4.0,1274,343,80,0.00%,5.58,0,46,17,76,0
git@github.com:sebastianbergmann/diff.git,1.4.1,1274,343,80,0.00%,5.58,0,46,17,76,0
git@github.com:sebastianbergmann/diff.git,1.4.2,1872,500,84,0.00%,4.6626506024096,0,46,17,89,0
git@github.com:sebastianbergmann/diff.git,1.4.3,1910,500,84,0.00%,4.6626506024096,0,46,17,89,0
git@github.com:sebastianbergmann/diff.git,2.0.1,2808,523,123,0.00%,4.8333333333333,0,46,17,122,0
git@github.com:sebastianbergmann/diff.git,3.0.0,5620,964,236,2.85%,4.6683937823834,0,46,17,208,0
git@github.com:sebastianbergmann/diff.git,3.0.1,5635,964,236,2.89%,4.6683937823834,0,46,17,208,0
