repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:sebastianbergmann/php-file-iterator.git,1.0.0,126,65,10,0.00%,7,0,38,14,4,0
git@github.com:sebastianbergmann/php-file-iterator.git,1.1.0,304,160,22,0.00%,3.75,0,38,14,3,0
git@github.com:sebastianbergmann/php-file-iterator.git,1.1.1,304,160,22,0.00%,3.75,0,38,14,3,0
git@github.com:sebastianbergmann/php-file-iterator.git,1.2.0,325,164,23,0.00%,4.25,0,38,14,4,0
git@github.com:sebastianbergmann/php-file-iterator.git,1.2.1,352,164,28,0.00%,5.375,0,38,14,7,0
git@github.com:sebastianbergmann/php-file-iterator.git,1.2.2,354,164,29,0.00%,5.375,0,38,14,8,0
git@github.com:sebastianbergmann/php-file-iterator.git,1.2.3,352,164,28,0.00%,5.375,0,38,14,7,0
git@github.com:sebastianbergmann/php-file-iterator.git,1.2.4,356,164,29,0.00%,5.5,0,38,14,7,0
git@github.com:sebastianbergmann/php-file-iterator.git,1.2.5,356,164,29,0.00%,5.5,0,38,14,7,0
git@github.com:sebastianbergmann/php-file-iterator.git,1.2.6,356,164,29,0.00%,5.5,0,38,14,7,0
git@github.com:sebastianbergmann/php-file-iterator.git,1.3.0,548,266,42,0.00%,7.2222222222222,0,38,14,20,0
git@github.com:sebastianbergmann/php-file-iterator.git,1.3.1,596,266,45,0.00%,5.4615384615385,0,38,14,20,0
git@github.com:sebastianbergmann/php-file-iterator.git,1.3.2,596,266,45,0.00%,5.4615384615385,0,38,14,20,0
git@github.com:sebastianbergmann/php-file-iterator.git,1.3.3,587,266,43,0.00%,5.4615384615385,0,38,14,19,0
git@github.com:sebastianbergmann/php-file-iterator.git,1.3.4,587,266,43,0.00%,5.4615384615385,0,38,14,19,0
git@github.com:sebastianbergmann/php-file-iterator.git,1.4.0,387,130,39,0.00%,6.7,0,38,14,16,0
git@github.com:sebastianbergmann/php-file-iterator.git,1.4.1,372,115,39,0.00%,6.7,0,38,14,16,0
git@github.com:sebastianbergmann/php-file-iterator.git,1.4.2,372,115,39,0.00%,6.7,0,38,14,16,0
git@github.com:sebastianbergmann/php-file-iterator.git,1.4.3,372,115,39,0.00%,6.7,0,38,14,16,0
git@github.com:sebastianbergmann/php-file-iterator.git,1.4.4,401,118,43,0.00%,6.8181818181818,0,38,14,17,0
git@github.com:sebastianbergmann/php-file-iterator.git,1.4.5,372,115,39,0.00%,6.7,0,38,14,16,0
git@github.com:sebastianbergmann/php-file-iterator.git,2.0.0,301,57,35,0.00%,6.2,0,38,14,13,0
git@github.com:sebastianbergmann/php-file-iterator.git,2.0.1,307,61,35,0.00%,6.2,0,38,14,13,0
git@github.com:sebastianbergmann/php-file-iterator.git,2.0.2,357,78,35,0.00%,5.3846153846154,0,38,14,13,0
