repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:sebastianbergmann/php-timer.git,1.0.0,223,139,6,0.00%,3.4285714285714,0,45,7,2,0
git@github.com:sebastianbergmann/php-timer.git,1.0.1,325,193,10,0.00%,3,0,45,7,6,0
git@github.com:sebastianbergmann/php-timer.git,1.0.2,336,196,11,0.00%,3,0,45,7,8,0
git@github.com:sebastianbergmann/php-timer.git,1.0.3,385,196,14,0.00%,2.4615384615385,0,45,7,9,0
git@github.com:sebastianbergmann/php-timer.git,1.0.4,376,196,12,0.00%,2.4615384615385,0,45,7,8,0
git@github.com:sebastianbergmann/php-timer.git,1.0.5,400,200,8,0.00%,1.2857142857143,0,45,7,10,0
git@github.com:sebastianbergmann/php-timer.git,1.0.6,219,85,5,0.00%,1.3,0,45,7,8,0
git@github.com:sebastianbergmann/php-timer.git,1.0.7,208,73,5,0.00%,1.3,0,45,7,8,0
git@github.com:sebastianbergmann/php-timer.git,1.0.8,208,73,5,0.00%,1.3,0,45,7,8,0
git@github.com:sebastianbergmann/php-timer.git,1.0.9,203,66,5,0.00%,1.3,0,45,7,8,0
git@github.com:sebastianbergmann/php-timer.git,2.0.0,232,53,8,0.00%,1.8333333333333,0,45,7,7,0
