repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:sebastianbergmann/php-token-stream.git,0.9.0,1184,204,16,0.00%,3.5833333333333,0,42,24,4,0
git@github.com:sebastianbergmann/php-token-stream.git,0.9.1,1271,243,14,0.00%,2.2727272727273,0,42,24,5,0
git@github.com:sebastianbergmann/php-token-stream.git,1.0.0,1602,672,69,0.00%,3.28,0,42,24,32,0
git@github.com:sebastianbergmann/php-token-stream.git,1.0.1,1606,672,70,0.00%,3.3,0,42,24,33,0
git@github.com:sebastianbergmann/php-token-stream.git,1.1.0,2441,786,152,0.00%,3.5119047619048,0,42,24,135,0
git@github.com:sebastianbergmann/php-token-stream.git,1.1.1,2513,789,161,0.00%,3.6162790697674,0,42,24,137,0
git@github.com:sebastianbergmann/php-token-stream.git,1.1.2,2571,789,167,0.00%,3.5555555555556,0,42,24,140,0
git@github.com:sebastianbergmann/php-token-stream.git,1.1.3,2626,789,176,0.00%,3.4893617021277,0,42,24,141,0
git@github.com:sebastianbergmann/php-token-stream.git,1.1.4,2626,789,176,0.00%,3.4893617021277,0,42,24,141,0
git@github.com:sebastianbergmann/php-token-stream.git,1.1.5,2620,789,174,0.00%,3.4893617021277,0,42,24,140,0
git@github.com:sebastianbergmann/php-token-stream.git,1.1.6,2764,855,178,0.00%,3.49,0,42,24,149,0
git@github.com:sebastianbergmann/php-token-stream.git,1.1.7,2785,855,179,0.00%,3.5049504950495,0,42,24,169,0
git@github.com:sebastianbergmann/php-token-stream.git,1.1.8,2798,855,181,0.00%,3.5940594059406,0,42,24,169,0
git@github.com:sebastianbergmann/php-token-stream.git,1.2.0,2841,864,183,0.00%,3.6019417475728,0,42,24,170,0
git@github.com:sebastianbergmann/php-token-stream.git,1.2.1,2872,864,187,0.00%,3.6095238095238,0,42,24,174,0
git@github.com:sebastianbergmann/php-token-stream.git,1.2.2,2883,865,188,0.00%,3.5943396226415,0,42,24,176,0
git@github.com:sebastianbergmann/php-token-stream.git,1.3.0,2563,828,177,0.00%,3.6862745098039,0,42,24,95,0
git@github.com:sebastianbergmann/php-token-stream.git,1.4.0,2235,491,177,0.00%,3.6862745098039,0,42,24,95,0
git@github.com:sebastianbergmann/php-token-stream.git,1.4.1,2237,491,177,0.00%,3.6862745098039,0,42,24,95,0
git@github.com:sebastianbergmann/php-token-stream.git,1.4.2,2241,492,177,0.00%,3.6862745098039,0,42,24,95,0
git@github.com:sebastianbergmann/php-token-stream.git,1.4.3,2339,577,180,0.00%,3.6601941747573,0,42,24,94,0
git@github.com:sebastianbergmann/php-token-stream.git,1.4.4,2352,577,181,0.00%,3.6699029126214,0,42,24,94,0
git@github.com:sebastianbergmann/php-token-stream.git,1.4.5,2343,577,180,0.00%,3.6601941747573,0,42,24,94,0
git@github.com:sebastianbergmann/php-token-stream.git,1.4.6,2398,583,187,0.00%,3.588785046729,0,42,24,101,0
git@github.com:sebastianbergmann/php-token-stream.git,1.4.7,2430,587,187,0.00%,3.5545454545455,0,42,24,104,0
git@github.com:sebastianbergmann/php-token-stream.git,1.4.8,2430,587,187,0.00%,3.5545454545455,0,42,24,104,0
git@github.com:sebastianbergmann/php-token-stream.git,1.4.9,2456,590,190,0.00%,3.5765765765766,0,42,24,107,0
git@github.com:sebastianbergmann/php-token-stream.git,1.4.10,2457,590,190,0.00%,3.5765765765766,0,42,24,107,0
git@github.com:sebastianbergmann/php-token-stream.git,1.4.11,2457,590,190,0.00%,3.5855855855856,0,42,24,108,0
git@github.com:sebastianbergmann/php-token-stream.git,1.4.12,2458,590,190,0.00%,3.5945945945946,0,42,24,108,0
git@github.com:sebastianbergmann/php-token-stream.git,2.0.0,3067,528,189,0.00%,3.5555555555556,0,42,24,127,0
git@github.com:sebastianbergmann/php-token-stream.git,2.0.1,3088,531,189,0.00%,3.5423728813559,0,42,24,130,0
git@github.com:sebastianbergmann/php-token-stream.git,2.0.2,3117,534,189,0.00%,3.5714285714286,0,42,24,132,0
git@github.com:sebastianbergmann/php-token-stream.git,3.0.0,2976,517,189,0.00%,3.6153846153846,0,42,24,132,0
git@github.com:sebastianbergmann/php-token-stream.git,3.0.1,2985,517,190,0.00%,3.6186440677966,0,42,24,132,0
