repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:sebastianbergmann/phpcpd.git,1.0.0,1060,468,82,0.00%,10.125,0,148,26,37,0
git@github.com:sebastianbergmann/phpcpd.git,1.1.0,1357,640,86,0.00%,6.4333333333333,0,148,26,47,0
git@github.com:sebastianbergmann/phpcpd.git,1.1.1,1362,640,87,0.00%,6.4666666666667,0,148,26,47,0
git@github.com:sebastianbergmann/phpcpd.git,1.2.0,1501,694,99,0.00%,6.84375,0,148,26,59,0
git@github.com:sebastianbergmann/phpcpd.git,1.2.1,1435,633,97,0.00%,7.2333333333333,0,148,26,59,0
git@github.com:sebastianbergmann/phpcpd.git,1.2.2,1396,624,91,0.00%,7.2758620689655,0,148,26,55,0
git@github.com:sebastianbergmann/phpcpd.git,1.3.0,1283,576,54,0.00%,6.7307692307692,0,148,26,62,0
git@github.com:sebastianbergmann/phpcpd.git,1.3.1,1301,581,55,0.00%,6.6296296296296,0,148,26,62,0
git@github.com:sebastianbergmann/phpcpd.git,1.3.2,1645,713,77,3.59%,7.6969696969697,0,148,26,243,0
git@github.com:sebastianbergmann/phpcpd.git,1.3.3,1883,933,75,3.13%,7.1470588235294,0,148,26,243,0
git@github.com:sebastianbergmann/phpcpd.git,1.3.4,1885,933,76,3.13%,7.1764705882353,0,148,26,243,0
git@github.com:sebastianbergmann/phpcpd.git,1.3.5,1889,936,76,3.12%,7.1470588235294,0,148,26,243,0
git@github.com:sebastianbergmann/phpcpd.git,1.4.0,2030,915,86,2.91%,6.8947368421053,0,148,26,251,0
git@github.com:sebastianbergmann/phpcpd.git,1.4.1,1951,864,82,3.02%,6.7105263157895,0,148,26,248,0
git@github.com:sebastianbergmann/phpcpd.git,1.4.2,1951,864,82,3.02%,6.7105263157895,0,148,26,248,0
git@github.com:sebastianbergmann/phpcpd.git,1.4.3,1951,864,82,3.02%,6.7105263157895,0,148,26,248,0
git@github.com:sebastianbergmann/phpcpd.git,2.0.0,2408,1061,85,2.45%,6,0,148,26,390,0
git@github.com:sebastianbergmann/phpcpd.git,2.0.1,2310,978,86,2.55%,6,0,148,26,389,0
git@github.com:sebastianbergmann/phpcpd.git,2.0.2,1947,615,86,3.03%,6,0,148,26,389,0
git@github.com:sebastianbergmann/phpcpd.git,2.0.3,1947,615,86,3.03%,6,0,148,26,389,0
git@github.com:sebastianbergmann/phpcpd.git,2.0.4,1947,615,86,3.03%,6,0,148,26,389,0
git@github.com:sebastianbergmann/phpcpd.git,3.0.0,2006,587,83,2.94%,5.6140350877193,0,148,26,388,0
git@github.com:sebastianbergmann/phpcpd.git,3.0.1,1923,501,83,3.07%,5.6140350877193,0,148,26,388,0
git@github.com:sebastianbergmann/phpcpd.git,4.0.0,1822,398,83,3.24%,5.6140350877193,0,148,26,388,0
git@github.com:sebastianbergmann/phpcpd.git,4.1.0,1842,360,86,3.20%,5.3770491803279,0,148,26,393,0
