repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:sebastianbergmann/phpunit-mock-objects.git,1.0.0,4688,2592,143,0.00%,3.234375,0,153,74,118,0
git@github.com:sebastianbergmann/phpunit-mock-objects.git,1.0.1,4688,2592,143,0.00%,3.234375,0,153,74,118,0
git@github.com:sebastianbergmann/phpunit-mock-objects.git,1.0.2,4688,2592,143,0.00%,3.234375,0,153,74,118,0
git@github.com:sebastianbergmann/phpunit-mock-objects.git,1.0.3,4705,2597,143,0.00%,3.2170542635659,0,153,74,118,0
git@github.com:sebastianbergmann/phpunit-mock-objects.git,1.0.4,4722,2598,143,0.00%,3.1832061068702,0,153,74,121,0
git@github.com:sebastianbergmann/phpunit-mock-objects.git,1.0.5,4723,2598,143,0.00%,3.1832061068702,0,153,74,121,0
git@github.com:sebastianbergmann/phpunit-mock-objects.git,1.0.6,4723,2598,144,0.00%,3.1832061068702,0,153,74,121,0
git@github.com:sebastianbergmann/phpunit-mock-objects.git,1.0.7,4723,2598,144,0.00%,3.1832061068702,0,153,74,121,0
git@github.com:sebastianbergmann/phpunit-mock-objects.git,1.0.8,4733,2598,149,0.00%,3.206106870229,0,153,74,120,0
git@github.com:sebastianbergmann/phpunit-mock-objects.git,1.0.9,4755,2598,151,0.00%,3.2213740458015,0,153,74,120,0
git@github.com:sebastianbergmann/phpunit-mock-objects.git,1.1.0,5155,2780,167,0.00%,3.169014084507,0,153,74,129,0
git@github.com:sebastianbergmann/phpunit-mock-objects.git,1.1.1,5263,2803,171,0.00%,3.0592105263158,0,153,74,132,0
git@github.com:sebastianbergmann/phpunit-mock-objects.git,1.2.0,5768,2865,179,0.00%,3.123595505618,0,153,74,166,0
git@github.com:sebastianbergmann/phpunit-mock-objects.git,1.2.1,5757,2865,177,0.00%,3.123595505618,0,153,74,165,0
git@github.com:sebastianbergmann/phpunit-mock-objects.git,1.2.2,5777,2862,176,0.00%,3.1381215469613,0,153,74,190,0
git@github.com:sebastianbergmann/phpunit-mock-objects.git,1.2.3,5851,2862,176,0.00%,3.1236559139785,0,153,74,237,0
git@github.com:sebastianbergmann/phpunit-mock-objects.git,2.0.0,6469,3057,214,0.00%,3.3225806451613,0,153,74,327,0
git@github.com:sebastianbergmann/phpunit-mock-objects.git,2.0.1,6491,3061,214,0.00%,3.3165137614679,0,153,74,327,0
git@github.com:sebastianbergmann/phpunit-mock-objects.git,2.0.2,6492,3061,214,0.00%,3.3165137614679,0,153,74,327,0
git@github.com:sebastianbergmann/phpunit-mock-objects.git,2.0.3,6554,3072,215,0.00%,3.3288288288288,0,153,74,330,0
git@github.com:sebastianbergmann/phpunit-mock-objects.git,2.0.4,6554,3072,215,0.00%,3.3288288288288,0,153,74,330,0
git@github.com:sebastianbergmann/phpunit-mock-objects.git,2.0.5,6554,3072,215,0.00%,3.3288288288288,0,153,74,330,0
git@github.com:sebastianbergmann/phpunit-mock-objects.git,2.0.6,6710,3174,217,0.00%,3.3097345132743,0,153,74,340,0
