repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:sebastianbergmann/phpunit.git,1.0.0,1857,1057,94,0.00%,2.4470588235294,0,1682,406,44,0
git@github.com:sebastianbergmann/phpunit.git,1.0.1,1865,1059,94,0.00%,2.4588235294118,0,1682,406,44,0
git@github.com:sebastianbergmann/phpunit.git,1.0.2,1922,1116,94,0.00%,2.4588235294118,0,1682,406,44,0
git@github.com:sebastianbergmann/phpunit.git,1.1.0,2353,1356,116,0.00%,2.6082474226804,0,1682,406,64,0
git@github.com:sebastianbergmann/phpunit.git,1.1.1,2353,1356,116,0.00%,2.6082474226804,0,1682,406,64,0
git@github.com:sebastianbergmann/phpunit.git,1.2.0,3138,1748,147,0.00%,3.453781512605,0,1682,406,82,0
git@github.com:sebastianbergmann/phpunit.git,1.2.1,3134,1748,144,0.00%,3.4453781512605,0,1682,406,80,0
git@github.com:sebastianbergmann/phpunit.git,1.2.2,6268,3496,288,37.24%,3.4453781512605,0,1682,406,160,0
git@github.com:sebastianbergmann/phpunit.git,1.3.0,3371,1932,146,0.00%,3.4621848739496,0,1682,406,80,0
git@github.com:sebastianbergmann/phpunit.git,1.3.1,3373,1932,147,0.00%,3.4621848739496,0,1682,406,80,0
git@github.com:sebastianbergmann/phpunit.git,1.3.2,3711,2270,147,0.00%,3.4621848739496,0,1682,406,80,0
git@github.com:sebastianbergmann/phpunit.git,1.3.3,3724,2275,151,0.00%,3.495867768595,0,1682,406,82,0
git@github.com:sebastianbergmann/phpunit.git,2.0.0,6509,3383,173,0.00%,2.34765625,0,1682,406,177,0
git@github.com:sebastianbergmann/phpunit.git,2.0.1,6483,3383,169,0.00%,2.31640625,0,1682,406,176,0
git@github.com:sebastianbergmann/phpunit.git,2.0.2,6402,3345,164,0.00%,2.3083003952569,0,1682,406,175,0
git@github.com:sebastianbergmann/phpunit.git,2.0.3,6402,3345,164,0.00%,2.3083003952569,0,1682,406,175,0
git@github.com:sebastianbergmann/phpunit.git,2.1.0,9075,4550,268,0.00%,2.567335243553,0,1682,406,249,0
git@github.com:sebastianbergmann/phpunit.git,2.1.1,9149,4590,269,0.00%,2.5439093484419,0,1682,406,249,0
git@github.com:sebastianbergmann/phpunit.git,2.1.2,9224,4624,277,0.00%,2.5352112676056,0,1682,406,249,0
git@github.com:sebastianbergmann/phpunit.git,2.1.3,9298,4641,285,0.00%,2.5505617977528,0,1682,406,253,0
git@github.com:sebastianbergmann/phpunit.git,2.1.4,9298,4641,285,0.00%,2.5505617977528,0,1682,406,253,0
git@github.com:sebastianbergmann/phpunit.git,2.1.5,9311,4641,285,0.00%,2.5533707865169,0,1682,406,253,0
git@github.com:sebastianbergmann/phpunit.git,2.1.6,9319,4641,287,0.00%,2.5589887640449,0,1682,406,255,0
git@github.com:sebastianbergmann/phpunit.git,2.2.0,10180,4996,339,0.00%,2.7333333333333,0,1682,406,288,0
git@github.com:sebastianbergmann/phpunit.git,2.2.1,10219,4990,339,0.00%,2.7589743589744,0,1682,406,289,0
git@github.com:sebastianbergmann/phpunit.git,2.3.0,11397,5634,398,0.00%,2.7266949152542,0,1682,406,366,0
git@github.com:sebastianbergmann/phpunit.git,2.3.1,11397,5634,398,0.00%,2.728813559322,0,1682,406,366,0
git@github.com:sebastianbergmann/phpunit.git,2.3.2,11397,5634,398,0.00%,2.728813559322,0,1682,406,366,0
git@github.com:sebastianbergmann/phpunit.git,2.3.3,13738,7974,398,0.00%,2.728813559322,0,1682,406,366,0
git@github.com:sebastianbergmann/phpunit.git,2.3.4,13738,7974,398,0.00%,2.728813559322,0,1682,406,366,0
git@github.com:sebastianbergmann/phpunit.git,2.3.5,13738,7973,401,0.00%,2.7266949152542,0,1682,406,365,0
git@github.com:sebastianbergmann/phpunit.git,2.3.6,13741,7976,401,0.00%,2.7266949152542,0,1682,406,365,0
git@github.com:sebastianbergmann/phpunit.git,3.0.0,31879,16575,1120,0.20%,3.1300309597523,0,1682,406,910,2
git@github.com:sebastianbergmann/phpunit.git,3.0.1,31886,16588,1118,0.20%,3.1443298969072,0,1682,406,907,2
git@github.com:sebastianbergmann/phpunit.git,3.0.2,31817,16564,1116,0.20%,3.1443298969072,0,1682,406,907,0
git@github.com:sebastianbergmann/phpunit.git,3.0.3,31822,16563,1119,0.20%,3.1474226804124,0,1682,406,908,0
git@github.com:sebastianbergmann/phpunit.git,3.0.4,31847,16563,1117,0.20%,3.1405128205128,0,1682,406,912,0
git@github.com:sebastianbergmann/phpunit.git,3.0.5,31846,16562,1117,0.20%,3.1405128205128,0,1682,406,912,0
git@github.com:sebastianbergmann/phpunit.git,3.0.6,31841,16562,1116,0.20%,3.1384615384615,0,1682,406,909,0
git@github.com:sebastianbergmann/phpunit.git,3.1.0,32845,16154,1414,0.20%,3.3646138807429,0,1682,406,1006,0
git@github.com:sebastianbergmann/phpunit.git,3.1.1,32880,16154,1420,0.20%,3.3720703125,0,1682,406,1009,0
git@github.com:sebastianbergmann/phpunit.git,3.1.2,32871,16033,1420,0.20%,3.4170708050436,0,1682,406,1015,0
git@github.com:sebastianbergmann/phpunit.git,3.1.3,32841,16033,1409,0.20%,3.4161008729389,0,1682,406,1015,0
git@github.com:sebastianbergmann/phpunit.git,3.1.4,34177,16556,1493,0.19%,3.586011342155,0,1682,406,1047,0
git@github.com:sebastianbergmann/phpunit.git,3.1.5,34306,16604,1499,0.19%,3.6544600938967,0,1682,406,1052,0
git@github.com:sebastianbergmann/phpunit.git,3.1.6,34310,16602,1500,0.19%,3.6507042253521,0,1682,406,1052,0
git@github.com:sebastianbergmann/phpunit.git,3.1.7,34337,16602,1505,0.19%,3.6610328638498,0,1682,406,1054,0
git@github.com:sebastianbergmann/phpunit.git,3.1.8,34446,16625,1514,0.19%,3.6710402999063,0,1682,406,1061,0
git@github.com:sebastianbergmann/phpunit.git,3.1.9,34448,16625,1514,0.19%,3.6719775070291,0,1682,406,1061,0
git@github.com:sebastianbergmann/phpunit.git,3.2.0,47759,23156,2114,0.13%,3.8855123674912,0,1682,406,1385,0
git@github.com:sebastianbergmann/phpunit.git,3.2.1,47980,23228,2139,0.13%,3.899366643209,0,1682,406,1396,0
git@github.com:sebastianbergmann/phpunit.git,3.2.2,48027,23236,2145,0.13%,3.9008438818565,0,1682,406,1400,0
git@github.com:sebastianbergmann/phpunit.git,3.2.3,49370,23734,2177,0.13%,3.9207650273224,0,1682,406,1431,0
git@github.com:sebastianbergmann/phpunit.git,3.2.4,49379,23734,2181,0.13%,3.9214480874317,0,1682,406,1433,0
git@github.com:sebastianbergmann/phpunit.git,3.2.5,49398,23735,2184,0.13%,3.9234972677596,0,1682,406,1434,0
git@github.com:sebastianbergmann/phpunit.git,3.2.6,49520,23772,2215,0.13%,3.9535519125683,0,1682,406,1440,0
git@github.com:sebastianbergmann/phpunit.git,3.2.7,49724,23857,2227,0.12%,3.9665529010239,0,1682,406,1457,0
git@github.com:sebastianbergmann/phpunit.git,3.2.8,49759,23869,2230,0.12%,3.9693042291951,0,1682,406,1461,0
git@github.com:sebastianbergmann/phpunit.git,3.2.9,50206,24075,2262,0.12%,3.9823967501693,0,1682,406,1476,0
git@github.com:sebastianbergmann/phpunit.git,3.2.10,50414,24207,2278,0.12%,3.9830737982397,0,1682,406,1477,0
git@github.com:sebastianbergmann/phpunit.git,3.2.11,50418,24207,2279,0.12%,3.9844278943805,0,1682,406,1478,0
git@github.com:sebastianbergmann/phpunit.git,3.2.12,50728,24296,2305,0.12%,4.0067476383266,0,1682,406,1490,0
git@github.com:sebastianbergmann/phpunit.git,3.2.13,50735,24301,2306,0.12%,4.0067476383266,0,1682,406,1490,0
git@github.com:sebastianbergmann/phpunit.git,3.2.14,51448,24386,2350,0.12%,4.0337524818001,0,1682,406,1553,0
git@github.com:sebastianbergmann/phpunit.git,3.2.15,51500,24412,2352,0.12%,4.0317250495704,0,1682,406,1556,0
git@github.com:sebastianbergmann/phpunit.git,3.2.16,51482,24406,2353,0.12%,4.0330687830688,0,1682,406,1556,0
git@github.com:sebastianbergmann/phpunit.git,3.2.17,51473,24406,2352,0.12%,4.0310846560847,0,1682,406,1555,0
git@github.com:sebastianbergmann/phpunit.git,3.2.18,51504,24403,2353,0.12%,4.0535714285714,0,1682,406,1570,0
git@github.com:sebastianbergmann/phpunit.git,3.2.19,51664,24463,2363,0.12%,4.0395256916996,0,1682,406,1576,0
git@github.com:sebastianbergmann/phpunit.git,3.2.20,51690,24476,2367,0.12%,4.0401579986833,0,1682,406,1578,0
git@github.com:sebastianbergmann/phpunit.git,3.2.21,50658,23419,2371,0.12%,4.0460526315789,0,1682,406,1583,0
git@github.com:sebastianbergmann/phpunit.git,3.3.0,61865,27475,2923,0.65%,4.080802882141,0,1682,406,1993,0
git@github.com:sebastianbergmann/phpunit.git,3.3.1,61867,27475,2925,0.65%,4.080802882141,0,1682,406,1995,0
git@github.com:sebastianbergmann/phpunit.git,3.3.2,62050,27499,2951,0.65%,4.0903027193433,0,1682,406,2010,0
git@github.com:sebastianbergmann/phpunit.git,3.3.3,62094,27515,2954,0.65%,4.0891850333162,0,1682,406,2016,0
git@github.com:sebastianbergmann/phpunit.git,3.3.4,62150,27528,2973,0.65%,4.0998975409836,0,1682,406,2031,0
git@github.com:sebastianbergmann/phpunit.git,3.3.5,62181,27529,2978,0.65%,4.1034836065574,0,1682,406,2032,0
git@github.com:sebastianbergmann/phpunit.git,3.3.6,62323,27592,2983,0.65%,4.1125319693095,0,1682,406,2031,0
git@github.com:sebastianbergmann/phpunit.git,3.3.7,60286,25725,2983,0.67%,4.108329075115,0,1682,406,2031,0
git@github.com:sebastianbergmann/phpunit.git,3.3.8,60285,25725,2983,0.67%,4.1078180889116,0,1682,406,2031,0
git@github.com:sebastianbergmann/phpunit.git,3.3.9,60336,25735,2990,0.67%,4.1129279509453,0,1682,406,2033,0
git@github.com:sebastianbergmann/phpunit.git,3.3.10,60340,25735,2991,0.67%,4.1134389371487,0,1682,406,2033,0
git@github.com:sebastianbergmann/phpunit.git,3.3.11,60897,25770,2990,0.66%,4.2232862903226,0,1682,406,2042,0
git@github.com:sebastianbergmann/phpunit.git,3.3.12,60896,25770,2990,0.66%,4.2227822580645,0,1682,406,2042,0
git@github.com:sebastianbergmann/phpunit.git,3.3.13,60898,25770,2990,0.66%,4.2227822580645,0,1682,406,2042,0
git@github.com:sebastianbergmann/phpunit.git,3.3.14,60916,25770,2995,0.66%,4.2283266129032,0,1682,406,2042,0
git@github.com:sebastianbergmann/phpunit.git,3.3.15,61061,25806,3001,0.66%,4.2275238573581,0,1682,406,2093,0
git@github.com:sebastianbergmann/phpunit.git,3.3.16,61080,25809,3003,0.66%,4.2295328980412,0,1682,406,2095,0
git@github.com:sebastianbergmann/phpunit.git,3.3.17,61100,25809,3007,0.66%,4.2305374183827,0,1682,406,2095,0
git@github.com:sebastianbergmann/phpunit.git,3.4.0,71159,30643,3377,0.64%,4.3105617977528,0,1682,406,2421,0
git@github.com:sebastianbergmann/phpunit.git,3.4.1,71160,30632,3378,0.64%,4.3137078651685,0,1682,406,2418,0
git@github.com:sebastianbergmann/phpunit.git,3.4.2,71269,30637,3404,0.64%,4.3216531895777,0,1682,406,2427,0
git@github.com:sebastianbergmann/phpunit.git,3.4.3,71347,30640,3427,0.64%,4.3221175414984,0,1682,406,2430,0
git@github.com:sebastianbergmann/phpunit.git,3.4.4,71385,30649,3430,0.64%,4.3252579632122,0,1682,406,2430,0
git@github.com:sebastianbergmann/phpunit.git,3.4.5,71385,30649,3430,0.64%,4.3252579632122,0,1682,406,2430,0
git@github.com:sebastianbergmann/phpunit.git,3.4.6,71251,30396,3442,0.64%,4.3182834152883,0,1682,406,2432,0
git@github.com:sebastianbergmann/phpunit.git,3.4.7,71221,30394,3438,0.64%,4.3152951699463,0,1682,406,2431,0
git@github.com:sebastianbergmann/phpunit.git,3.4.8,71226,30394,3440,0.64%,4.3152951699463,0,1682,406,2431,0
git@github.com:sebastianbergmann/phpunit.git,3.4.9,71226,30394,3440,0.64%,4.3152951699463,0,1682,406,2431,0
git@github.com:sebastianbergmann/phpunit.git,3.4.10,71314,30404,3445,0.64%,4.3185880250223,0,1682,406,2434,0
git@github.com:sebastianbergmann/phpunit.git,3.4.11,71298,30401,3444,0.64%,4.3159070598749,0,1682,406,2434,0
git@github.com:sebastianbergmann/phpunit.git,3.4.12,71341,30407,3449,0.64%,4.3145917001339,0,1682,406,2438,0
git@github.com:sebastianbergmann/phpunit.git,3.4.13,71403,30407,3452,0.73%,4.2987128273413,0,1682,406,2441,0
git@github.com:sebastianbergmann/phpunit.git,3.4.14,71078,30405,3458,0.73%,4.3009320905459,0,1682,406,2441,0
git@github.com:sebastianbergmann/phpunit.git,3.4.15,71099,30405,3461,0.73%,4.3035952063915,0,1682,406,2441,0
git@github.com:sebastianbergmann/phpunit.git,3.5.0,40670,16342,2079,0.05%,3.963347164592,0,1682,406,1691,0
git@github.com:sebastianbergmann/phpunit.git,3.5.1,40678,16342,2079,0.05%,3.9612992398065,0,1682,406,1692,0
git@github.com:sebastianbergmann/phpunit.git,3.5.2,40712,16351,2085,0.05%,3.9633977900552,0,1682,406,1697,0
git@github.com:sebastianbergmann/phpunit.git,3.5.3,40764,16357,2091,0.05%,3.9689440993789,0,1682,406,1700,0
git@github.com:sebastianbergmann/phpunit.git,3.5.4,40965,16466,2101,0.05%,3.9704264099037,0,1682,406,1703,0
git@github.com:sebastianbergmann/phpunit.git,3.5.5,40965,16466,2101,0.05%,3.9704264099037,0,1682,406,1703,0
git@github.com:sebastianbergmann/phpunit.git,3.5.6,39929,16135,2063,0.00%,4.063226744186,0,1682,406,1633,0
git@github.com:sebastianbergmann/phpunit.git,3.5.7,40250,16348,2078,0.00%,4.0301941049605,0,1682,406,1635,0
git@github.com:sebastianbergmann/phpunit.git,3.5.8,40253,16348,2079,0.00%,4.0309130122214,0,1682,406,1635,0
git@github.com:sebastianbergmann/phpunit.git,3.5.9,40218,16348,2072,0.00%,4.0237239396118,0,1682,406,1634,0
git@github.com:sebastianbergmann/phpunit.git,3.5.10,40244,16354,2075,0.00%,4.0265995686556,0,1682,406,1635,0
git@github.com:sebastianbergmann/phpunit.git,3.5.11,40200,16323,2077,0.00%,4.0258620689655,0,1682,406,1636,0
git@github.com:sebastianbergmann/phpunit.git,3.5.12,40383,16454,2079,0.00%,4.017179670723,0,1682,406,1637,0
git@github.com:sebastianbergmann/phpunit.git,3.5.13,40385,16454,2079,0.00%,4.017179670723,0,1682,406,1637,0
git@github.com:sebastianbergmann/phpunit.git,3.5.14,40401,16462,2082,0.00%,4.0157367668097,0,1682,406,1637,0
git@github.com:sebastianbergmann/phpunit.git,3.5.15,40399,16462,2082,0.00%,4.016452074392,0,1682,406,1637,0
git@github.com:sebastianbergmann/phpunit.git,3.6.0,39830,16623,2047,0.00%,3.9544419134396,0,1682,406,1449,0
git@github.com:sebastianbergmann/phpunit.git,3.6.1,39935,16703,2056,0.00%,3.9514783927218,0,1682,406,1449,0
git@github.com:sebastianbergmann/phpunit.git,3.6.2,39936,16703,2057,0.00%,3.9522365428355,0,1682,406,1449,0
git@github.com:sebastianbergmann/phpunit.git,3.6.3,39954,16704,2062,0.00%,3.9567854435178,0,1682,406,1452,0
git@github.com:sebastianbergmann/phpunit.git,3.6.4,40081,16729,2064,0.00%,3.9368421052632,0,1682,406,1454,0
git@github.com:sebastianbergmann/phpunit.git,3.6.5,40198,16753,2069,0.00%,3.9208955223881,0,1682,406,1454,0
git@github.com:sebastianbergmann/phpunit.git,3.6.6,40607,16991,2075,0.00%,3.8894620486367,0,1682,406,1454,0
git@github.com:sebastianbergmann/phpunit.git,3.6.7,40612,16991,2075,0.00%,3.8894620486367,0,1682,406,1454,0
git@github.com:sebastianbergmann/phpunit.git,3.6.8,40654,16991,2076,0.00%,3.8894620486367,0,1682,406,1454,0
git@github.com:sebastianbergmann/phpunit.git,3.6.9,40658,16992,2077,0.00%,3.8901989683125,0,1682,406,1454,0
git@github.com:sebastianbergmann/phpunit.git,3.6.10,40652,16994,2076,0.00%,3.8894620486367,0,1682,406,1452,0
git@github.com:sebastianbergmann/phpunit.git,3.6.11,40871,17048,2087,0.00%,3.8875091307524,0,1682,406,1460,0
