repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:sensiolabs/SensioFrameworkExtraBundle.git,v2.0.17,1534,595,66,0.00%,2.5846153846154,0,224,139,134,0
git@github.com:sensiolabs/SensioFrameworkExtraBundle.git,v2.0.18,1534,595,66,0.00%,2.5846153846154,0,224,139,134,0
git@github.com:sensiolabs/SensioFrameworkExtraBundle.git,v2.0.19,1534,595,66,0.00%,2.5846153846154,0,224,139,134,0
git@github.com:sensiolabs/SensioFrameworkExtraBundle.git,v2.0.20,1534,595,66,0.00%,2.5846153846154,0,224,139,134,0
git@github.com:sensiolabs/SensioFrameworkExtraBundle.git,v2.0.22,1535,596,67,0.00%,2.5846153846154,0,224,139,134,0
git@github.com:sensiolabs/SensioFrameworkExtraBundle.git,v2.0.23,1535,596,67,0.00%,2.5846153846154,0,224,139,134,0
git@github.com:sensiolabs/SensioFrameworkExtraBundle.git,v2.1.0,2509,715,109,0.00%,3.4137931034483,0,224,139,255,0
git@github.com:sensiolabs/SensioFrameworkExtraBundle.git,v2.1.3,2698,718,113,0.63%,3.5934959349593,0,224,139,309,0
git@github.com:sensiolabs/SensioFrameworkExtraBundle.git,v2.1.4,2698,718,113,0.63%,3.5934959349593,0,224,139,309,0
git@github.com:sensiolabs/SensioFrameworkExtraBundle.git,v2.1.5,2698,718,113,0.63%,3.5934959349593,0,224,139,309,0
git@github.com:sensiolabs/SensioFrameworkExtraBundle.git,v2.1.7,2698,718,113,0.63%,3.5934959349593,0,224,139,309,0
git@github.com:sensiolabs/SensioFrameworkExtraBundle.git,v2.1.8,2710,721,113,0.63%,3.5725806451613,0,224,139,310,0
git@github.com:sensiolabs/SensioFrameworkExtraBundle.git,v2.1.9,2710,721,113,0.63%,3.5725806451613,0,224,139,310,0
