repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:silexphp/Silex.git,v1.0.0,8439,1911,237,0.00%,3.1014492753623,0,754,290,379,0
git@github.com:silexphp/Silex.git,v1.0.1,8456,1909,237,0.00%,3.1014492753623,0,754,290,379,0
git@github.com:silexphp/Silex.git,v1.0.2,8456,1909,237,0.00%,3.1009615384615,0,754,290,379,0
git@github.com:silexphp/Silex.git,v1.1.0,8427,1893,229,0.00%,3.1024390243902,0,754,290,371,0
git@github.com:silexphp/Silex.git,v1.1.1,8667,1956,233,0.00%,3.1032863849765,0,754,290,377,0
git@github.com:silexphp/Silex.git,v1.1.2,8712,1957,234,0.00%,3.1401869158879,0,754,290,384,0
git@github.com:silexphp/Silex.git,v1.2.0,9540,2137,245,0.00%,3.0232558139535,0,754,290,424,0
git@github.com:silexphp/Silex.git,v1.2.1,9561,2137,245,0.00%,3.0269230769231,0,754,290,425,0
git@github.com:silexphp/Silex.git,v1.2.2,9656,2140,246,0.00%,3.0229885057471,0,754,290,430,0
git@github.com:silexphp/Silex.git,v1.2.3,9790,2138,253,0.00%,3.0190839694656,0,754,290,443,0
git@github.com:silexphp/Silex.git,v1.2.4,9828,2151,255,0.00%,3.011320754717,0,754,290,444,0
git@github.com:silexphp/Silex.git,v1.2.5,9853,2149,254,0.00%,3.0112781954887,0,754,290,446,0
git@github.com:silexphp/Silex.git,v1.3.0,10209,2216,277,0.00%,2.963768115942,0,754,290,462,0
git@github.com:silexphp/Silex.git,v1.3.1,10293,2206,282,0.00%,2.9602888086643,0,754,290,464,0
git@github.com:silexphp/Silex.git,v1.3.2,10302,2206,282,0.00%,3.010752688172,0,754,290,465,0
git@github.com:silexphp/Silex.git,v1.3.3,10328,2208,297,0.00%,3.0322580645161,0,754,290,468,0
git@github.com:silexphp/Silex.git,v1.3.4,10355,2211,301,0.00%,3.0285714285714,0,754,290,470,0
git@github.com:silexphp/Silex.git,v1.3.5,10363,2211,303,0.00%,3.0321428571429,0,754,290,470,0
git@github.com:silexphp/Silex.git,v1.3.6,10376,2211,303,0.00%,3.0212765957447,0,754,290,471,0
git@github.com:silexphp/Silex.git,v2.0.0,11303,2272,333,0.00%,3.1245791245791,0,754,290,458,0
git@github.com:silexphp/Silex.git,v2.0.1,11338,2272,332,0.00%,3.1103678929766,0,754,290,459,0
git@github.com:silexphp/Silex.git,v2.0.2,11442,2296,338,0.00%,3.0822368421053,0,754,290,461,0
git@github.com:silexphp/Silex.git,v2.0.3,11481,2307,338,0.00%,3.0849673202614,0,754,290,462,0
git@github.com:silexphp/Silex.git,v2.0.4,11571,2323,341,0.00%,3.0645161290323,0,754,290,465,0
git@github.com:silexphp/Silex.git,v2.1.0,11776,2323,350,0.00%,3.0926517571885,0,754,290,480,0
git@github.com:silexphp/Silex.git,v2.2.0,11868,2323,358,0.00%,3.1044303797468,0,754,290,480,0
git@github.com:silexphp/Silex.git,v2.2.1,11891,2326,363,0.00%,3.1044303797468,0,754,290,481,0
git@github.com:silexphp/Silex.git,v2.2.2,11909,2326,363,0.00%,3.1075949367089,0,754,290,485,0
git@github.com:silexphp/Silex.git,v2.2.3,11946,2323,370,0.00%,3.1104100946372,0,754,290,489,0
git@github.com:silexphp/Silex.git,v2.2.4,11945,2324,370,0.00%,3.1104100946372,0,754,290,489,0
git@github.com:silexphp/Silex.git,v2.3.0,11751,2269,344,0.00%,3.1309904153355,0,754,290,482,0
