repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:slimkit/plus.git,v1.1.0,38418,9924,938,0.09%,2.8360995850622,0,389,615,2733,43
git@github.com:slimkit/plus.git,v1.6.0,63035,22365,1268,0.58%,3.0462471569371,0,389,615,3870,59
git@github.com:slimkit/plus.git,v1.7.0,68042,24164,1271,1.02%,3.0770791075051,0,389,615,3981,36
git@github.com:slimkit/plus.git,v1.7.1,68112,24185,1279,1.02%,3.0796758946658,0,389,615,3982,36
git@github.com:slimkit/plus.git,v1.7.2,68112,24185,1280,1.02%,3.0796758946658,0,389,615,3982,36
git@github.com:slimkit/plus.git,v1.7.3,68181,24243,1268,1.02%,3.0714285714286,0,389,615,3982,36
git@github.com:slimkit/plus.git,v1.7.4,68181,24243,1268,1.02%,3.0714285714286,0,389,615,3982,36
git@github.com:slimkit/plus.git,v1.7.5,68271,24294,1279,1.02%,3.0741239892183,0,389,615,3989,36
git@github.com:slimkit/plus.git,v1.7.6,68329,24312,1279,1.01%,3.0734501347709,0,389,615,3989,36
git@github.com:slimkit/plus.git,1.7.7,68359,24326,1278,1.01%,3.0706594885599,0,389,615,3989,36
git@github.com:slimkit/plus.git,v1.8.0,68909,25355,1440,1.54%,3.2924348378894,0,389,615,4313,38
git@github.com:slimkit/plus.git,v1.8.1,69547,25372,1441,1.52%,3.2946031746032,0,389,615,4322,38
git@github.com:slimkit/plus.git,v1.8.2,69519,25346,1441,1.52%,3.2946031746032,0,389,615,4322,38
git@github.com:slimkit/plus.git,v1.8.3,69519,25346,1441,1.52%,3.2946031746032,0,389,615,4322,38
git@github.com:slimkit/plus.git,v1.8.4,69532,25346,1443,1.52%,3.2971428571429,0,389,615,4325,38
git@github.com:slimkit/plus.git,1.8.5,69425,25338,1445,1.53%,3.2971428571429,0,389,615,4329,37
git@github.com:slimkit/plus.git,1.8.6,69455,25352,1444,1.52%,3.2942295497781,0,389,615,4329,37
git@github.com:slimkit/plus.git,v1.9.0,72182,26395,1514,1.46%,3.2360172095882,0,389,615,4540,38
git@github.com:slimkit/plus.git,v1.9.1,72206,26395,1515,1.46%,3.2375690607735,0,389,615,4541,38
git@github.com:slimkit/plus.git,v1.9.2,72226,26398,1515,1.46%,3.2375690607735,0,389,615,4544,38
git@github.com:slimkit/plus.git,1.9.3,72242,26398,1517,1.46%,3.2400245549417,0,389,615,4550,38
git@github.com:slimkit/plus.git,1.9.4,72134,26389,1519,1.46%,3.2400245549417,0,389,615,4554,37
git@github.com:slimkit/plus.git,1.9.5,72164,26403,1518,1.46%,3.2372777437155,0,389,615,4554,37
git@github.com:slimkit/plus.git,2.0.0,76606,28354,1593,1.37%,3.1410764872521,0,389,615,4653,37
git@github.com:slimkit/plus.git,2.0.1,76609,28354,1594,1.37%,3.1416430594901,0,389,615,4654,37
git@github.com:slimkit/plus.git,2.0.2,76764,28423,1599,1.37%,3.140350877193,0,389,615,4671,37
git@github.com:slimkit/plus.git,2.0.3,76388,28278,1588,1.38%,3.13125,0,389,615,4668,37
git@github.com:slimkit/plus.git,2.0.4,76399,28282,1590,1.38%,3.130039750142,0,389,615,4668,37
git@github.com:slimkit/plus.git,2.0.5,76392,28282,1590,1.38%,3.130039750142,0,389,615,4664,37
git@github.com:slimkit/plus.git,2.0.6,76390,28282,1586,1.38%,3.1277683134583,0,389,615,4664,37
git@github.com:slimkit/plus.git,2.0.7,76400,28280,1591,1.38%,3.1277683134583,0,389,615,4664,37
git@github.com:slimkit/plus.git,2.0.8,74786,27744,1595,1.09%,3.1365767878077,0,389,615,4622,37
git@github.com:slimkit/plus.git,2.1.0,76546,28320,1592,1.34%,3.1267685342388,0,389,615,4669,37
git@github.com:slimkit/plus.git,2.1.1,76544,28320,1588,1.34%,3.1245048104131,0,389,615,4669,37
git@github.com:slimkit/plus.git,2.1.2,76554,28318,1593,1.34%,3.1245048104131,0,389,615,4669,37
git@github.com:slimkit/plus.git,2.1.3,75193,27852,1597,1.09%,3.1331395348837,0,389,615,4632,37
git@github.com:slimkit/plus.git,2.1.4,75201,27852,1597,1.09%,3.1337209302326,0,389,615,4638,37
git@github.com:slimkit/plus.git,2.2.0,90717,29650,1869,1.14%,3.3960129310345,0,389,615,4938,135
git@github.com:slimkit/plus.git,2.2.1,90734,29650,1866,1.14%,3.3965517241379,0,389,615,4942,135
