repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:sonata-project/SonataAdminBundle.git,2.0.0,16765,5924,578,0.34%,2.905,0,1186,712,938,1
git@github.com:sonata-project/SonataAdminBundle.git,2.1.0,17279,6114,602,0.37%,3.0431472081218,0,1186,712,1063,0
git@github.com:sonata-project/SonataAdminBundle.git,2.1.1,17281,6114,603,0.37%,3.0457433290978,0,1186,712,1063,0
git@github.com:sonata-project/SonataAdminBundle.git,2.2.0,17410,6154,605,0.37%,3.0643127364439,0,1186,712,1091,0
git@github.com:sonata-project/SonataAdminBundle.git,2.2.1,17410,6154,605,0.37%,3.0643127364439,0,1186,712,1091,0
git@github.com:sonata-project/SonataAdminBundle.git,2.2.2,17417,6154,605,0.37%,3.0655737704918,0,1186,712,1092,0
git@github.com:sonata-project/SonataAdminBundle.git,2.2.3,19228,6556,679,0.33%,3.2183507549361,0,1186,712,1361,0
git@github.com:sonata-project/SonataAdminBundle.git,2.2.4,26066,7697,858,1.15%,3.5867256637168,0,1186,712,1933,0
git@github.com:sonata-project/SonataAdminBundle.git,2.2.5,26067,7699,858,1.15%,3.5867256637168,0,1186,712,1933,0
git@github.com:sonata-project/SonataAdminBundle.git,2.2.6,29112,8113,924,2.02%,3.6682692307692,0,1186,712,2505,0
git@github.com:sonata-project/SonataAdminBundle.git,2.2.7,29397,8136,929,2.07%,3.683958499601,0,1186,712,2548,0
git@github.com:sonata-project/SonataAdminBundle.git,2.2.8,31478,8282,956,2.89%,3.8682855040471,0,1186,712,2882,0
git@github.com:sonata-project/SonataAdminBundle.git,2.2.9,30486,7995,928,2.99%,3.912910618793,0,1186,712,2866,0
git@github.com:sonata-project/SonataAdminBundle.git,2.2.10,31392,8155,967,2.87%,3.9561011904762,0,1186,712,2966,0
git@github.com:sonata-project/SonataAdminBundle.git,2.2.11,31392,8155,967,2.87%,3.9561011904762,0,1186,712,2966,0
git@github.com:sonata-project/SonataAdminBundle.git,2.2.12,31436,8167,968,2.87%,3.9628252788104,0,1186,712,2977,0
git@github.com:sonata-project/SonataAdminBundle.git,2.2.13,31458,8177,968,2.87%,3.9613956941351,0,1186,712,2977,0
git@github.com:sonata-project/SonataAdminBundle.git,2.3.0,34367,8606,1066,2.96%,4.1231630510847,0,1186,712,3489,0
git@github.com:sonata-project/SonataAdminBundle.git,2.3.1,35246,8706,1101,3.17%,4.1338854382333,0,1186,712,3636,0
git@github.com:sonata-project/SonataAdminBundle.git,2.3.2,35229,8690,1101,3.17%,4.1338854382333,0,1186,712,3636,0
git@github.com:sonata-project/SonataAdminBundle.git,2.3.3,35236,8690,1103,3.17%,4.1338854382333,0,1186,712,3636,0
git@github.com:sonata-project/SonataAdminBundle.git,2.3.4,35055,8530,1111,3.29%,4.1365517241379,0,1186,712,3730,0
git@github.com:sonata-project/SonataAdminBundle.git,2.3.5,35045,8527,1111,3.29%,4.1387163561077,0,1186,712,3730,0
git@github.com:sonata-project/SonataAdminBundle.git,2.3.6,35043,8527,1111,3.30%,4.1387163561077,0,1186,712,3730,0
git@github.com:sonata-project/SonataAdminBundle.git,2.3.7,35049,8527,1113,3.30%,4.1407867494824,0,1186,712,3730,0
git@github.com:sonata-project/SonataAdminBundle.git,2.3.8,35236,8594,1122,3.31%,4.150722642808,0,1186,712,3745,0
git@github.com:sonata-project/SonataAdminBundle.git,2.3.9,35237,8596,1122,3.31%,4.1500344115623,0,1186,712,3745,0
git@github.com:sonata-project/SonataAdminBundle.git,2.3.10,35235,8596,1122,3.31%,4.1493461803166,0,1186,712,3745,0
git@github.com:sonata-project/SonataAdminBundle.git,3.0.0,45770,11148,1489,3.20%,4.2993197278912,0,1186,712,4815,0
git@github.com:sonata-project/SonataAdminBundle.git,3.1.0,45996,11206,1489,3.17%,4.2794366197183,0,1186,712,4842,0
git@github.com:sonata-project/SonataAdminBundle.git,3.2.0,47199,11474,1510,3.08%,4.3318608503589,0,1186,712,5017,0
git@github.com:sonata-project/SonataAdminBundle.git,3.3.0,47215,11477,1510,3.08%,4.332229580574,0,1186,712,5022,0
git@github.com:sonata-project/SonataAdminBundle.git,3.3.1,47209,11477,1511,3.08%,4.332229580574,0,1186,712,5005,0
git@github.com:sonata-project/SonataAdminBundle.git,3.3.2,47209,11477,1510,3.08%,4.332229580574,0,1186,712,5005,0
git@github.com:sonata-project/SonataAdminBundle.git,3.4.0,47285,11515,1511,3.07%,4.3360927152318,0,1186,712,5016,0
git@github.com:sonata-project/SonataAdminBundle.git,3.5.0,48056,11613,1560,3.28%,4.3571428571429,0,1186,712,5145,0
git@github.com:sonata-project/SonataAdminBundle.git,3.6.0,48338,11665,1571,3.26%,4.3585008147746,0,1186,712,5167,0
git@github.com:sonata-project/SonataAdminBundle.git,3.7.0,48370,11684,1580,3.27%,4.3665035345296,0,1186,712,5170,0
git@github.com:sonata-project/SonataAdminBundle.git,3.7.1,48372,11684,1581,3.27%,4.3665035345296,0,1186,712,5170,0
git@github.com:sonata-project/SonataAdminBundle.git,3.8.0,48296,11684,1581,3.28%,4.3637846655791,0,1186,712,5197,0
git@github.com:sonata-project/SonataAdminBundle.git,3.9.0,48404,11732,1587,3.27%,4.3663043478261,0,1186,712,5198,0
git@github.com:sonata-project/SonataAdminBundle.git,3.10.0,49126,11815,1602,3.21%,4.3832528180354,0,1186,712,5297,0
git@github.com:sonata-project/SonataAdminBundle.git,3.10.1,49198,11823,1608,3.23%,4.3855227882038,0,1186,712,5310,0
git@github.com:sonata-project/SonataAdminBundle.git,3.10.2,49199,11824,1608,3.23%,4.3855227882038,0,1186,712,5310,0
git@github.com:sonata-project/SonataAdminBundle.git,3.10.3,49207,11824,1611,3.23%,4.3871313672922,0,1186,712,5311,0
