repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:spatie/browsershot.git,0.1.0,266,58,11,0.00%,2.7142857142857,0,180,56,9,0
git@github.com:spatie/browsershot.git,0.1.1,266,58,11,0.00%,2.7142857142857,0,180,56,9,0
git@github.com:spatie/browsershot.git,0.1.2,266,58,11,0.00%,2.7142857142857,0,180,56,9,0
git@github.com:spatie/browsershot.git,0.1.3,270,60,11,0.00%,2.7857142857143,0,180,56,9,0
git@github.com:spatie/browsershot.git,1.0.0,270,60,11,0.00%,2.7857142857143,0,180,56,9,0
git@github.com:spatie/browsershot.git,1.1.0,271,60,11,0.00%,2.8571428571429,0,180,56,12,0
git@github.com:spatie/browsershot.git,1.2.0,283,65,12,0.00%,2.8,0,180,56,13,0
git@github.com:spatie/browsershot.git,1.2.1,286,65,13,0.00%,2.8,0,180,56,13,0
git@github.com:spatie/browsershot.git,1.2.2,286,65,13,0.00%,2.8,0,180,56,13,0
git@github.com:spatie/browsershot.git,1.2.3,286,65,13,0.00%,2.8,0,180,56,13,0
git@github.com:spatie/browsershot.git,1.2.4,286,65,13,0.00%,2.8,0,180,56,13,0
git@github.com:spatie/browsershot.git,1.3.0,338,96,16,0.00%,2.6111111111111,0,180,56,15,0
git@github.com:spatie/browsershot.git,1.4.0,361,101,17,0.00%,2.6842105263158,0,180,56,17,0
git@github.com:spatie/browsershot.git,1.5.0,397,113,19,0.00%,2.75,0,180,56,19,0
git@github.com:spatie/browsershot.git,1.5.1,398,113,19,0.00%,2.75,0,180,56,19,0
git@github.com:spatie/browsershot.git,1.5.2,388,113,19,0.00%,2.75,0,180,56,19,0
git@github.com:spatie/browsershot.git,1.5.3,388,113,19,0.00%,2.75,0,180,56,19,0
git@github.com:spatie/browsershot.git,1.5.4,371,96,19,0.00%,2.75,0,180,56,19,0
git@github.com:spatie/browsershot.git,1.6.0,371,96,19,0.00%,2.75,0,180,56,19,0
git@github.com:spatie/browsershot.git,1.7.0,387,101,20,0.00%,2.7619047619048,0,180,56,19,0
git@github.com:spatie/browsershot.git,1.8.0,409,108,21,0.00%,2.8181818181818,0,180,56,20,0
git@github.com:spatie/browsershot.git,1.9.0,413,108,23,0.00%,2.8636363636364,0,180,56,20,0
git@github.com:spatie/browsershot.git,1.9.1,413,108,23,0.00%,2.8636363636364,0,180,56,20,0
git@github.com:spatie/browsershot.git,2.0.0,724,111,39,0.00%,2.8723404255319,0,180,56,20,0
git@github.com:spatie/browsershot.git,2.0.1,725,112,39,0.00%,2.8723404255319,0,180,56,20,0
git@github.com:spatie/browsershot.git,2.0.2,410,15,16,0.00%,2.4242424242424,0,180,56,5,0
git@github.com:spatie/browsershot.git,2.0.3,410,15,16,0.00%,2.4242424242424,0,180,56,5,0
git@github.com:spatie/browsershot.git,2.1.0,460,16,20,0.00%,2.6111111111111,0,180,56,6,0
git@github.com:spatie/browsershot.git,2.2.0,523,17,23,0.00%,2.6046511627907,0,180,56,11,0
