repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:spatie/laravel-analytics.git,0.0.1,620,265,19,0.00%,2.5161290322581,0,279,38,4,0
git@github.com:spatie/laravel-analytics.git,1.0.0,557,218,18,0.00%,2.8148148148148,0,279,38,4,0
git@github.com:spatie/laravel-analytics.git,1.0.1,558,218,18,0.00%,2.8148148148148,0,279,38,4,0
git@github.com:spatie/laravel-analytics.git,1.0.2,558,218,18,0.00%,2.8148148148148,0,279,38,4,0
git@github.com:spatie/laravel-analytics.git,1.0.3,558,218,18,0.00%,2.8148148148148,0,279,38,4,0
git@github.com:spatie/laravel-analytics.git,1.0.4,568,227,18,0.00%,2.8148148148148,0,279,38,4,0
git@github.com:spatie/laravel-analytics.git,1.1.0,876,307,24,0.00%,3.3636363636364,0,279,38,25,0
git@github.com:spatie/laravel-analytics.git,1.1.1,877,307,24,0.00%,3.3636363636364,0,279,38,25,0
git@github.com:spatie/laravel-analytics.git,1.1.2,878,307,24,0.00%,3.3863636363636,0,279,38,25,0
git@github.com:spatie/laravel-analytics.git,1.1.3,878,307,24,0.00%,3.3863636363636,0,279,38,25,0
git@github.com:spatie/laravel-analytics.git,1.1.4,878,307,24,0.00%,3.3863636363636,0,279,38,25,0
git@github.com:spatie/laravel-analytics.git,1.1.5,880,307,24,0.00%,3.4090909090909,0,279,38,26,0
git@github.com:spatie/laravel-analytics.git,1.2.0,898,314,24,0.00%,3.4,0,279,38,27,0
git@github.com:spatie/laravel-analytics.git,1.2.1,897,314,24,0.00%,3.3777777777778,0,279,38,27,0
git@github.com:spatie/laravel-analytics.git,1.2.2,899,316,24,0.00%,3.3777777777778,0,279,38,27,0
git@github.com:spatie/laravel-analytics.git,1.2.3,907,316,24,0.00%,3.3777777777778,0,279,38,27,0
git@github.com:spatie/laravel-analytics.git,1.3.1,917,321,24,0.00%,3.3260869565217,0,279,38,27,0
git@github.com:spatie/laravel-analytics.git,1.4.0,924,321,24,0.00%,3.3260869565217,0,279,38,28,0
git@github.com:spatie/laravel-analytics.git,1.4.1,924,321,24,0.00%,3.3260869565217,0,279,38,28,0
git@github.com:spatie/laravel-analytics.git,2.0.0,734,100,5,0.00%,2.5882352941176,0,279,38,27,0
git@github.com:spatie/laravel-analytics.git,2.1.0,738,100,5,0.00%,2.6470588235294,0,279,38,27,0
git@github.com:spatie/laravel-analytics.git,2.2.0,745,103,5,0.00%,2.6764705882353,0,279,38,27,0
git@github.com:spatie/laravel-analytics.git,2.2.2,745,103,5,0.00%,2.6764705882353,0,279,38,27,0
git@github.com:spatie/laravel-analytics.git,2.3.0,788,104,5,0.00%,2.8,0,279,38,31,0
git@github.com:spatie/laravel-analytics.git,2.3.1,788,104,5,0.00%,2.8,0,279,38,31,0
git@github.com:spatie/laravel-analytics.git,2.4.0,788,104,5,0.00%,2.8,0,279,38,31,0
git@github.com:spatie/laravel-analytics.git,3.0.0,797,101,5,0.00%,2.8611111111111,0,279,38,32,0
git@github.com:spatie/laravel-analytics.git,3.0.1,799,101,5,0.00%,2.8611111111111,0,279,38,32,0
git@github.com:spatie/laravel-analytics.git,3.1.0,799,101,5,0.00%,2.8611111111111,0,279,38,32,0
git@github.com:spatie/laravel-analytics.git,3.2.0,817,101,5,0.00%,2.8611111111111,0,279,38,33,0
git@github.com:spatie/laravel-analytics.git,3.3.0,857,103,5,0.00%,2.925,0,279,38,37,0
git@github.com:spatie/laravel-analytics.git,3.4.0,860,103,5,0.00%,2.925,0,279,38,38,0
git@github.com:spatie/laravel-analytics.git,3.4.1,860,103,5,0.00%,2.925,0,279,38,38,0
git@github.com:spatie/laravel-analytics.git,3.5.0,927,107,6,0.00%,3.0454545454545,0,279,38,37,0
git@github.com:spatie/laravel-analytics.git,3.6.0,941,107,8,0.00%,3.0454545454545,0,279,38,38,0
git@github.com:spatie/laravel-analytics.git,3.6.1,947,107,10,0.00%,3.0454545454545,0,279,38,38,0
git@github.com:spatie/laravel-analytics.git,3.6.2,947,107,10,0.00%,3.0454545454545,0,279,38,38,0
