repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:spatie/laravel-backup.git,0.0.1,453,85,6,0.00%,2.1071428571429,0,356,105,6,0
git@github.com:spatie/laravel-backup.git,1.0.0,483,99,7,0.00%,2.1724137931034,0,356,105,6,0
git@github.com:spatie/laravel-backup.git,1.1.0,498,107,7,0.00%,2.4074074074074,0,356,105,7,0
git@github.com:spatie/laravel-backup.git,1.2.0,539,131,9,0.00%,2.3,0,356,105,6,0
git@github.com:spatie/laravel-backup.git,2.0.0,715,171,18,0.00%,2.6470588235294,0,356,105,10,0
git@github.com:spatie/laravel-backup.git,2.0.1,715,171,19,0.00%,2.6470588235294,0,356,105,10,0
git@github.com:spatie/laravel-backup.git,2.0.2,725,177,19,0.00%,2.7575757575758,0,356,105,11,0
git@github.com:spatie/laravel-backup.git,2.0.3,725,177,19,0.00%,2.7575757575758,0,356,105,11,0
git@github.com:spatie/laravel-backup.git,2.0.4,749,189,19,0.00%,2.7352941176471,0,356,105,11,0
git@github.com:spatie/laravel-backup.git,2.0.5,749,189,19,0.00%,2.7352941176471,0,356,105,11,0
git@github.com:spatie/laravel-backup.git,2.0.6,767,194,20,0.00%,2.7142857142857,0,356,105,12,0
git@github.com:spatie/laravel-backup.git,2.1.0,1112,254,27,0.00%,3.25,0,356,105,13,0
git@github.com:spatie/laravel-backup.git,2.1.1,1138,257,27,0.00%,3.3396226415094,0,356,105,13,0
git@github.com:spatie/laravel-backup.git,2.1.2,1138,257,27,0.00%,3.3396226415094,0,356,105,13,0
git@github.com:spatie/laravel-backup.git,2.2.0,1175,262,29,0.00%,3.3636363636364,0,356,105,16,0
git@github.com:spatie/laravel-backup.git,2.2.1,1175,262,29,0.00%,3.3636363636364,0,356,105,16,0
git@github.com:spatie/laravel-backup.git,2.3.0,1259,290,33,0.00%,3.3333333333333,0,356,105,17,0
git@github.com:spatie/laravel-backup.git,2.3.1,1259,290,33,0.00%,3.3333333333333,0,356,105,17,0
git@github.com:spatie/laravel-backup.git,2.3.2,1259,290,33,0.00%,3.3333333333333,0,356,105,17,0
git@github.com:spatie/laravel-backup.git,2.4.0,1273,308,34,0.00%,3.2950819672131,0,356,105,17,0
git@github.com:spatie/laravel-backup.git,2.4.1,1273,308,34,0.00%,3.2950819672131,0,356,105,17,0
git@github.com:spatie/laravel-backup.git,2.4.2,1275,308,34,0.00%,3.3114754098361,0,356,105,17,0
git@github.com:spatie/laravel-backup.git,2.5.0,1291,320,34,0.00%,3.3114754098361,0,356,105,17,0
git@github.com:spatie/laravel-backup.git,2.5.1,1291,320,34,0.00%,3.3114754098361,0,356,105,17,0
git@github.com:spatie/laravel-backup.git,2.6.0,1287,321,35,0.00%,3.327868852459,0,356,105,18,0
git@github.com:spatie/laravel-backup.git,2.7.0,1315,331,38,0.00%,3.2857142857143,0,356,105,17,0
git@github.com:spatie/laravel-backup.git,2.8.0,1318,331,38,0.00%,3.3015873015873,0,356,105,17,0
git@github.com:spatie/laravel-backup.git,2.8.1,1326,331,38,0.00%,3.3174603174603,0,356,105,17,0
git@github.com:spatie/laravel-backup.git,2.8.2,1363,339,40,0.00%,3.328125,0,356,105,17,0
git@github.com:spatie/laravel-backup.git,2.8.3,1363,339,40,0.00%,3.328125,0,356,105,17,0
git@github.com:spatie/laravel-backup.git,2.9.0,1579,386,49,0.00%,3.3150684931507,0,356,105,22,0
git@github.com:spatie/laravel-backup.git,2.9.1,1580,385,50,0.00%,3.3150684931507,0,356,105,22,0
git@github.com:spatie/laravel-backup.git,2.9.2,1580,385,50,0.00%,3.3150684931507,0,356,105,22,0
git@github.com:spatie/laravel-backup.git,2.10.0,1682,400,55,0.00%,3.3466666666667,0,356,105,26,0
git@github.com:spatie/laravel-backup.git,3.0.0,3438,697,57,0.00%,2.4096385542169,0,356,105,64,0
git@github.com:spatie/laravel-backup.git,3.0.1,3442,697,57,0.00%,2.4096385542169,0,356,105,64,0
git@github.com:spatie/laravel-backup.git,3.0.2,3445,697,57,0.00%,2.4156626506024,0,356,105,64,0
git@github.com:spatie/laravel-backup.git,3.0.3,3459,697,60,0.00%,2.4457831325301,0,356,105,65,0
git@github.com:spatie/laravel-backup.git,3.0.4,3459,697,60,0.00%,2.4457831325301,0,356,105,65,0
git@github.com:spatie/laravel-backup.git,3.0.5,3457,697,60,0.00%,2.4457831325301,0,356,105,65,0
git@github.com:spatie/laravel-backup.git,3.1.0,3679,741,66,0.00%,2.4722222222222,0,356,105,69,0
git@github.com:spatie/laravel-backup.git,3.1.1,3679,741,66,0.00%,2.4722222222222,0,356,105,69,0
git@github.com:spatie/laravel-backup.git,3.1.2,3679,741,66,0.00%,2.4722222222222,0,356,105,69,0
git@github.com:spatie/laravel-backup.git,3.1.3,3681,741,68,0.00%,2.4722222222222,0,356,105,69,0
git@github.com:spatie/laravel-backup.git,3.1.4,3683,741,70,0.00%,2.4722222222222,0,356,105,69,0
git@github.com:spatie/laravel-backup.git,3.2.0,3728,748,71,0.00%,2.467032967033,0,356,105,72,0
git@github.com:spatie/laravel-backup.git,3.2.1,3749,751,71,0.00%,2.467032967033,0,356,105,73,0
git@github.com:spatie/laravel-backup.git,3.2.2,3765,755,72,0.00%,2.4725274725275,0,356,105,74,0
git@github.com:spatie/laravel-backup.git,3.3.0,3785,762,72,0.00%,2.4699453551913,0,356,105,75,0
git@github.com:spatie/laravel-backup.git,3.3.1,3784,762,72,0.00%,2.4644808743169,0,356,105,74,0
git@github.com:spatie/laravel-backup.git,3.3.2,3802,763,72,0.00%,2.4619565217391,0,356,105,74,0
git@github.com:spatie/laravel-backup.git,3.3.3,3802,763,72,0.00%,2.4619565217391,0,356,105,74,0
git@github.com:spatie/laravel-backup.git,3.4.0,3809,763,74,0.00%,2.4619565217391,0,356,105,74,0
git@github.com:spatie/laravel-backup.git,3.4.1,3809,763,74,0.00%,2.4619565217391,0,356,105,74,0
git@github.com:spatie/laravel-backup.git,3.4.2,3815,763,75,0.00%,2.4619565217391,0,356,105,74,0
git@github.com:spatie/laravel-backup.git,3.4.3,3819,763,76,0.00%,2.4619565217391,0,356,105,74,0
git@github.com:spatie/laravel-backup.git,3.4.4,3819,763,76,0.00%,2.4619565217391,0,356,105,74,0
git@github.com:spatie/laravel-backup.git,3.5.0,3821,762,78,0.00%,2.4619565217391,0,356,105,74,0
git@github.com:spatie/laravel-backup.git,3.6.0,3863,774,79,0.00%,2.4677419354839,0,356,105,74,0
git@github.com:spatie/laravel-backup.git,3.6.1,3855,770,78,0.00%,2.4594594594595,0,356,105,74,0
git@github.com:spatie/laravel-backup.git,3.7.0,3882,781,79,0.00%,2.4569892473118,0,356,105,74,0
git@github.com:spatie/laravel-backup.git,3.7.1,3880,779,80,0.00%,2.4569892473118,0,356,105,74,0
git@github.com:spatie/laravel-backup.git,3.7.2,3871,779,78,0.00%,2.4516129032258,0,356,105,85,0
git@github.com:spatie/laravel-backup.git,3.8.0,3924,791,81,0.00%,2.4526315789474,0,356,105,85,0
git@github.com:spatie/laravel-backup.git,3.8.1,3916,787,84,0.00%,2.4870466321244,0,356,105,75,0
git@github.com:spatie/laravel-backup.git,3.8.2,3916,787,84,0.00%,2.4870466321244,0,356,105,75,0
git@github.com:spatie/laravel-backup.git,3.9.0,3971,799,84,0.00%,2.4923076923077,0,356,105,75,0
git@github.com:spatie/laravel-backup.git,3.10.0,4001,808,85,0.00%,2.497461928934,0,356,105,78,0
git@github.com:spatie/laravel-backup.git,3.10.1,4001,808,85,0.00%,2.502538071066,0,356,105,78,0
git@github.com:spatie/laravel-backup.git,3.10.2,3997,808,87,0.00%,2.5,0,356,105,76,0
git@github.com:spatie/laravel-backup.git,3.10.3,3996,808,87,0.00%,2.5,0,356,105,76,0
git@github.com:spatie/laravel-backup.git,3.11.0,3996,808,87,0.00%,2.5,0,356,105,76,0
git@github.com:spatie/laravel-backup.git,4.0.0,4214,371,95,0.00%,2.5560165975104,0,356,105,82,0
git@github.com:spatie/laravel-backup.git,4.0.1,4218,371,96,0.00%,2.5601659751037,0,356,105,82,0
