repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:spatie/laravel-permission.git,0.0.1,489,121,9,0.00%,2,0,720,102,5,0
git@github.com:spatie/laravel-permission.git,1.0.0,894,235,13,0.00%,2.8367346938776,0,720,102,6,0
git@github.com:spatie/laravel-permission.git,1.0.1,948,263,13,0.00%,2.8235294117647,0,720,102,7,0
git@github.com:spatie/laravel-permission.git,1.0.2,950,263,14,0.00%,2.8235294117647,0,720,102,7,0
git@github.com:spatie/laravel-permission.git,1.1.0,1199,301,18,0.00%,3.0952380952381,0,720,102,9,4
git@github.com:spatie/laravel-permission.git,1.2.0,1482,454,18,0.00%,3.0882352941176,0,720,102,10,4
git@github.com:spatie/laravel-permission.git,1.2.1,1482,454,18,0.00%,3.0882352941176,0,720,102,10,4
git@github.com:spatie/laravel-permission.git,1.3.0,1482,454,20,0.00%,3.0882352941176,0,720,102,10,4
git@github.com:spatie/laravel-permission.git,1.3.1,1488,456,21,0.00%,3.1029411764706,0,720,102,10,4
git@github.com:spatie/laravel-permission.git,1.3.2,1520,471,21,0.00%,3.0714285714286,0,720,102,11,4
git@github.com:spatie/laravel-permission.git,1.3.3,1520,471,21,0.00%,3.0714285714286,0,720,102,11,4
git@github.com:spatie/laravel-permission.git,1.3.4,1540,471,24,0.00%,3.1714285714286,0,720,102,13,4
git@github.com:spatie/laravel-permission.git,1.4.0,1606,488,25,0.00%,3.1066666666667,0,720,102,13,4
git@github.com:spatie/laravel-permission.git,1.5.0,1722,452,26,0.00%,3.2235294117647,0,720,102,14,4
git@github.com:spatie/laravel-permission.git,1.5.1,1725,452,26,0.00%,3.2235294117647,0,720,102,14,4
git@github.com:spatie/laravel-permission.git,1.5.2,1745,452,26,0.00%,3.2235294117647,0,720,102,14,6
git@github.com:spatie/laravel-permission.git,1.5.3,1759,453,26,0.00%,3.2325581395349,0,720,102,14,6
git@github.com:spatie/laravel-permission.git,1.6.0,1818,452,27,0.00%,3.4318181818182,0,720,102,15,6
git@github.com:spatie/laravel-permission.git,1.6.1,1818,452,27,0.00%,3.4318181818182,0,720,102,14,6
git@github.com:spatie/laravel-permission.git,1.7.0,1818,452,27,0.00%,3.4318181818182,0,720,102,14,6
git@github.com:spatie/laravel-permission.git,1.8.0,1834,453,27,0.00%,3.5056179775281,0,720,102,14,6
git@github.com:spatie/laravel-permission.git,1.9.0,1881,405,30,0.00%,3.46875,0,720,102,14,6
git@github.com:spatie/laravel-permission.git,1.10.0,1929,414,32,0.00%,3.4949494949495,0,720,102,14,6
git@github.com:spatie/laravel-permission.git,1.11.0,1991,431,32,0.00%,3.4660194174757,0,720,102,21,6
git@github.com:spatie/laravel-permission.git,1.11.1,2022,441,32,0.00%,3.4952380952381,0,720,102,21,6
git@github.com:spatie/laravel-permission.git,1.12.0,2029,444,32,0.00%,3.4952380952381,0,720,102,21,6
git@github.com:spatie/laravel-permission.git,1.13.0,2029,444,32,0.00%,3.4952380952381,0,720,102,21,6
git@github.com:spatie/laravel-permission.git,1.14.0,1959,424,31,0.00%,3.378640776699,0,720,102,23,6
git@github.com:spatie/laravel-permission.git,1.14.1,1978,426,32,0.00%,3.3557692307692,0,720,102,23,6
git@github.com:spatie/laravel-permission.git,1.15.0,2002,427,33,0.00%,3.4095238095238,0,720,102,23,6
git@github.com:spatie/laravel-permission.git,1.16.0,1979,422,32,0.00%,3.4807692307692,0,720,102,23,6
git@github.com:spatie/laravel-permission.git,1.16.1,1979,422,32,0.00%,3.4807692307692,0,720,102,23,6
git@github.com:spatie/laravel-permission.git,1.17.0,1979,422,32,0.00%,3.4807692307692,0,720,102,23,6
git@github.com:spatie/laravel-permission.git,2.0.0,2327,393,33,0.00%,3.5230769230769,0,720,102,27,11
git@github.com:spatie/laravel-permission.git,2.0.1,2327,393,33,0.00%,3.5230769230769,0,720,102,27,11
git@github.com:spatie/laravel-permission.git,2.0.2,2399,394,33,0.00%,3.4705882352941,0,720,102,27,11
git@github.com:spatie/laravel-permission.git,2.1.3,2481,409,33,0.00%,3.4295774647887,0,720,102,29,11
git@github.com:spatie/laravel-permission.git,2.1.4,2481,409,33,0.00%,3.4295774647887,0,720,102,29,11
git@github.com:spatie/laravel-permission.git,2.1.5,2511,400,35,0.00%,3.4475524475524,0,720,102,29,11
git@github.com:spatie/laravel-permission.git,2.1.6,2515,401,35,0.00%,3.4475524475524,0,720,102,29,11
git@github.com:spatie/laravel-permission.git,2.2.0,2603,405,38,0.00%,3.5067567567568,0,720,102,30,13
git@github.com:spatie/laravel-permission.git,2.3.0,2712,409,39,0.00%,3.4545454545455,0,720,102,31,13
git@github.com:spatie/laravel-permission.git,2.3.1,2717,409,39,0.00%,3.4675324675325,0,720,102,31,13
git@github.com:spatie/laravel-permission.git,2.3.2,2741,410,40,0.00%,3.5032258064516,0,720,102,31,13
git@github.com:spatie/laravel-permission.git,2.4.0,2985,427,48,0.00%,3.4319526627219,0,720,102,38,13
git@github.com:spatie/laravel-permission.git,2.4.1,2995,427,52,0.00%,3.4733727810651,0,720,102,38,13
git@github.com:spatie/laravel-permission.git,2.4.2,2999,427,52,0.00%,3.4733727810651,0,720,102,40,13
git@github.com:spatie/laravel-permission.git,2.5.0,3017,428,52,0.00%,3.5058823529412,0,720,102,40,13
git@github.com:spatie/laravel-permission.git,2.5.1,3033,429,52,0.00%,3.4825581395349,0,720,102,40,13
git@github.com:spatie/laravel-permission.git,2.5.2,3045,429,53,0.00%,3.4941860465116,0,720,102,40,13
git@github.com:spatie/laravel-permission.git,2.5.3,3045,429,53,0.00%,3.4941860465116,0,720,102,40,13
git@github.com:spatie/laravel-permission.git,2.5.4,3045,429,53,0.00%,3.4941860465116,0,720,102,40,13
