repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:squizlabs/PHP_CodeSniffer.git,1.3.1,56127,24905,3513,0.74%,8.3520710059172,0,1001,204,1318,0
git@github.com:squizlabs/PHP_CodeSniffer.git,1.3.2,55912,24566,3529,0.74%,8.3720472440945,0,1001,204,1324,0
git@github.com:squizlabs/PHP_CodeSniffer.git,1.3.3,56347,24706,3565,0.73%,8.4329089128306,0,1001,204,1364,0
git@github.com:squizlabs/PHP_CodeSniffer.git,1.3.4,56590,24748,3605,0.73%,8.486777668952,0,1001,204,1367,0
git@github.com:squizlabs/PHP_CodeSniffer.git,1.3.5,58097,25390,3715,0.87%,8.4680648236416,0,1001,204,1403,0
git@github.com:squizlabs/PHP_CodeSniffer.git,1.3.6,59007,25813,3770,0.85%,8.4307116104869,0,1001,204,1418,0
git@github.com:squizlabs/PHP_CodeSniffer.git,1.4.0,59901,26145,3845,0.67%,8.4413665743306,0,1001,204,1432,0
git@github.com:squizlabs/PHP_CodeSniffer.git,1.4.1,61123,26816,3890,0.44%,8.303683737646,0,1001,204,1435,0
git@github.com:squizlabs/PHP_CodeSniffer.git,1.4.2,61225,26855,3898,0.44%,8.3058295964126,0,1001,204,1435,0
git@github.com:squizlabs/PHP_CodeSniffer.git,1.4.3,61407,26951,3905,0.44%,8.2913315460232,0,1001,204,1440,0
git@github.com:squizlabs/PHP_CodeSniffer.git,1.4.4,61862,27127,3957,0.46%,8.3028419182948,0,1001,204,1452,0
git@github.com:squizlabs/PHP_CodeSniffer.git,1.4.5,62322,27343,3978,0.55%,8.2777777777778,0,1001,204,1457,0
git@github.com:squizlabs/PHP_CodeSniffer.git,1.4.6,63582,27928,4040,0.61%,8.2456747404844,0,1001,204,1471,0
git@github.com:squizlabs/PHP_CodeSniffer.git,1.4.7,64064,28236,4046,0.61%,8.1903945111492,0,1001,204,1420,0
git@github.com:squizlabs/PHP_CodeSniffer.git,1.4.8,64094,28237,4056,0.61%,8.1938250428816,0,1001,204,1421,0
git@github.com:squizlabs/PHP_CodeSniffer.git,1.5.0,62784,27768,4040,0.68%,8.1530434782609,0,1001,204,1433,0
git@github.com:squizlabs/PHP_CodeSniffer.git,1.5.1,62850,27775,4054,0.68%,8.1730434782609,0,1001,204,1437,0
git@github.com:squizlabs/PHP_CodeSniffer.git,1.5.2,63105,27828,4092,0.66%,8.22,0,1001,204,1444,0
git@github.com:squizlabs/PHP_CodeSniffer.git,1.5.3,63139,27839,4096,0.67%,8.2260869565217,0,1001,204,1445,0
git@github.com:squizlabs/PHP_CodeSniffer.git,1.5.4,63262,27860,4120,0.69%,8.2458731537793,0,1001,204,1458,0
git@github.com:squizlabs/PHP_CodeSniffer.git,1.5.5,63442,27959,4112,0.60%,8.2309688581315,0,1001,204,1460,0
