repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:symfony/cache.git,v3.1.0,2553,596,242,0.00%,3.2096774193548,0,19,56,183,0
git@github.com:symfony/cache.git,v3.1.1,2594,597,244,0.00%,3.171875,0,19,56,184,0
git@github.com:symfony/cache.git,v3.1.2,2594,597,244,0.00%,3.171875,0,19,56,184,0
git@github.com:symfony/cache.git,v3.1.3,2633,606,250,0.00%,3.2558139534884,0,19,56,184,0
git@github.com:symfony/cache.git,v3.1.4,2778,618,278,0.00%,3.4518518518519,0,19,56,214,0
git@github.com:symfony/cache.git,v3.1.5,2782,618,278,0.00%,3.4666666666667,0,19,56,214,0
git@github.com:symfony/cache.git,v3.1.6,2782,618,278,0.00%,3.4666666666667,0,19,56,214,0
git@github.com:symfony/cache.git,v3.1.7,2782,618,280,0.00%,3.4666666666667,0,19,56,214,0
git@github.com:symfony/cache.git,v3.1.8,2782,618,280,0.00%,3.4666666666667,0,19,56,214,0
git@github.com:symfony/cache.git,v3.1.9,2793,618,281,0.00%,3.5185185185185,0,19,56,217,0
git@github.com:symfony/cache.git,v3.1.10,2806,628,281,0.00%,3.5185185185185,0,19,56,217,0
git@github.com:symfony/cache.git,v3.2.0,4889,1023,516,0.00%,4.1017699115044,0,19,56,360,0
git@github.com:symfony/cache.git,v3.2.1,4892,1023,518,0.00%,4.1017699115044,0,19,56,360,0
git@github.com:symfony/cache.git,v3.2.2,4940,1028,539,0.00%,4.1497797356828,0,19,56,367,0
git@github.com:symfony/cache.git,v3.2.3,4992,1038,538,0.00%,4.1798245614035,0,19,56,373,0
git@github.com:symfony/cache.git,v3.2.4,4992,1038,538,0.00%,4.1798245614035,0,19,56,373,0
git@github.com:symfony/cache.git,v3.2.5,5041,1046,547,0.00%,4.1615720524017,0,19,56,393,0
git@github.com:symfony/cache.git,v3.2.6,5041,1046,547,0.00%,4.1615720524017,0,19,56,393,0
git@github.com:symfony/cache.git,v3.2.7,5049,1052,547,0.00%,4.1521739130435,0,19,56,392,0
git@github.com:symfony/cache.git,v3.2.8,5048,1052,545,0.00%,4.1521739130435,0,19,56,393,0
git@github.com:symfony/cache.git,v3.2.9,5056,1054,547,0.00%,4.1521739130435,0,19,56,394,0
git@github.com:symfony/cache.git,v3.2.10,5090,1054,548,0.00%,4.1565217391304,0,19,56,398,0
git@github.com:symfony/cache.git,v3.2.11,5097,1054,552,0.00%,4.1652173913043,0,19,56,399,0
git@github.com:symfony/cache.git,v3.2.12,5165,1097,553,0.00%,4.1695652173913,0,19,56,399,0
git@github.com:symfony/cache.git,v3.2.13,5165,1097,553,0.00%,4.1695652173913,0,19,56,399,0
git@github.com:symfony/cache.git,v3.2.14,5165,1097,553,0.00%,4.1695652173913,0,19,56,399,0
git@github.com:symfony/cache.git,v3.3.0,9121,1933,861,0.73%,4.0405727923628,0,19,56,613,0
git@github.com:symfony/cache.git,v3.3.1,9226,1970,865,0.73%,4.0449172576832,0,19,56,616,0
git@github.com:symfony/cache.git,v3.3.2,9226,1970,865,0.73%,4.0449172576832,0,19,56,616,0
git@github.com:symfony/cache.git,v3.3.3,9254,1971,868,0.72%,4.0449172576832,0,19,56,618,0
git@github.com:symfony/cache.git,v3.3.4,9261,1971,872,0.72%,4.0496453900709,0,19,56,619,0
git@github.com:symfony/cache.git,v3.3.5,9362,2047,873,0.72%,4.0520094562648,0,19,56,619,0
git@github.com:symfony/cache.git,v3.3.6,9370,2047,874,0.72%,4.0591016548463,0,19,56,624,0
git@github.com:symfony/cache.git,v3.3.7,9444,2050,885,0.71%,4.0941176470588,0,19,56,631,0
git@github.com:symfony/cache.git,v3.3.8,9444,2050,885,0.71%,4.0941176470588,0,19,56,631,0
git@github.com:symfony/cache.git,v3.3.9,9511,2064,891,0.70%,4.1334894613583,0,19,56,635,0
